date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.0,0,0,0.0,1,Manchester City,332229,0,Danilo,2018,4,1,Sub,9576,0.0,0.0,0,Brighton,0.0,0
2019-04-24,0.0,0,0,0.0,0,Manchester City,327658,0,Danilo,2018,2,1,Sub,9501,0.0,0.0,0,Manchester United,0.0,0
2019-04-03,0.0,0,0,1.1782000064849854,2,Cardiff,321880,0,Danilo,2018,0,90,DR,9522,0.0,1.1782000064849854,0,Manchester City,0.0,0
2019-02-27,0.10445400327444077,0,0,1.133489966392517,1,West Ham,305098,0,Danilo,2018,0,90,DR,9475,0.0,1.0497000217437744,2,Manchester City,0.10445400327444077,0
2019-01-29,0.06180579960346222,0,0,0.2099580019712448,2,Manchester City,304014,0,Danilo,2018,1,84,DL,9434,0.0,0.2099580019712448,2,Newcastle United,0.06180579960346222,0
2019-01-20,0.03302549943327904,1,1,1.1393799781799316,0,Manchester City,303824,0,Danilo,2018,3,90,DL,9423,0.024410899728536606,1.1019200086593628,2,Huddersfield,0.03302549943327904,1
2019-01-14,0.0469232015311718,3,0,1.2933499813079834,3,Wolverhampton Wanderers,303566,0,Danilo,2018,0,90,DL,9409,0.10160599648952484,1.1985499858856201,2,Manchester City,0.0469232015311718,0
2019-01-03,0.019120799377560616,0,0,0.19301000237464905,2,Liverpool,303290,0,Danilo,2018,1,90,DR,9400,0.0,0.19301000237464905,1,Manchester City,0.019120799377560616,0
2018-12-30,0.0,0,0,1.795799970626831,1,Manchester City,291603,0,Danilo,2018,3,90,DR,9389,0.0,1.795799970626831,0,Southampton,0.0,0
2018-12-26,0.04744580015540123,0,0,0.1560409963130951,2,Manchester City,279100,0,Danilo,2018,1,90,DR,9382,0.0,0.10859599709510803,2,Leicester,0.04744580015540123,0
2018-12-01,0.104994997382164,0,0,1.0129899978637695,3,Bournemouth,277696,0,Danilo,2018,1,90,DR,9329,0.0,0.9287340044975281,3,Manchester City,0.104994997382164,0
