date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-04-23,0.03805290162563324,1,0,0.2156199961900711,1,Southampton,327306,1,Daryl Janmaat,2018,1,90,DR,9499,0.07944410294294357,0.09812299907207489,2,Watford,0.03805290162563324,0
2019-04-15,0.027400299906730652,1,0,0.08908329904079437,0,Arsenal,325288,0,Daryl Janmaat,2018,1,90,DR,9527,0.0427497997879982,0.01893319934606552,1,Watford,0.027400299906730652,0
2019-04-02,0.0,1,0,0.12902399897575378,4,Fulham,321614,0,Daryl Janmaat,2018,1,42,Sub,9518,0.03351080045104027,0.09551359713077545,0,Watford,0.0,0
2019-03-30,0.09615270048379898,1,0,0.26560699939727783,2,Watford,317846,0,Daryl Janmaat,2018,1,58,DR,9509,0.07904680073261261,0.151309996843338,2,Manchester United,0.09615270048379898,0
2019-03-09,0.0,0,0,0.0,3,Watford,314694,0,Daryl Janmaat,2018,1,90,DR,9489,0.0,0.0,0,Manchester City,0.0,0
2019-03-03,0.0,0,0,0.0,2,Leicester,305404,0,Daryl Janmaat,2018,1,90,DR,9479,0.0,0.0,0,Watford,0.0,0
2019-02-27,0.08040829747915268,0,0,0.12963299453258514,5,Watford,305140,0,Daryl Janmaat,2018,0,90,DR,9476,0.0,0.04922439903020859,1,Liverpool,0.08040829747915268,0
2019-02-22,0.034583400934934616,0,0,0.580594003200531,1,Watford,304754,0,Daryl Janmaat,2018,5,90,DR,9463,0.0,0.5460100173950195,1,Cardiff,0.034583400934934616,0
2019-02-09,0.0,0,0,0.7014660239219666,1,Everton,304492,0,Daryl Janmaat,2018,0,90,DR,9451,0.0,0.7014660239219666,0,Watford,0.0,0
2019-02-02,0.0,2,0,0.07624539732933044,0,Watford,304174,0,Daryl Janmaat,2018,0,90,DR,9446,0.07624539732933044,0.019367100670933723,0,Brighton,0.0,0
2019-01-30,0.03197159990668297,0,0,0.03197159990668297,2,Watford,304094,0,Daryl Janmaat,2018,1,90,DR,9435,0.0,0.0,1,Tottenham,0.03197159990668297,0
2018-12-29,0.0,1,0,0.7196589708328247,1,Newcastle United,291344,0,Daryl Janmaat,2018,1,90,DR,9387,0.037502698600292206,0.6821560263633728,0,Watford,0.0,0
2018-09-22,0.0,0,0,0.0,1,Watford,260195,0,Daryl Janmaat,2018,1,90,DR,9247,0.0,0.0,0,Fulham,0.0,0
2018-09-15,0.0,0,0,0.0,1,Manchester United,259989,0,Daryl Janmaat,2018,2,74,DR,9243,0.0,0.0,0,Watford,0.0,0
2018-09-02,0.0,3,0,0.1363299936056137,2,Tottenham,259713,0,Daryl Janmaat,2018,1,90,DR,9236,0.1363299936056137,0.0655641034245491,0,Watford,0.0,0
2018-08-26,0.03618289902806282,2,0,0.16822899878025055,2,Crystal Palace,259437,1,Daryl Janmaat,2018,1,90,DR,9224,0.09480340033769608,0.07342570275068283,1,Watford,0.03618289902806282,0
2018-08-19,0.0,0,0,0.0,1,Watford,258976,0,Daryl Janmaat,2018,3,90,DR,9214,0.0,0.0,0,Burnley,0.0,0
2018-08-11,0.12049199640750885,0,0,0.12049199640750885,2,Brighton,258878,0,Daryl Janmaat,2018,0,90,DR,9199,0.0,0.0,2,Watford,0.12049199640750885,0
