date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0,0,0,0.027216700837016106,0,0,Cardiff,0,332369,0,David de Gea,2018,2,90,GK,9570,0,Manchester United,0.027216700837016106,0
2019-05-05,0,0,0,0.15490899980068207,0,1,Manchester United,0,330798,0,David de Gea,2018,1,90,GK,9561,0,Huddersfield,0.15490899980068207,0
2019-04-28,0,0,0,0.29258298873901367,0,1,Chelsea,0,329157,0,David de Gea,2018,1,90,GK,9550,0,Manchester United,0.29258298873901367,0
2019-04-24,0,0,0,0.08400610089302063,0,0,Manchester City,0,327633,0,David de Gea,2018,2,90,GK,9501,0,Manchester United,0.08400610089302063,0
2019-04-21,0,0,0,0.05751499906182289,0,4,Manchester United,0,326574,0,David de Gea,2018,0,90,GK,9542,0,Everton,0.05751499906182289,0
2019-04-13,0,0,0,0,0,2,West Ham,0,324395,0,David de Gea,2018,1,90,GK,9530,0,Manchester United,0,0
2019-04-02,0,0,0,0.4202530086040497,0,2,Manchester United,0,321589,0,David de Gea,2018,1,90,GK,9517,0,Wolverhampton Wanderers,0.4202530086040497,0
2019-03-30,0,0,0,0.008762509562075138,0,2,Watford,0,317831,0,David de Gea,2018,1,90,GK,9509,0,Manchester United,0.008762509562075138,0
2019-03-10,0,0,0,0,0,2,Manchester United,0,315358,0,David de Gea,2018,0,90,GK,9496,0,Arsenal,0,0
2019-03-02,0,0,0,0.021925900131464005,0,3,Southampton,0,305264,0,David de Gea,2018,2,90,GK,9481,0,Manchester United,0.021925900131464005,0
2019-02-27,0,0,0,0.09161210060119629,0,1,Manchester United,0,305195,0,David de Gea,2018,3,90,GK,9471,0,Crystal Palace,0.09161210060119629,0
2019-02-24,0,0,0,0,0,0,Liverpool,0,304876,0,David de Gea,2018,0,90,GK,9459,0,Manchester United,0,0
2019-02-09,0,0,0,0,0,0,Manchester United,0,304450,0,David de Gea,2018,3,90,GK,9447,0,Fulham,0,0
2019-02-03,0,0,0,0,0,0,Manchester United,0,304340,0,David de Gea,2018,1,90,GK,9440,0,Leicester,0,0
2019-01-29,0,0,0,0.05458040162920952,0,2,Burnley,0,303972,0,David de Gea,2018,2,90,GK,9432,0,Manchester United,0.05458040162920952,0
2019-01-19,0,0,0,0.21859699487686157,0,2,Brighton,0,303673,0,David de Gea,2018,1,90,GK,9421,0,Manchester United,0.21859699487686157,0
2019-01-13,0,0,0,0.09413719922304153,0,0,Manchester United,0,303548,0,David de Gea,2018,1,90,GK,9408,0,Tottenham,0.09413719922304153,0
2019-01-02,0,0,0,0,0,0,Manchester United,0,303275,0,David de Gea,2018,2,90,GK,9399,0,Newcastle United,0,0
2018-12-30,0,0,0,0.6849250197410583,0,4,Bournemouth,0,291642,0,David de Gea,2018,1,90,GK,9390,0,Manchester United,0.6849250197410583,0
2018-12-26,0,0,0,0.1009640023112297,0,3,Huddersfield,0,279057,0,David de Gea,2018,1,90,GK,9380,0,Manchester United,0.1009640023112297,0
2018-12-22,0,0,0,0.022659599781036377,0,1,Manchester United,0,278959,0,David de Gea,2018,5,90,GK,9374,0,Cardiff,0.022659599781036377,0
2018-12-16,0,0,0,0,0,3,Manchester United,0,278711,0,David de Gea,2018,1,90,GK,9362,0,Liverpool,0,0
2018-12-08,0,0,0,0.03772680088877678,0,4,Fulham,0,278224,0,David de Gea,2018,1,90,GK,9349,0,Manchester United,0.03772680088877678,0
2018-12-05,0,0,0,0,0,2,Arsenal,0,278112,0,David de Gea,2018,2,90,GK,9344,0,Manchester United,0,0
2018-12-01,0,0,0,0.34333598613739014,0,2,Manchester United,0,277820,0,David de Gea,2018,2,90,GK,9327,0,Southampton,0.34333598613739014,0
2018-11-24,0,0,0,0.059738099575042725,0,0,Crystal Palace,0,277421,0,David de Gea,2018,0,90,GK,9319,0,Manchester United,0.059738099575042725,0
2018-11-11,0,0,0,0,0,3,Manchester United,0,277324,0,David de Gea,2018,1,90,GK,9315,0,Manchester City,0,0
2018-11-03,0,0,0,0.06367550045251846,0,1,Manchester United,0,276824,0,David de Gea,2018,2,90,GK,9297,0,Bournemouth,0.06367550045251846,0
2018-10-28,0,0,0,0,0,2,Everton,0,276754,0,David de Gea,2018,1,90,GK,9287,0,Manchester United,0,0
2018-10-20,0,0,0,0.16818000376224518,0,2,Manchester United,0,276271,0,David de Gea,2018,2,90,GK,9277,0,Chelsea,0.16818000376224518,0
2018-10-06,0,0,0,0.022764500230550766,0,3,Newcastle United,0,276148,0,David de Gea,2018,2,90,GK,9273,0,Manchester United,0.022764500230550766,0
2018-09-29,0,0,0,0.018110400065779686,0,3,Manchester United,0,260552,0,David de Gea,2018,1,90,GK,9257,0,West Ham,0.018110400065779686,0
2018-09-22,0,0,0,0,0,1,Wolverhampton Wanderers,0,260263,0,David de Gea,2018,1,90,GK,9248,0,Manchester United,0,0
2018-09-15,0,0,0,0,0,1,Manchester United,0,260002,0,David de Gea,2018,2,90,GK,9243,0,Watford,0,0
2018-09-02,0,0,0,0.22878499329090118,0,0,Manchester United,0,259531,0,David de Gea,2018,2,90,GK,9232,0,Burnley,0.22878499329090118,0
2018-08-27,0,0,0,0.048062801361083984,0,0,Tottenham,0,259352,0,David de Gea,2018,3,90,GK,9226,0,Manchester United,0.048062801361083984,0
2018-08-19,0,0,0,0,0,3,Manchester United,0,258947,0,David de Gea,2018,2,90,GK,9215,0,Brighton,0,0
2018-08-10,0,0,0,0,0,2,Leicester,0,258793,0,David de Gea,2018,1,90,GK,9197,0,Manchester United,0,0
