date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-04,0.0,0,0,0.47918900847435,2,Liverpool,330579,0,Dejan Lovren,2018,3,86,DC,9559,0.0,0.47918900847435,0,Newcastle United,0.0,0
2019-04-26,0.05541079863905907,0,0,0.8302739858627319,5,Huddersfield,328021,0,Dejan Lovren,2018,0,90,DC,9551,0.0,0.8302739858627319,1,Liverpool,0.05541079863905907,0
2019-04-05,0.0,0,0,0.0,1,Liverpool,322348,0,Dejan Lovren,2018,3,1,Sub,9520,0.0,0.0,0,Southampton,0.0,0
2019-03-31,0.0,0,0,0.0,2,Tottenham,318649,0,Dejan Lovren,2018,1,1,Sub,9510,0.0,0.0,0,Liverpool,0.0,0
2019-01-03,0.0,0,0,0.36873099207878113,2,Liverpool,303305,0,Dejan Lovren,2018,1,90,DC,9400,0.0,0.36873099207878113,0,Manchester City,0.0,0
2018-12-29,0.0,0,0,0.0,5,Arsenal,291507,0,Dejan Lovren,2018,1,90,DC,9391,0.0,0.0,0,Liverpool,0.0,0
2018-12-26,0.0639123022556305,1,1,0.6417710185050964,4,Newcastle United,279167,0,Dejan Lovren,2018,0,90,DC,9381,0.10816600173711777,0.5336040258407593,1,Liverpool,0.0639123022556305,1
2018-12-21,0.0,0,0,0.2391130030155182,0,Liverpool,278741,0,Dejan Lovren,2018,2,90,DC,9367,0.0,0.2391130030155182,0,Wolverhampton Wanderers,0.0,0
2018-12-16,0.6904659867286682,0,0,0.12085899710655212,3,Manchester United,278700,0,Dejan Lovren,2018,1,90,DC,9362,0.0,0.10565599799156189,3,Liverpool,0.6904659867286682,0
2018-11-24,0.0,0,0,0.31586700677871704,0,Liverpool,277409,0,Dejan Lovren,2018,3,90,DC,9318,0.0,0.31586700677871704,0,Watford,0.0,0
2018-10-27,0.0,0,0,0.07398570328950882,4,Cardiff,276535,0,Dejan Lovren,2018,1,90,DC,9288,0.0,0.07398570328950882,0,Liverpool,0.0,0
2018-10-20,0.0,0,0,0.22468799352645874,0,Liverpool,276467,0,Dejan Lovren,2018,1,90,DC,9284,0.0,0.22468799352645874,0,Huddersfield,0.0,0
2018-10-07,0.10040900111198425,0,0,0.1503330022096634,0,Manchester City,276233,0,Dejan Lovren,2018,0,90,DC,9276,0.0,0.1503330022096634,1,Liverpool,0.10040900111198425,0
