date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.1580899953842163,0,0,0.1580899953842163,2,Wolverhampton Wanderers,332350,0,Divock Origi,2018,0,65,FW,9571,0.0,0.0,2,Liverpool,0.1580899953842163,0
2019-05-04,0.08590999990701675,0,1,0.0,2,Liverpool,330588,0,Divock Origi,2018,3,15,Sub,9559,0.0,0.0,1,Newcastle United,0.08590999990701675,1
2019-03-31,0.05765850096940994,0,0,0.0,2,Tottenham,318647,0,Divock Origi,2018,1,12,Sub,9510,0.0,0.0,1,Liverpool,0.05765850096940994,0
2019-03-17,0.013281900435686111,0,0,0.07645139843225479,1,Liverpool,317001,0,Divock Origi,2018,2,17,Sub,9502,0.0,0.06316950172185898,1,Fulham,0.013281900435686111,0
2019-03-03,0.028864199295639992,0,0,0.028864199295639992,0,Liverpool,305482,0,Divock Origi,2018,0,64,FWL,9483,0.0,0.0,1,Everton,0.028864199295639992,0
2019-02-27,0.19235199689865112,1,1,0.3601129949092865,5,Watford,305135,0,Divock Origi,2018,0,90,FWL,9476,0.12883299589157104,0.03892749920487404,4,Liverpool,0.19235199689865112,1
2019-02-24,0.0,0,0,0.0,0,Liverpool,304901,0,Divock Origi,2018,0,6,Sub,9459,0.0,0.0,0,Manchester United,0.0,0
2019-02-09,0.0,0,0,0.38645100593566895,3,Bournemouth,304558,0,Divock Origi,2018,0,1,Sub,9455,0.0,0.38645100593566895,0,Liverpool,0.0,0
2019-02-04,0.12926599383354187,0,0,0.12926599383354187,1,Liverpool,304406,0,Divock Origi,2018,1,14,Sub,9437,0.0,0.0,1,West Ham,0.12926599383354187,0
2019-01-12,0.0,0,0,0.0,0,Liverpool,303398,0,Divock Origi,2018,1,1,Sub,9416,0.0,0.0,0,Brighton,0.0,0
2018-12-05,0.0,2,0,0.2700429856777191,1,Liverpool,278080,1,Divock Origi,2018,3,67,FW,9343,0.059178099036216736,0.21086500585079193,0,Burnley,0.0,0
2018-12-02,1.577679991722107,0,1,0.0,1,Everton,277901,0,Divock Origi,2018,0,5,Sub,9330,0.0,0.0,2,Liverpool,1.577679991722107,1
