date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0.20270399749279022,1,0,1.2060600519180298,0.26716500520706177,5,Bournemouth,0.20270399749279022,332264,0,James McArthur,2018,3,90,MC,9574,2,Crystal Palace,0.7361950278282166,0
2019-05-04,0,2,0,0.5506910085678101,0.17725199460983276,2,Crystal Palace,0,330446,1,James McArthur,2018,3,90,MC,9564,0,Cardiff,0.501259982585907,0
2019-04-27,0.07106970250606537,0,0,0.07106970250606537,0,0,Everton,0.07106970250606537,328357,0,James McArthur,2018,0,90,MR,9554,1,Crystal Palace,0,0
2019-04-21,0.7676020264625549,1,1,0.36755499243736267,0.019112300127744675,2,Crystal Palace,0.7676020264625549,326744,0,James McArthur,2018,3,90,MR,9546,3,Arsenal,0.1762930005788803,1
2019-04-14,0,0,0,0.05845779925584793,0,1,Manchester City,0,324876,0,James McArthur,2018,3,87,MC,9534,0,Crystal Palace,0.05845779925584793,0
2019-04-06,0,0,0,0,0,0,Crystal Palace,0,322563,0,James McArthur,2018,1,90,MC,9521,0,Newcastle United,0,0
2019-04-03,0,1,0,0,0.3732460141181946,2,Crystal Palace,0,321926,0,James McArthur,2018,0,90,MC,9500,0,Tottenham,0,0
2019-03-30,0,0,0,0.07132499665021896,0,2,Huddersfield,0,317926,0,James McArthur,2018,0,44,Sub,9513,0,Crystal Palace,0.07132499665021896,0
2019-03-09,0.05000530183315277,0,0,0.10022000223398209,0,1,Brighton,0.05000530183315277,314298,0,James McArthur,2018,2,79,MC,9493,1,Crystal Palace,0.05021490156650543,0
2019-03-02,0.1191369965672493,0,0,0.1191369965672493,0,1,Crystal Palace,0.1191369965672493,305318,0,James McArthur,2018,3,18,Sub,9484,1,Burnley,0,0
2019-02-27,0,1,0,0.8410000205039978,0.5145379900932312,1,Manchester United,0,305188,0,James McArthur,2018,3,62,MC,9471,0,Crystal Palace,0.8410000205039978,0
2019-02-23,0.018687700852751732,2,0,0.4064039885997772,0.38771599531173706,1,Crystal Palace,0.018687700852751732,304869,2,James McArthur,2018,4,90,MC,9460,1,Leicester,0,0
