date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-04-23,0.20896600186824799,1,0,0.2661629915237427,0.024281099438667297,1,Brighton,0.20896600186824799,327334,0,Jan Vertonghen,2018,0,90,DC,9519,4,Tottenham,0.2306549996137619,0
2019-04-20,0,0,0,0.3780589997768402,0,1,Tottenham,0,325659,0,Jan Vertonghen,2018,0,90,DC,9540,0,Manchester City,0.3780589997768402,0
2019-04-13,0,0,0,1.5866600275039673,0,4,Huddersfield,0,324011,0,Jan Vertonghen,2018,0,86,DC,9528,0,Tottenham,1.5866600275039673,0
2019-04-03,0.06869349628686905,0,0,0.06869349628686905,0,2,Crystal Palace,0.06869349628686905,321908,0,Jan Vertonghen,2018,0,90,DC,9500,2,Tottenham,0,0
2019-03-31,0,0,0,0.06333039700984955,0,2,Tottenham,0,318651,0,Jan Vertonghen,2018,1,90,DC,9510,0,Liverpool,0.06333039700984955,0
2019-03-09,0.05098069831728935,0,0,0.2083349972963333,0,2,Tottenham,0.05098069831728935,314527,0,Jan Vertonghen,2018,1,90,DC,9487,2,Southampton,0.2083349972963333,0
2019-03-02,0.02718220092356205,0,0,0.07997869700193405,0,1,Arsenal,0.02718220092356205,305211,0,Jan Vertonghen,2018,1,90,DC,9480,2,Tottenham,0.06381440162658691,0
2019-02-23,0,0,0,0.04611850157380104,0,2,Tottenham,0,304783,0,Jan Vertonghen,2018,1,90,DC,9464,0,Burnley,0.04611850157380104,0
2019-02-10,0,0,0,0.12758000195026398,0,3,Leicester,0,304630,0,Jan Vertonghen,2018,1,90,DC,9452,0,Tottenham,0.12758000195026398,0
2019-02-02,0.05722310021519661,0,0,0.6897979974746704,0,1,Newcastle United,0.05722310021519661,304138,0,Jan Vertonghen,2018,0,90,DL,9438,1,Tottenham,0.6325749754905701,0
2019-01-30,0,0,0,0.14030900597572327,0,2,Watford,0,304080,0,Jan Vertonghen,2018,1,80,DC,9435,0,Tottenham,0.14030900597572327,0
2019-01-20,0,1,0,0.7920309901237488,0.09433150291442871,1,Tottenham,0,303850,0,Jan Vertonghen,2018,2,90,DC,9424,0,Fulham,0.7920309901237488,0
2019-01-13,0,0,0,0.11860200017690659,0,0,Manchester United,0,303538,0,Jan Vertonghen,2018,1,90,DC,9408,0,Tottenham,0.11860200017690659,0
2018-12-08,0.029873600229620934,0,0,0,0,0,Tottenham,0.029873600229620934,278379,0,Jan Vertonghen,2018,2,90,DC,9350,1,Leicester,0,0
2018-12-02,0,0,0,0,0,4,Tottenham,0,277879,0,Jan Vertonghen,2018,2,88,DC,9336,0,Arsenal,0,0
2018-09-29,0,0,0,0,0,0,Tottenham,0,260470,0,Jan Vertonghen,2018,2,51,DC,9261,0,Huddersfield,0,0
2018-09-22,0,1,0,0.6881800293922424,0.08799239993095398,1,Tottenham,0,260088,0,Jan Vertonghen,2018,2,90,DC,9254,0,Brighton,0.6001880168914795,0
2018-09-15,0.0076561798341572285,0,0,0.0647720992565155,0,1,Liverpool,0.0076561798341572285,259963,0,Jan Vertonghen,2018,2,90,DC,9237,1,Tottenham,0.05711600184440613,0
2018-09-02,0,1,0,0.34655100107192993,0.03724459931254387,2,Tottenham,0,259727,0,Jan Vertonghen,2018,1,90,DC,9236,0,Watford,0.34655100107192993,0
2018-08-27,0,0,0,0.06694679707288742,0,0,Tottenham,0,259368,0,Jan Vertonghen,2018,3,90,DC,9226,0,Manchester United,0.06694679707288742,0
2018-08-18,0.04534490033984184,0,0,1.3806300163269043,0,3,Fulham,0.04534490033984184,259159,0,Jan Vertonghen,2018,1,90,DC,9209,1,Tottenham,1.3806300163269043,0
2018-08-11,0.5140560269355774,0,1,0.7872670292854309,0,1,Tottenham,0.5140560269355774,258837,0,Jan Vertonghen,2018,2,90,DC,9198,1,Newcastle United,0.7872670292854309,1
