date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-03-16,0.5105029940605164,1,0,0.8662260174751282,4,Huddersfield,316393,0,Jason Puncheon,2018,3,22,Sub,9498,0.35572299361228943,0.0,1,West Ham,0.5105029940605164,0
2019-02-23,0.0,0,0,0.0,2,Huddersfield,304842,0,Jason Puncheon,2018,0,23,AMC,9458,0.0,0.0,0,Newcastle United,0.0,0
2019-02-09,0.038881801068782806,1,0,0.12581400573253632,1,Arsenal,304583,0,Jason Puncheon,2018,2,67,AMC,9456,0.3667539954185486,0.12581400573253632,2,Huddersfield,0.038881801068782806,0
2019-01-29,0.0,1,0,0.1833450049161911,0,Everton,303923,0,Jason Puncheon,2018,1,90,MC,9428,0.02113799937069416,0.1622070074081421,0,Huddersfield,0.0,0
2019-01-20,0.0,0,0,0.0,0,Manchester City,303814,0,Jason Puncheon,2018,3,90,MC,9423,0.0,0.0,0,Huddersfield,0.0,0
2019-01-12,0.06528359651565552,2,0,0.18956300616264343,0,Huddersfield,303447,0,Jason Puncheon,2018,0,90,MC,9414,0.09946969896554947,0.02480960078537464,3,Cardiff,0.06528359651565552,0
2018-12-22,0.0,0,0,0.0,2,Crystal Palace,278861,0,Jason Puncheon,2018,3,1,Sub,9370,0.0,0.0,0,Manchester City,0.0,0
2018-12-15,0.0,0,0,0.0,1,Leicester,278599,0,Jason Puncheon,2018,0,1,Sub,9365,0.0,0.0,0,Crystal Palace,0.0,0
2018-12-08,0.0,0,0,0.0,3,Crystal Palace,278223,0,Jason Puncheon,2018,2,3,Sub,9347,0.0,0.0,0,West Ham,0.0,0
2018-12-01,0.0,0,0,0.0,2,Burnley,277792,0,Jason Puncheon,2018,0,1,Sub,9333,0.0,0.0,0,Crystal Palace,0.0,0
2018-10-28,0.0,0,0,0.0,2,Arsenal,276711,0,Jason Puncheon,2018,2,1,Sub,9294,0.0,0.0,0,Crystal Palace,0.0,0
