date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.04477360099554062,2,1,0.5466049909591675,0,Newcastle United,332307,0,Jonjo Shelvey,2018,4,90,MC,9573,0.10513199865818024,0.524071991443634,2,Fulham,0.04477360099554062,1
2019-04-27,0.03262700140476227,0,0,0.15673500299453735,1,Newcastle United,328455,0,Jonjo Shelvey,2018,1,76,MC,9556,0.0,0.1395680010318756,2,Brighton,0.03262700140476227,0
2019-04-06,0.0,1,0,0.05169589817523956,0,Crystal Palace,322554,0,Jonjo Shelvey,2018,1,12,Sub,9521,0.05169589817523956,0.0,0,Newcastle United,0.0,0
2019-03-16,0.017598899081349373,0,0,0.09467429667711258,2,Newcastle United,316419,0,Jonjo Shelvey,2018,2,2,Sub,9506,0.0,0.07707539945840836,1,Bournemouth,0.017598899081349373,0
2019-03-09,0.0,2,0,0.03812919929623604,3,Everton,314551,0,Jonjo Shelvey,2018,2,9,Sub,9488,0.04636260122060776,0.0,0,Newcastle United,0.0,0
2019-01-02,0.07341480255126953,1,0,0.2890929877758026,0,Manchester United,303274,0,Jonjo Shelvey,2018,2,35,Sub,9399,0.11623000353574753,0.09944900125265121,4,Newcastle United,0.07341480255126953,0
2018-12-29,0.0,1,0,0.016282500699162483,1,Newcastle United,291369,0,Jonjo Shelvey,2018,1,8,Sub,9387,0.007332229986786842,0.016282500699162483,0,Watford,0.0,0
2018-12-01,0.10094700008630753,0,0,0.017092999070882797,0,West Ham,277680,0,Jonjo Shelvey,2018,3,18,Sub,9328,0.0,0.017092999070882797,1,Newcastle United,0.10094700008630753,0
2018-11-03,0.0576774999499321,0,0,0.0,1,Watford,276873,0,Jonjo Shelvey,2018,0,52,MC,9299,0.0,0.0,1,Newcastle United,0.0576774999499321,0
2018-10-27,0.014257400296628475,1,0,0.031012900173664093,0,Newcastle United,276663,0,Jonjo Shelvey,2018,0,90,MC,9292,0.016755500808358192,0.014257400296628475,1,Southampton,0.014257400296628475,0
2018-10-20,0.2675260007381439,4,0,0.8402299880981445,0,Brighton,276348,0,Jonjo Shelvey,2018,1,90,MC,9280,0.480430006980896,0.21097999811172485,6,Newcastle United,0.2675260007381439,0
2018-10-06,0.03277850151062012,4,0,0.26051801443099976,3,Newcastle United,276169,1,Jonjo Shelvey,2018,2,90,MC,9273,0.3060489892959595,0.0765203982591629,2,Manchester United,0.03277850151062012,0
2018-09-29,0.006834909785538912,1,0,0.006834909785538912,0,Leicester,260518,0,Jonjo Shelvey,2018,2,90,MC,9259,0.020934399217367172,0.0,1,Newcastle United,0.006834909785538912,0
2018-09-22,0.0,1,0,0.0,0,Newcastle United,260173,0,Jonjo Shelvey,2018,0,90,MC,9251,0.012949399650096893,0.0,0,Crystal Palace,0.0,0
2018-08-18,0.06835769861936569,5,0,0.4119170010089874,0,Newcastle United,259010,0,Jonjo Shelvey,2018,0,90,MC,9207,0.5323230028152466,0.3678770065307617,2,Cardiff,0.06835769861936569,0
2018-08-11,0.0,2,0,0.5079100131988525,1,Tottenham,258828,0,Jonjo Shelvey,2018,2,90,MC,9198,0.1617790013551712,0.45273101329803467,0,Newcastle United,0.0,0
