date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.0,0,0,0.44127899408340454,2,Wolverhampton Wanderers,332362,0,João Moutinho,2018,0,85,MC,9571,0.0,0.44127899408340454,0,Liverpool,0.0,0
2019-05-04,0.07316029816865921,7,0,0.7351559996604919,1,Fulham,330211,0,João Moutinho,2018,0,90,MC,9557,1.0215100049972534,0.5349609851837158,1,Wolverhampton Wanderers,0.07316029816865921,0
2019-04-27,0.014887900091707706,1,0,0.014887900091707706,1,Wolverhampton Wanderers,328291,0,João Moutinho,2018,2,90,MC,9547,0.012797599658370018,0.0,1,Watford,0.014887900091707706,0
2019-04-24,0.027742400765419006,2,0,0.027742400765419006,3,Arsenal,327613,0,João Moutinho,2018,1,90,MC,9497,0.0529773011803627,0.0,1,Wolverhampton Wanderers,0.027742400765419006,0
2019-04-20,0.012949800118803978,6,0,0.23043400049209595,0,Brighton,325984,0,João Moutinho,2018,0,90,MC,9537,0.3123140037059784,0.15095700323581696,1,Wolverhampton Wanderers,0.012949800118803978,0
2019-04-13,0.0,4,0,0.15801599621772766,3,Wolverhampton Wanderers,324197,1,João Moutinho,2018,1,90,MC,9529,0.1027659997344017,0.15801599621772766,0,Southampton,0.0,0
2019-04-02,0.0,2,0,0.07183849811553955,2,Manchester United,321583,0,João Moutinho,2018,1,90,MC,9517,0.16818000376224518,0.07183849811553955,0,Wolverhampton Wanderers,0.0,0
2019-03-30,0.0,3,0,0.19767799973487854,2,Wolverhampton Wanderers,317906,0,João Moutinho,2018,0,90,MC,9515,0.17247700691223145,0.19767799973487854,0,Burnley,0.0,0
2019-03-10,0.0,1,0,0.0,1,Wolverhampton Wanderers,315227,0,João Moutinho,2018,1,90,MC,9494,0.02574150077998638,0.0,0,Chelsea,0.0,0
2019-03-02,0.0,1,0,0.0,2,Cardiff,305248,0,João Moutinho,2018,0,19,Sub,9477,0.03455900028347969,0.0,0,Wolverhampton Wanderers,0.0,0
2019-02-26,0.0,4,0,0.072638601064682,1,Wolverhampton Wanderers,304981,0,João Moutinho,2018,0,69,MC,9468,0.23987899720668793,0.05796650052070618,0,Huddersfield,0.0,0
2019-02-23,0.0,4,0,0.17571499943733215,1,Wolverhampton Wanderers,304813,0,João Moutinho,2018,1,90,MC,9465,0.16786299645900726,0.17571499943733215,0,Bournemouth,0.0,0
2019-02-11,0.014987999573349953,4,0,0.16476400196552277,1,Newcastle United,304692,0,João Moutinho,2018,1,90,MC,9450,0.10755900293588638,0.14977599680423737,1,Wolverhampton Wanderers,0.014987999573349953,0
2019-02-02,0.0,2,0,0.07181400060653687,1,Wolverhampton Wanderers,304263,1,João Moutinho,2018,3,90,MC,9441,0.30441299080848694,0.009928359650075436,0,Everton,0.0,0
2019-01-29,0.0,5,0,0.65733802318573,3,West Ham,303951,2,João Moutinho,2018,0,90,MC,9427,0.30755600333213806,0.608135998249054,0,Wolverhampton Wanderers,0.0,0
2019-01-19,0.08133769780397415,2,0,0.6742669939994812,4,Leicester,303598,2,João Moutinho,2018,3,83,MC,9417,0.5492079854011536,0.14615200459957123,1,Wolverhampton Wanderers,0.08133769780397415,0
2019-01-14,0.0,0,0,0.0,3,Wolverhampton Wanderers,303584,0,João Moutinho,2018,0,76,MC,9409,0.0,0.0,0,Manchester City,0.0,0
2019-01-02,0.0,0,0,0.04424849897623062,0,Crystal Palace,303160,0,João Moutinho,2018,2,90,MC,9397,0.0,0.04424849897623062,0,Wolverhampton Wanderers,0.0,0
2018-12-29,0.0,1,0,0.0902412012219429,1,Wolverhampton Wanderers,291394,1,João Moutinho,2018,3,20,Sub,9388,0.3201819956302643,0.0902412012219429,0,Tottenham,0.0,0
2018-12-26,0.0,2,0,0.24563400447368622,1,Wolverhampton Wanderers,279021,0,João Moutinho,2018,1,90,MC,9383,0.12746499478816986,0.24563400447368622,0,Fulham,0.0,0
2018-12-21,0.0,1,0,0.2235109955072403,0,Liverpool,278733,0,João Moutinho,2018,2,65,AMC,9367,0.051548101007938385,0.17196300625801086,0,Wolverhampton Wanderers,0.0,0
2018-12-15,0.0,1,0,0.5717599987983704,2,Bournemouth,278479,0,João Moutinho,2018,0,90,MC,9357,0.08236709982156754,0.4893929958343506,0,Wolverhampton Wanderers,0.0,0
2018-12-09,0.0,2,0,0.09066049754619598,1,Wolverhampton Wanderers,278417,0,João Moutinho,2018,2,13,Sub,9348,0.16642799973487854,0.09066049754619598,0,Newcastle United,0.0,0
2018-12-05,0.0,1,0,0.48929598927497864,2,Chelsea,278008,0,João Moutinho,2018,1,90,MC,9339,0.043774399906396866,0.48929598927497864,0,Wolverhampton Wanderers,0.0,0
2018-11-30,0.014789500273764133,2,0,0.12414199858903885,2,Wolverhampton Wanderers,277659,0,João Moutinho,2018,1,90,MC,9335,0.055913399904966354,0.12414199858903885,1,Cardiff,0.014789500273764133,0
2018-11-25,0.0,2,0,0.026542099192738533,0,Huddersfield,277592,0,João Moutinho,2018,2,49,MC,9325,0.06420999765396118,0.0,0,Wolverhampton Wanderers,0.0,0
2018-11-11,0.0,2,0,0.07218469679355621,1,Wolverhampton Wanderers,277359,0,João Moutinho,2018,1,90,MC,9316,0.07896869629621506,0.07218469679355621,0,Arsenal,0.0,0
2018-11-03,0.02209410071372986,2,0,0.05815970152616501,2,Tottenham,276984,0,João Moutinho,2018,3,65,MC,9304,0.053199898451566696,0.03606560081243515,1,Wolverhampton Wanderers,0.02209410071372986,0
2018-10-27,0.023372700437903404,5,0,0.33865299820899963,1,Wolverhampton Wanderers,276606,0,João Moutinho,2018,0,90,MC,9290,0.08979559689760208,0.3152799904346466,1,Brighton,0.023372700437903404,0
2018-10-20,0.014257100410759449,2,0,0.24175800383090973,0,Watford,276292,0,João Moutinho,2018,2,90,MC,9278,0.09908899664878845,0.15189899504184723,1,Wolverhampton Wanderers,0.014257100410759449,0
2018-10-06,0.0,0,0,0.0,0,Wolverhampton Wanderers,276113,0,João Moutinho,2018,1,90,MC,9271,0.0,0.0,0,Crystal Palace,0.0,0
2018-09-29,0.06700749695301056,3,0,0.5360680222511292,2,Southampton,260573,0,João Moutinho,2018,0,90,MC,9258,0.14410799741744995,0.46540799736976624,2,Wolverhampton Wanderers,0.06700749695301056,0
2018-09-22,0.0472479984164238,2,1,0.47892600297927856,1,Wolverhampton Wanderers,260284,0,João Moutinho,2018,1,81,MC,9248,0.36946699023246765,0.43167799711227417,1,Manchester United,0.0472479984164238,1
2018-09-16,0.01896039955317974,1,0,0.4242430031299591,1,Burnley,260022,0,João Moutinho,2018,0,90,MC,9244,0.01744779944419861,0.4242430031299591,1,Wolverhampton Wanderers,0.01896039955317974,0
2018-09-01,0.0328482985496521,3,0,0.505154013633728,0,Wolverhampton Wanderers,259760,0,João Moutinho,2018,1,90,MC,9228,0.2999489903450012,0.45044898986816406,2,West Ham,0.0328482985496521,0
2018-08-25,0.0,2,0,0.21619699895381927,1,Manchester City,259469,1,João Moutinho,2018,1,90,MC,9217,0.77776700258255,0.09665309637784958,0,Wolverhampton Wanderers,0.0,0
2018-08-18,0.02123350091278553,2,0,0.36823800206184387,2,Wolverhampton Wanderers,259122,0,João Moutinho,2018,0,90,MC,9210,0.10707700252532959,0.2399280071258545,1,Leicester,0.02123350091278553,0
2018-08-11,0.01848910003900528,0,0,0.6650869846343994,2,Everton,258912,0,João Moutinho,2018,2,88,MC,9203,0.0,0.6465979814529419,1,Wolverhampton Wanderers,0.01848910003900528,0
