date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0,0,0,0,0,1,Manchester City,0,332213,0,Jürgen Locadia,2018,4,22,Sub,9576,0,Brighton,0,0
2019-04-23,0,1,0,0.010805499739944935,0.010805499739944935,1,Brighton,0,327356,0,Jürgen Locadia,2018,0,90,FWL,9519,0,Tottenham,0,0
2019-04-13,0.056222401559352875,0,0,0.056222401559352875,0,0,Bournemouth,0.056222401559352875,324213,0,Jürgen Locadia,2018,5,90,FWL,9536,2,Brighton,0.04010409861803055,0
2019-03-30,0.053141698241233826,0,0,0.053141698241233826,0,0,Southampton,0.053141698241233826,317952,0,Jürgen Locadia,2018,1,15,Sub,9516,1,Brighton,0,0
2019-03-09,0,0,0,0,0,1,Brighton,0,314315,0,Jürgen Locadia,2018,2,1,Sub,9493,0,Crystal Palace,0,0
2019-02-26,0.0387021005153656,0,0,0,0,2,Brighton,0.0387021005153656,304959,0,Jürgen Locadia,2018,1,22,Sub,9467,1,Leicester,0,0
2019-02-09,0,1,0,0.21132700145244598,0.10461899638175964,1,Burnley,0,304613,0,Jürgen Locadia,2018,3,68,FWL,9449,0,Brighton,0.10670799762010574,0
2019-02-02,0.43688899278640747,1,0,0.6960939764976501,0.032381098717451096,0,Watford,0.43688899278640747,304171,0,Jürgen Locadia,2018,0,90,FWL,9446,5,Brighton,0.22682400047779083,0
2019-01-29,0.08872789889574051,0,0,0.19158099591732025,0,4,Brighton,0.08872789889574051,303913,0,Jürgen Locadia,2018,2,75,FWL,9429,2,Fulham,0.10285300016403198,0
2019-01-19,0.05989890173077583,1,0,0.522678017616272,0.057979799807071686,2,Brighton,0.05989890173077583,303696,0,Jürgen Locadia,2018,1,90,ML,9421,1,Manchester United,0.4047990143299103,0
2019-01-12,0.03416610136628151,1,0,0.10491299629211426,0.0831872969865799,0,Liverpool,0.03416610136628151,303382,0,Jürgen Locadia,2018,1,90,ML,9416,2,Brighton,0.07074709981679916,0
2019-01-02,0.0640868991613388,0,0,0,0,2,Brighton,0.0640868991613388,303149,0,Jürgen Locadia,2018,2,90,ML,9398,1,West Ham,0,0
2018-12-29,0.7235080003738403,1,1,0.23441700637340546,0.11964300274848938,1,Everton,0.7235080003738403,291460,0,Jürgen Locadia,2018,0,90,ML,9396,3,Brighton,0,1
2018-12-26,0.9783120155334473,1,1,1.0715500116348267,0.014956600032746792,1,Arsenal,0.9783120155334473,279229,0,Jürgen Locadia,2018,1,88,ML,9386,2,Brighton,0.0782783031463623,1
2018-12-22,0.04279860109090805,0,0,0.4854680001735687,0,2,Brighton,0.04279860109090805,278940,0,Jürgen Locadia,2018,0,72,ML,9375,1,Bournemouth,0.4854680001735687,0
2018-12-16,0,0,0,0,0,1,Chelsea,0,278682,0,Jürgen Locadia,2018,2,6,Sub,9366,0,Brighton,0,0
2018-12-08,0.3179920017719269,1,0,0.2950249910354614,0.0310347992926836,1,Brighton,0.3179920017719269,278304,0,Jürgen Locadia,2018,0,26,Sub,9354,2,Burnley,0.0310347992926836,0
2018-11-24,0,2,0,0.07163120061159134,0.07163120061159134,1,Leicester,0,277514,0,Jürgen Locadia,2018,1,1,Sub,9322,0,Brighton,0.050255801528692245,0
2018-10-20,0.07308070361614227,2,0,0.45375099778175354,0.3806700110435486,0,Brighton,0.07308070361614227,276366,0,Jürgen Locadia,2018,1,75,Sub,9280,2,Newcastle United,0,0
2018-10-05,0,0,0,0,0,1,West Ham,0,275993,0,Jürgen Locadia,2018,0,3,Sub,9267,0,Brighton,0,0
2018-09-29,0.05970130115747452,0,0,0.088400699198246,0,2,Brighton,0.05970130115747452,260507,0,Jürgen Locadia,2018,0,74,FW,9260,1,Manchester City,0.088400699198246,0
2018-09-22,0,0,0,0.07766769826412201,0,1,Tottenham,0,260084,0,Jürgen Locadia,2018,2,9,Sub,9254,0,Brighton,0.07766769826412201,0
2018-09-17,0.3133719861507416,1,0,0,0.04886059835553169,2,Brighton,0.3133719861507416,259959,0,Jürgen Locadia,2018,2,13,Sub,9246,1,Southampton,0,0
2018-09-01,0.0500091016292572,0,0,0.08245520293712616,0,2,Fulham,0.0500091016292572,259502,0,Jürgen Locadia,2018,2,15,Sub,9233,1,Brighton,0.03244610130786896,0
2018-08-25,0,0,0,0,0,1,Brighton,0,259351,0,Jürgen Locadia,2018,0,13,Sub,9223,0,Liverpool,0,0
2018-08-19,0,0,0,0,0,3,Manchester United,0,258945,0,Jürgen Locadia,2018,2,1,Sub,9215,0,Brighton,0,0
