date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.0,0,0,0.018482299521565437,0,Chelsea,332313,0,Kasper Schmeichel,2018,0,90,GK,9572,0.0,0.018482299521565437,0,Leicester,0.0,0
2019-05-06,0.0,0,0,0.0,1,Leicester,331354,0,Kasper Schmeichel,2018,0,90,GK,9560,0.0,0.0,0,Manchester City,0.0,0
2019-04-28,0.0,1,0,0.934050977230072,3,Arsenal,328657,0,Kasper Schmeichel,2018,0,90,GK,9552,0.2929759919643402,0.6410750150680542,0,Leicester,0.0,0
2019-04-20,0.0,0,0,0.0,2,Leicester,326018,0,Kasper Schmeichel,2018,2,90,GK,9538,0.0,0.0,0,West Ham,0.0,0
2019-04-12,0.0,0,0,0.4908539950847626,0,Newcastle United,323871,0,Kasper Schmeichel,2018,1,90,GK,9532,0.0,0.4908539950847626,0,Leicester,0.0,0
2019-04-06,0.0,0,0,0.11100000143051147,1,Leicester,322584,0,Kasper Schmeichel,2018,4,90,GK,9523,0.0,0.11100000143051147,0,Huddersfield,0.0,0
2019-03-30,0.0,0,0,0.5520200133323669,2,Bournemouth,317859,0,Kasper Schmeichel,2018,0,90,GK,9511,0.0,0.5520200133323669,0,Leicester,0.0,0
2019-03-16,0.0,0,0,0.08027090132236481,1,Leicester,316434,0,Kasper Schmeichel,2018,2,90,GK,9504,0.0,0.08027090132236481,0,Burnley,0.0,0
2019-03-09,0.0,0,0,0.08005650341510773,3,Fulham,314455,0,Kasper Schmeichel,2018,1,90,GK,9491,0.0,0.08005650341510773,0,Leicester,0.0,0
2019-03-03,0.0,0,0,0.0,2,Leicester,305416,0,Kasper Schmeichel,2018,1,90,GK,9479,0.0,0.0,0,Watford,0.0,0
2019-02-26,0.0,0,0,0.35577601194381714,2,Brighton,304932,0,Kasper Schmeichel,2018,1,90,GK,9467,0.0,0.35577601194381714,0,Leicester,0.0,0
