date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-04,0.011064999736845493,0,0,0.011064999736845493,2,Liverpool,330573,0,Ki Sung-yueng,2018,3,90,MC,9559,0.0,0.0,1,Newcastle United,0.011064999736845493,0
2019-04-27,0.0,0,0,0.0,1,Newcastle United,328461,0,Ki Sung-yueng,2018,1,14,Sub,9556,0.0,0.0,0,Brighton,0.0,0
2019-04-20,0.019925300031900406,1,0,0.019925300031900406,3,Southampton,326208,0,Ki Sung-yueng,2018,1,90,MC,9539,0.08299069851636887,0.0,1,Newcastle United,0.019925300031900406,0
2019-04-12,0.0,1,0,0.07951570302248001,0,Newcastle United,323893,0,Ki Sung-yueng,2018,1,84,MC,9532,0.015193000435829163,0.07951570302248001,0,Leicester,0.0,0
2019-04-06,0.027945900335907936,0,0,0.14263999462127686,0,Crystal Palace,322550,0,Ki Sung-yueng,2018,1,78,MC,9521,0.0,0.11469399929046631,2,Newcastle United,0.027945900335907936,0
2019-04-01,0.01915300078690052,0,0,0.01915300078690052,2,Newcastle United,321490,0,Ki Sung-yueng,2018,0,22,Sub,9507,0.0,0.0,1,Arsenal,0.01915300078690052,0
2019-03-09,0.0,0,0,0.0712800994515419,3,Everton,314546,0,Ki Sung-yueng,2018,2,81,MC,9488,0.0,0.0712800994515419,0,Newcastle United,0.0,0
2018-12-22,0.015866300091147423,0,0,0.015866300091147423,0,Fulham,278817,0,Ki Sung-yueng,2018,0,90,MC,9369,0.0,0.0,1,Newcastle United,0.015866300091147423,0
2018-12-15,0.0,1,0,0.0,0,Newcastle United,278580,0,Ki Sung-yueng,2018,1,74,MC,9363,0.2768380045890808,0.0,0,Huddersfield,0.0,0
2018-12-09,0.0,3,0,0.08528490364551544,1,Wolverhampton Wanderers,278399,0,Ki Sung-yueng,2018,2,90,MC,9348,0.0756354033946991,0.08528490364551544,0,Newcastle United,0.0,0
2018-12-05,0.0,2,0,0.07351720333099365,1,Newcastle United,278107,0,Ki Sung-yueng,2018,1,90,MC,9345,0.15863899886608124,0.07351720333099365,0,Everton,0.0,0
2018-12-01,0.0,1,0,0.1886579990386963,0,West Ham,277674,0,Ki Sung-yueng,2018,3,90,MC,9328,0.01605149917304516,0.17260700464248657,0,Newcastle United,0.0,0
2018-11-26,0.0,2,0,0.5273249745368958,1,Newcastle United,277635,0,Ki Sung-yueng,2018,2,90,MC,9326,0.031190000474452972,0.5273249745368958,0,Burnley,0.0,0
2018-11-10,0.0,3,0,1.4498499631881714,2,Bournemouth,277149,0,Ki Sung-yueng,2018,1,90,MC,9309,0.0818295031785965,1.4498499631881714,0,Newcastle United,0.0,0
2018-11-03,0.041948799043893814,1,0,0.0,1,Watford,276879,1,Ki Sung-yueng,2018,0,38,Sub,9299,0.31415900588035583,0.0,1,Newcastle United,0.041948799043893814,0
2018-10-27,0.0,0,0,0.016755500808358192,0,Newcastle United,276669,0,Ki Sung-yueng,2018,0,11,Sub,9292,0.0,0.016755500808358192,0,Southampton,0.0,0
2018-09-01,0.0,1,0,0.4991709887981415,2,Newcastle United,259706,0,Ki Sung-yueng,2018,1,90,MC,9234,0.02501389943063259,0.4741570055484772,0,Manchester City,0.0,0
2018-08-26,0.016276000067591667,0,0,0.016276000067591667,1,Chelsea,259388,0,Ki Sung-yueng,2018,2,90,MC,9225,0.0,0.0,1,Newcastle United,0.016276000067591667,0
