date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.0,0,0,0.0,2,Everton,332444,0,Morgan Schneiderlin,2018,2,90,MC,9568,0.0,0.0,0,Tottenham,0.0,0
2019-05-03,0.0,0,0,0.10261700302362442,2,Burnley,329932,0,Morgan Schneiderlin,2018,0,90,DMC,9562,0.0,0.10261700302362442,0,Everton,0.0,0
2019-04-27,0.03343990072607994,0,0,0.4347490072250366,0,Everton,328369,0,Morgan Schneiderlin,2018,0,90,DMC,9554,0.0,0.4013090133666992,1,Crystal Palace,0.03343990072607994,0
2019-04-21,0.0,1,0,0.2450830042362213,4,Manchester United,326565,0,Morgan Schneiderlin,2018,0,90,DMC,9542,0.0669931024312973,0.17809000611305237,0,Everton,0.0,0
2019-03-17,0.0,0,0,0.0,2,Chelsea,317126,0,Morgan Schneiderlin,2018,0,21,Sub,9503,0.0,0.0,0,Everton,0.0,0
2019-03-03,0.04151489958167076,1,0,0.06848839670419693,0,Liverpool,305464,0,Morgan Schneiderlin,2018,0,77,MC,9483,0.021633099764585495,0.04685540124773979,1,Everton,0.04151489958167076,0
2019-02-26,0.0,1,0,0.4805319905281067,0,Everton,305007,0,Morgan Schneiderlin,2018,3,90,DMC,9469,0.025450900197029114,0.4550809860229492,0,Cardiff,0.0,0
2018-12-23,0.026133600622415543,1,0,0.15103499591350555,2,Tottenham,278985,0,Morgan Schneiderlin,2018,6,35,Sub,9372,0.041935499757528305,0.12490200251340866,1,Everton,0.026133600622415543,0
2018-10-06,0.0,0,0,0.0,1,Everton,276089,0,Morgan Schneiderlin,2018,2,1,Sub,9270,0.0,0.0,0,Leicester,0.0,0
2018-09-29,0.0,0,0,0.0,3,Fulham,260439,0,Morgan Schneiderlin,2018,0,1,Sub,9262,0.0,0.0,0,Everton,0.0,0
2018-09-16,0.0,1,0,0.3623180091381073,1,West Ham,259829,0,Morgan Schneiderlin,2018,3,43,DMC,9245,0.016200700774788857,0.3461180031299591,0,Everton,0.0,0
2018-09-01,0.0,1,0,0.10968899726867676,1,Huddersfield,259633,0,Morgan Schneiderlin,2018,1,90,DMC,9229,0.017732499167323112,0.09195610135793686,0,Everton,0.0,0
2018-08-18,0.0,2,0,0.021603899076581,2,Southampton,259078,1,Morgan Schneiderlin,2018,1,23,DMC,9211,0.6137589812278748,0.0,0,Everton,0.0,0
2018-08-11,0.0,0,0,0.0,2,Everton,258924,0,Morgan Schneiderlin,2018,2,90,DMC,9203,0.0,0.0,0,Wolverhampton Wanderers,0.0,0
