date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-05,0.0,0,0,0.0,3,Watford,330818,0,N'Golo Kanté,2018,0,9,MC,9563,0.0,0.0,0,Chelsea,0.0,0
2019-04-28,0.11493200063705444,2,0,0.6898120045661926,1,Chelsea,329177,0,N'Golo Kanté,2018,1,90,MC,9550,0.07528769969940186,0.5748800039291382,1,Manchester United,0.11493200063705444,0
2019-04-22,0.12461400032043457,1,1,0.3006959855556488,2,Burnley,327230,0,N'Golo Kanté,2018,2,49,MC,9543,0.033590298146009445,0.14249099791049957,2,Chelsea,0.12461400032043457,1
2019-04-14,0.0911044031381607,1,0,0.1099110022187233,2,Chelsea,325026,0,N'Golo Kanté,2018,0,90,MC,9531,0.01880669966340065,0.0,1,Liverpool,0.0911044031381607,0
2019-04-08,0.03955230116844177,1,0,0.4809960126876831,2,West Ham,323660,0,N'Golo Kanté,2018,0,90,MC,9525,0.13213199377059937,0.44144299626350403,1,Chelsea,0.03955230116844177,0
2019-04-03,0.6191909909248352,2,0,1.4764599800109863,3,Brighton,321937,0,N'Golo Kanté,2018,0,90,MC,9462,0.1356479972600937,0.8150500059127808,1,Chelsea,0.6191909909248352,0
2019-03-17,0.0,1,0,0.7868520021438599,2,Chelsea,317134,0,N'Golo Kanté,2018,0,90,MC,9503,0.01810069940984249,0.7687510251998901,0,Everton,0.0,0
2019-03-10,0.0,2,0,0.33485499024391174,1,Wolverhampton Wanderers,315211,0,N'Golo Kanté,2018,1,90,MC,9494,0.08495280146598816,0.24990199506282806,0,Chelsea,0.0,0
2019-03-03,0.12170200049877167,2,0,0.7217239737510681,1,Chelsea,305449,0,N'Golo Kanté,2018,2,90,MC,9482,0.11145900189876556,0.5697770118713379,2,Fulham,0.12170200049877167,0
2019-02-27,0.013359899632632732,1,0,0.08454839885234833,2,Tottenham,305159,0,N'Golo Kanté,2018,0,90,MC,9474,0.05731379985809326,0.013874700292944908,1,Chelsea,0.013359899632632732,0
2019-02-10,0.0,1,0,0.5731649994850159,6,Chelsea,304675,0,N'Golo Kanté,2018,0,90,MC,9454,0.04895609989762306,0.5731649994850159,0,Manchester City,0.0,0
2019-02-02,0.0,4,0,1.157420039176941,5,Huddersfield,304219,2,N'Golo Kanté,2018,0,86,MC,9443,0.48871999979019165,1.1365900039672852,0,Chelsea,0.0,0
2019-01-30,0.0,1,0,0.4533030092716217,4,Chelsea,304044,0,N'Golo Kanté,2018,0,90,MC,9430,0.040110401809215546,0.4533030092716217,0,Bournemouth,0.0,0
2019-01-19,0.0,0,0,0.2675670087337494,2,Chelsea,303799,0,N'Golo Kanté,2018,0,90,MC,9426,0.0,0.2675670087337494,0,Arsenal,0.0,0
2019-01-12,0.0,1,0,0.10998799651861191,2,Newcastle United,303487,0,N'Golo Kanté,2018,1,90,MC,9413,0.07915160059928894,0.030836300924420357,0,Chelsea,0.0,0
2019-01-02,0.0,2,0,0.2732680141925812,0,Southampton,303239,0,N'Golo Kanté,2018,0,90,MC,9403,0.09629999846220016,0.2333189994096756,0,Chelsea,0.0,0
2018-12-30,0.3742400109767914,1,1,0.4379749894142151,0,Chelsea,291579,0,N'Golo Kanté,2018,1,90,MC,9394,0.026478299871087074,0.037256501615047455,3,Crystal Palace,0.3742400109767914,1
2018-12-26,0.1506980061531067,0,0,0.2913230061531067,1,Chelsea,279267,0,N'Golo Kanté,2018,2,90,MC,9377,0.0,0.140625,1,Watford,0.1506980061531067,0
2018-12-22,0.0,2,0,0.4804059863090515,0,Leicester,278896,0,N'Golo Kanté,2018,1,90,MC,9373,0.38795700669288635,0.14815400540828705,0,Chelsea,0.0,0
2018-12-16,0.0,1,0,0.12397599965333939,1,Chelsea,278690,0,N'Golo Kanté,2018,2,90,MC,9366,0.12397599965333939,0.0,0,Brighton,0.0,0
2018-12-08,0.10407499969005585,2,1,0.28762000799179077,2,Manchester City,278341,0,N'Golo Kanté,2018,0,90,MC,9352,0.18354499340057373,0.0,1,Chelsea,0.10407499969005585,1
2018-12-05,0.022799599915742874,1,0,0.1944819986820221,2,Chelsea,278020,0,N'Golo Kanté,2018,1,79,MC,9339,0.0849016010761261,0.17168299853801727,1,Wolverhampton Wanderers,0.022799599915742874,0
2018-12-02,0.025534700602293015,1,0,0.9187570214271545,2,Fulham,277840,1,N'Golo Kanté,2018,0,90,MC,9334,0.5133280158042908,0.3798939883708954,1,Chelsea,0.025534700602293015,0
2018-11-24,0.0,1,0,0.5823299884796143,3,Chelsea,277550,0,N'Golo Kanté,2018,1,90,MC,9323,0.13652800023555756,0.4458020031452179,0,Tottenham,0.0,0
2018-11-11,0.04620080068707466,0,0,0.17351500689983368,0,Everton,277288,0,N'Golo Kanté,2018,0,90,MC,9314,0.0,0.1273140013217926,2,Chelsea,0.04620080068707466,0
2018-11-04,0.0,2,0,0.2926909923553467,3,Crystal Palace,277038,0,N'Golo Kanté,2018,1,90,MC,9305,0.11084800213575363,0.21180899441242218,0,Chelsea,0.0,0
2018-10-28,0.08706329762935638,3,0,1.5105899572372437,0,Chelsea,276745,1,N'Golo Kanté,2018,4,90,MC,9295,0.1475200057029724,1.3757400512695312,1,Burnley,0.08706329762935638,0
2018-10-20,0.03517860174179077,1,0,0.36173000931739807,2,Manchester United,276263,0,N'Golo Kanté,2018,2,90,MC,9277,0.03522820025682449,0.30612000823020935,2,Chelsea,0.03517860174179077,0
2018-10-07,0.06888309866189957,2,0,0.7532410025596619,0,Chelsea,276222,0,N'Golo Kanté,2018,3,90,MC,9275,0.050215501338243484,0.663375973701477,1,Southampton,0.06888309866189957,0
2018-09-29,0.0,1,0,0.16573600471019745,1,Liverpool,260405,0,N'Golo Kanté,2018,1,90,MC,9264,0.3515689969062805,0.16573600471019745,0,Chelsea,0.0,0
2018-09-23,0.6083739995956421,2,0,0.9030029773712158,0,Chelsea,260311,0,N'Golo Kanté,2018,0,90,MC,9255,0.07095039635896683,0.7087969779968262,3,West Ham,0.6083739995956421,0
2018-09-15,0.0,0,0,0.5365200042724609,4,Cardiff,259802,0,N'Golo Kanté,2018,1,90,MC,9241,0.0,0.5365200042724609,0,Chelsea,0.0,0
2018-09-01,0.0,0,0,0.2686449885368347,2,Bournemouth,259578,0,N'Golo Kanté,2018,0,90,MC,9231,0.0,0.2686449885368347,0,Chelsea,0.0,0
2018-08-26,0.0,0,0,0.24660199880599976,1,Chelsea,259400,0,N'Golo Kanté,2018,2,90,MC,9225,0.0,0.24660199880599976,0,Newcastle United,0.0,0
2018-08-18,0.28852400183677673,4,0,0.5432479977607727,3,Arsenal,259022,0,N'Golo Kanté,2018,2,90,MC,9212,0.08941560238599777,0.22562900185585022,3,Chelsea,0.28852400183677673,0
2018-08-11,0.09770169854164124,0,1,0.15202200412750244,0,Chelsea,258756,0,N'Golo Kanté,2018,3,90,MC,9200,0.0,0.054319899529218674,1,Huddersfield,0.09770169854164124,1
