date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-06,0.13240200281143188,1,0,0.15172900259494781,1,Leicester,331347,0,Phil Foden,2018,0,58,MC,9560,0.020359499379992485,0.05233389884233475,3,Manchester City,0.13240200281143188,0
2019-04-20,0.8518139719963074,0,1,0.975695013999939,1,Tottenham,325650,0,Phil Foden,2018,0,86,MC,9540,0.0,0.12387999892234802,3,Manchester City,0.8518139719963074,1
2019-04-03,0.7286840081214905,3,0,1.7099599838256836,2,Cardiff,321886,0,Phil Foden,2018,0,90,MC,9522,0.4000290036201477,0.754656970500946,5,Manchester City,0.7286840081214905,0
2019-03-09,0.0,0,0,0.0,3,Watford,314692,0,Phil Foden,2018,1,1,Sub,9489,0.0,0.0,0,Manchester City,0.0,0
2019-02-27,0.0,0,0,0.0,1,West Ham,305109,0,Phil Foden,2018,0,4,Sub,9475,0.0,0.0,0,Manchester City,0.0,0
2018-12-08,0.0,0,0,0.0,2,Manchester City,278362,0,Phil Foden,2018,0,4,Sub,9352,0.0,0.0,0,Chelsea,0.0,0
2018-11-24,0.0,0,0,0.08673310279846191,0,Manchester City,277393,0,Phil Foden,2018,4,19,Sub,9317,0.0,0.08673310279846191,0,West Ham,0.0,0
2018-11-11,0.0,0,0,0.0,3,Manchester United,277323,0,Phil Foden,2018,1,1,Sub,9315,0.0,0.0,0,Manchester City,0.0,0
2018-11-04,0.12743200361728668,1,0,0.3526709973812103,6,Southampton,277018,0,Phil Foden,2018,1,15,Sub,9300,0.09338779747486115,0.13185100257396698,1,Manchester City,0.12743200361728668,0
2018-10-20,0.10735899955034256,1,0,0.5606309771537781,5,Burnley,276380,0,Phil Foden,2018,0,12,Sub,9281,0.3937920033931732,0.4532720148563385,1,Manchester City,0.10735899955034256,0
2018-09-29,0.0,0,0,0.027524499222636223,2,Brighton,260496,0,Phil Foden,2018,0,1,Sub,9260,0.0,0.027524499222636223,0,Manchester City,0.0,0
2018-09-22,0.3020640015602112,1,0,0.39859500527381897,0,Manchester City,260151,0,Phil Foden,2018,5,19,Sub,9252,0.10987400263547897,0.09653130173683167,1,Cardiff,0.3020640015602112,0
2018-08-19,0.0,1,0,0.07701879739761353,6,Huddersfield,259142,0,Phil Foden,2018,1,6,Sub,9213,0.05531270056962967,0.021706100553274155,0,Manchester City,0.0,0
