date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0.03629320114850998,3,0,0.2690980136394501,0.22950799763202667,2,Wolverhampton Wanderers,0.03629320114850998,332342,1,Trent Alexander-Arnold,2018,0,90,DR,9571,1,Liverpool,0.05659420043230057,0
2019-05-04,0,2,0,0.22219699621200562,0.5057250261306763,2,Liverpool,0,330578,2,Trent Alexander-Arnold,2018,3,90,DR,9559,0,Newcastle United,0.12744499742984772,0
2019-04-26,0,2,0,0.7312510013580322,0.34889400005340576,5,Huddersfield,0,328020,1,Trent Alexander-Arnold,2018,0,89,DR,9551,0,Liverpool,0.7312510013580322,0
2019-04-21,0.07910130172967911,5,0,0.16589100658893585,0.30818501114845276,0,Liverpool,0.07910130172967911,326795,1,Trent Alexander-Arnold,2018,2,88,DR,9544,2,Cardiff,0.02001209929585457,0
2019-04-14,0.04110569879412651,1,0,0.21355900168418884,0.03494210168719292,2,Chelsea,0.04110569879412651,325008,0,Trent Alexander-Arnold,2018,0,90,DR,9531,2,Liverpool,0.19560900330543518,0
2019-04-05,0,1,0,0.4688059985637665,0.03336169943213463,1,Liverpool,0,322338,1,Trent Alexander-Arnold,2018,3,60,DR,9520,0,Southampton,0.4354439973831177,0
2019-03-31,0.0429810993373394,2,0,0.2116059958934784,0.07621929794549942,2,Tottenham,0.0429810993373394,318637,0,Trent Alexander-Arnold,2018,1,90,DR,9510,2,Liverpool,0.13843800127506256,0
2019-03-17,0,2,0,0.28556299209594727,0.22418799996376038,1,Liverpool,0,316991,0,Trent Alexander-Arnold,2018,2,90,DR,9502,0,Fulham,0.28556299209594727,0
2019-03-10,0.07581359893083572,3,0,1.3531299829483032,1.117419958114624,4,Burnley,0.07581359893083572,314984,0,Trent Alexander-Arnold,2018,2,89,DR,9490,3,Liverpool,1.2566100358963013,0
2019-03-03,0.042569600045681,2,0,0.09628760069608688,0.1373949944972992,0,Liverpool,0.042569600045681,305473,0,Trent Alexander-Arnold,2018,0,90,DR,9483,1,Everton,0.028864199295639992,0
2019-02-27,0,5,0,1.0535000562667847,1.4721200466156006,5,Watford,0,305126,3,Trent Alexander-Arnold,2018,0,90,DR,9476,0,Liverpool,0.2731209993362427,0
