date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2019-05-12,0.07180490344762802,0,0,0.06324770301580429,0,Chelsea,332320,0,Youri Tielemans,2018,0,90,MC,9572,0.0,0.02449049986898899,3,Leicester,0.07180490344762802,0
2019-05-06,0.016046199947595596,0,0,0.14432500302791595,1,Leicester,331360,0,Youri Tielemans,2018,0,76,MC,9560,0.0,0.1282780021429062,1,Manchester City,0.016046199947595596,0
2019-04-28,0.7639319896697998,2,1,1.5737299919128418,3,Arsenal,328664,0,Youri Tielemans,2018,0,90,MC,9552,0.1481969952583313,0.7058960199356079,5,Leicester,0.7639319896697998,1
2019-04-20,0.0,1,0,0.4711099863052368,2,Leicester,326024,1,Youri Tielemans,2018,2,90,MC,9538,0.3046109974384308,0.4711099863052368,0,West Ham,0.0,0
2019-04-12,0.017455700784921646,1,0,0.3988470137119293,0,Newcastle United,323878,0,Youri Tielemans,2018,1,90,MC,9532,0.3517319858074188,0.3813920021057129,1,Leicester,0.017455700784921646,0
2019-04-06,0.1294189989566803,0,1,0.9526919722557068,1,Leicester,322591,0,Youri Tielemans,2018,4,90,MC,9523,0.0,0.9160370230674744,3,Huddersfield,0.1294189989566803,1
2019-03-30,0.12297400087118149,3,0,1.1854900121688843,2,Bournemouth,317866,1,Youri Tielemans,2018,0,90,MC,9511,0.4695720076560974,1.0600099563598633,3,Leicester,0.12297400087118149,0
2019-03-16,0.0,1,0,0.09970449656248093,1,Leicester,316441,0,Youri Tielemans,2018,2,90,MC,9504,0.019433600828051567,0.09970449656248093,0,Burnley,0.0,0
2019-03-09,0.6842529773712158,2,1,0.7970259785652161,3,Fulham,314460,0,Youri Tielemans,2018,1,73,DMC,9491,0.10771200060844421,0.0514054000377655,5,Leicester,0.6842529773712158,1
2019-03-03,0.05434510111808777,1,0,0.3812510073184967,2,Leicester,305422,1,Youri Tielemans,2018,1,84,MC,9479,0.2887730002403259,0.06006219983100891,2,Watford,0.05434510111808777,0
2019-02-26,0.03100310079753399,2,0,0.7910169959068298,2,Brighton,304937,1,Youri Tielemans,2018,1,70,MC,9467,0.4042370021343231,0.37737900018692017,2,Leicester,0.03100310079753399,0
2019-02-23,0.1025879979133606,1,0,0.22645099461078644,1,Crystal Palace,304853,0,Youri Tielemans,2018,4,75,MC,9460,0.04812059924006462,0.14162500202655792,4,Leicester,0.1025879979133606,0
2019-02-10,0.06204349920153618,2,0,1.2240400314331055,3,Leicester,304649,0,Youri Tielemans,2018,1,90,MC,9452,0.36068999767303467,0.8445720076560974,2,Tottenham,0.06204349920153618,0
2019-01-26,0.011171500198543072,0,0,0.4283449947834015,2,Monaco,312538,0,Youri Tielemans,2018,0,68,MC,10857,0.0,0.41717299818992615,1,Dijon,0.011171500198543072,0
2019-01-19,0.0,1,0,0.4526529908180237,1,Strasbourg,312249,1,Youri Tielemans,2018,5,90,MC,10846,0.25723499059677124,0.19541800022125244,0,Monaco,0.0,0
2019-01-16,0.09595160186290741,2,0,0.5410990118980408,1,Nice,312109,0,Youri Tielemans,2018,1,90,MC,10806,0.04903459921479225,0.4139919877052307,2,Monaco,0.09595160186290741,0
2019-01-13,0.19697000086307526,0,1,0.18407200276851654,1,Monaco,311985,0,Youri Tielemans,2018,1,90,MC,10842,0.0,0.0,5,Marseille,0.19697000086307526,1
2018-12-22,0.0,2,0,0.14327199757099152,0,Guingamp,290606,0,Youri Tielemans,2018,2,90,MC,10826,0.10329599678516388,0.05581729859113693,0,Monaco,0.0,0
2018-12-16,0.06488040089607239,0,0,0.039838798344135284,3,Monaco,290371,0,Youri Tielemans,2018,0,90,MC,10817,0.0,0.027683500200510025,2,Lyon,0.06488040089607239,0
2018-12-04,0.0,1,0,0.08750169724225998,0,Monaco,289929,0,Youri Tielemans,2018,2,90,MC,10795,0.022131899371743202,0.06536979973316193,0,Amiens,0.0,0
2018-12-01,0.2835330069065094,2,1,0.40073999762535095,1,Montpellier,289690,0,Youri Tielemans,2018,2,90,MC,10786,0.1620739996433258,0.08987230062484741,5,Monaco,0.2835330069065094,1
2018-11-24,0.16540400683879852,0,0,0.09615939855575562,0,Monaco,289425,0,Youri Tielemans,2018,1,90,DMC,10774,0.0,0.0,3,Caen,0.16540400683879852,0
2018-11-03,0.0,0,0,0.5440700054168701,1,Monaco,288956,0,Youri Tielemans,2018,0,46,MC,10760,0.0,0.5440700054168701,0,Reims,0.0,0
2018-10-27,0.02368289977312088,0,0,0.0,2,Dijon,288664,0,Youri Tielemans,2018,2,72,MC,10748,0.0,0.0,1,Monaco,0.02368289977312088,0
2018-10-20,0.8405519723892212,0,0,0.03941730037331581,2,Monaco,288428,0,Youri Tielemans,2018,1,90,MC,10742,0.0,0.03941730037331581,2,Strasbourg,0.08058919757604599,1
2018-10-07,0.10370399802923203,0,0,0.1450989991426468,1,Rennes,288193,0,Youri Tielemans,2018,2,90,MC,10729,0.0,0.1253490000963211,2,Monaco,0.10370399802923203,0
2018-09-25,0.0,2,0,0.18041899800300598,0,Angers,251583,0,Youri Tielemans,2018,1,63,DMC,10708,0.4163469970226288,0.18041899800300598,0,Monaco,0.0,0
2018-09-21,0.0,3,0,0.2080339938402176,1,Nimes,249945,0,Youri Tielemans,2018,1,90,DMC,10696,0.6735600233078003,0.19526100158691406,0,Monaco,0.0,0
2018-09-15,0.1285109966993332,1,1,0.2750279903411865,1,Monaco,249180,0,Youri Tielemans,2018,1,90,MC,10692,0.06928879767656326,0.09571920335292816,5,Toulouse,0.1285109966993332,1
2018-09-02,0.6314939856529236,1,1,0.6990489959716797,2,Marseille,247831,0,Youri Tielemans,2018,3,87,MC,10682,0.04198389872908592,0.025571800768375397,3,Monaco,0.6314939856529236,1
2018-08-26,0.0406528003513813,1,0,0.19993799924850464,2,Monaco,245750,0,Youri Tielemans,2018,1,90,DMC,10671,0.026813199743628502,0.16064299643039703,2,Bordeaux,0.0406528003513813,0
2018-08-18,0.009075690060853958,1,0,0.18509499728679657,0,Lille,243068,0,Youri Tielemans,2018,0,90,DMC,10655,0.036404501646757126,0.139614999294281,1,Monaco,0.009075690060853958,0
2018-08-11,0.0,2,0,1.0823700428009033,1,Monaco,242021,0,Youri Tielemans,2018,3,90,DMC,10644,0.16993500292301178,0.9688509702682495,0,Nantes,0.0,0
