date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-13,0.12556299567222595,1,0,0.5919340252876282,0.09582819789648056,2,Chievo,0.12556299567222595,332926,0,Cédric Soares,2018,0,90,DR,9935,2,Inter,0.46637099981307983,0
2019-03-10,0.021988699212670326,4,0,0.21973399817943573,0.2424270063638687,2,SPAL 2013,0.021988699212670326,315150,1,Cédric Soares,2018,0,90,DR,9841,1,Inter,0.12755799293518066,0
2019-02-09,0,0,0,0,0,0,Inter,0,306429,0,Cédric Soares,2018,1,1,Sub,9803,0,Parma Calcio 1913,0,0
2019-02-03,0.012282599695026875,1,0,0.1247050017118454,0.045354899019002914,0,Bologna,0.012282599695026875,306209,0,Cédric Soares,2018,1,80,DR,9793,1,Inter,0.1247050017118454,0
2019-01-19,0,0,0,0,0,2,Everton,0,303713,0,Cédric Soares,2018,1,56,Sub,9419,0,Southampton,0,0
2019-01-12,0,0,0,0,0,1,Southampton,0,303478,0,Cédric Soares,2018,2,31,Sub,9410,0,Leicester,0,0
2019-01-02,0,1,0,0.029008500277996063,0.015826599672436714,0,Southampton,0,303252,0,Cédric Soares,2018,0,90,DL,9403,0,Chelsea,0.029008500277996063,0
2018-12-05,0.019139699637889862,1,0,0.2883929908275604,0.08777300268411636,3,Southampton,0.019139699637889862,278155,0,Cédric Soares,2018,1,90,DR,9346,2,Tottenham,0.27997198700904846,0
2018-12-01,0.07912349700927734,0,1,0.11216399818658829,0,2,Manchester United,0.07912349700927734,277814,0,Cédric Soares,2018,2,90,ML,9327,1,Southampton,0.11216399818658829,1
2018-11-24,0.01646609976887703,2,0,0.2756269872188568,0.07060279697179794,3,Southampton,0.01646609976887703,277463,1,Cédric Soares,2018,2,90,DR,9320,1,Fulham,0.25916099548339844,0
2018-11-10,0,0,0,0.13071399927139282,0,1,Watford,0,277116,0,Cédric Soares,2018,1,90,DR,9308,0,Southampton,0.13071399927139282,0
2018-11-04,0,1,0,0,0.03818659856915474,6,Southampton,0,277020,0,Cédric Soares,2018,1,90,DR,9300,0,Manchester City,0,0
2018-10-27,0.08011669665575027,2,0,0.34846699237823486,0.16705000400543213,0,Newcastle United,0.08011669665575027,276643,0,Cédric Soares,2018,0,90,DR,9292,1,Southampton,0.10130000114440918,0
2018-10-20,0,0,0,0.019277699291706085,0,0,Southampton,0,276438,0,Cédric Soares,2018,0,90,DR,9283,0,Bournemouth,0.019277699291706085,0
2018-10-07,0,0,0,0.06414440274238586,0,0,Chelsea,0,276208,0,Cédric Soares,2018,3,90,DMR,9275,0,Southampton,0.06414440274238586,0
2018-09-29,0,1,0,0.20987899601459503,0.05604669824242592,2,Southampton,0,260581,0,Cédric Soares,2018,0,90,DR,9258,0,Wolverhampton Wanderers,0.20987899601459503,0
2018-09-22,0,1,0,0.17937099933624268,0.03174220025539398,3,Southampton,0,260250,0,Cédric Soares,2018,0,90,DR,9249,0,Liverpool,0.17937099933624268,0
2018-09-17,0.008952760137617588,0,0,0.4981749951839447,0,2,Brighton,0.008952760137617588,259934,0,Cédric Soares,2018,2,90,DR,9246,1,Southampton,0.48922300338745117,0
2018-09-01,0.04361269995570183,3,0,0.4398840069770813,0.6759499907493591,0,Southampton,0.04361269995570183,259615,1,Cédric Soares,2018,2,90,DR,9230,2,Crystal Palace,0.10001099854707718,0
2018-08-25,0.013816400431096554,0,0,0.13997599482536316,0,1,Leicester,0.013816400431096554,259409,0,Cédric Soares,2018,2,90,DR,9218,1,Southampton,0.13997599482536316,0
2018-08-18,0.013469499535858631,0,0,0.14190800487995148,0,2,Southampton,0.013469499535858631,259088,0,Cédric Soares,2018,1,90,DR,9211,1,Everton,0.12843799591064453,0
2018-08-12,0,0,0,0.03559330105781555,0,0,Burnley,0,258853,0,Cédric Soares,2018,0,57,DMR,9204,0,Southampton,0.03559330105781555,0
