date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-04-20,0,0,0,0,0,0,Brighton,0,325997,0,Davy Pröpper,2018,0,9,MC,9537,0,Wolverhampton Wanderers,0,0
2019-04-16,0,2,0,0.16214999556541443,0.04187069833278656,0,Cardiff,0,325347,0,Davy Pröpper,2018,2,90,MC,9505,0,Brighton,0.13669000566005707,0
2019-04-13,0,1,0,0.04010409861803055,0.04010409861803055,0,Bournemouth,0,324209,0,Davy Pröpper,2018,5,64,MC,9536,0,Brighton,0.04010409861803055,0
2019-04-03,0,1,0,0.28621500730514526,0.02670549973845482,3,Brighton,0,321952,0,Davy Pröpper,2018,0,90,MC,9462,0,Chelsea,0.28621500730514526,0
2019-03-30,0,1,0,0.07976239919662476,0.0222437996417284,0,Southampton,0,317947,0,Davy Pröpper,2018,1,75,MC,9516,0,Brighton,0.057518601417541504,0
2019-03-09,0,1,0,0.013733100146055222,0.013733100146055222,1,Brighton,0,314311,0,Davy Pröpper,2018,2,90,MC,9493,0,Crystal Palace,0,0
2019-03-02,0,1,0,0.08131399750709534,0.021673399955034256,1,Huddersfield,0,305325,0,Davy Pröpper,2018,0,90,MC,9485,0,Brighton,0.05964070186018944,0
2019-02-26,0.13523800671100616,1,1,0.09013400226831436,0.011206399649381638,2,Brighton,0.13523800671100616,304952,0,Davy Pröpper,2018,1,90,MC,9467,2,Leicester,0.032384298741817474,1
2019-02-09,0.18290400505065918,0,0,0.307794988155365,0,1,Burnley,0.18290400505065918,304609,0,Davy Pröpper,2018,3,90,MC,9449,3,Brighton,0.20806199312210083,0
2019-02-02,0.2883569896221161,2,0,0.8439940214157104,0.0368615984916687,0,Watford,0.2883569896221161,304168,0,Davy Pröpper,2018,0,90,MC,9446,1,Brighton,0.8255209922790527,0
2019-01-29,0.028981400653719902,0,0,0,0,4,Brighton,0.028981400653719902,303909,0,Davy Pröpper,2018,2,90,MC,9429,1,Fulham,0,0
2019-01-19,0,1,0,0.4646979868412018,0.299560010433197,2,Brighton,0,303694,1,Davy Pröpper,2018,1,90,MC,9421,0,Manchester United,0.4646979868412018,0
2019-01-12,0,0,0,0.09231030195951462,0,0,Liverpool,0,303380,0,Davy Pröpper,2018,1,90,MC,9416,0,Brighton,0.09231030195951462,0
2019-01-02,0,3,0,0.07102339714765549,0.13712699711322784,2,Brighton,0,303147,0,Davy Pröpper,2018,2,90,MC,9398,0,West Ham,0.04822779819369316,0
2018-12-29,0.04547470062971115,1,0,0.12218999862670898,0.12218999862670898,1,Everton,0.04547470062971115,291458,0,Davy Pröpper,2018,0,90,MC,9396,1,Brighton,0,0
2018-12-26,0.14482900500297546,0,0,0.3259910047054291,0,1,Arsenal,0.14482900500297546,279227,0,Davy Pröpper,2018,1,90,MC,9386,3,Brighton,0.2226029932498932,0
2018-12-22,0,0,0,0.44266900420188904,0,2,Brighton,0,278936,0,Davy Pröpper,2018,0,90,DMC,9375,0,Bournemouth,0.44266900420188904,0
2018-12-16,0,0,0,0.09348589926958084,0,1,Chelsea,0,278676,0,Davy Pröpper,2018,2,90,MC,9366,0,Brighton,0.09348589926958084,0
2018-12-08,0.024636000394821167,0,0,0.08719290047883987,0,1,Brighton,0.024636000394821167,278300,0,Davy Pröpper,2018,0,90,MC,9354,1,Burnley,0.06255690008401871,0
2018-12-04,0.01991260051727295,1,0,0.07902640104293823,0.04491699859499931,3,Crystal Palace,0.01991260051727295,277925,0,Davy Pröpper,2018,1,90,MC,9337,1,Brighton,0.03410939872264862,0
2018-12-01,0,0,0,0.46104100346565247,0,1,Brighton,0,277772,0,Davy Pröpper,2018,2,90,MC,9332,0,Huddersfield,0.46104100346565247,0
2018-11-24,0,2,0,0.12705500423908234,0.05924040079116821,1,Leicester,0,277510,0,Davy Pröpper,2018,1,90,MC,9322,0,Brighton,0.09590169787406921,0
2018-10-05,0,0,0,0.04091149941086769,0,1,West Ham,0,275987,0,Davy Pröpper,2018,0,81,MC,9267,0,Brighton,0.04091149941086769,0
2018-09-29,0,0,0,0.088400699198246,0,2,Brighton,0,260502,0,Davy Pröpper,2018,0,90,DMC,9260,0,Manchester City,0.088400699198246,0
2018-09-22,0,0,0,0,0,1,Tottenham,0,260079,0,Davy Pröpper,2018,2,90,MC,9254,0,Brighton,0,0
2018-09-17,0.05695270001888275,0,0,0.05695270001888275,0,2,Brighton,0.05695270001888275,259955,0,Davy Pröpper,2018,2,90,MC,9246,1,Southampton,0,0
2018-09-01,0,1,0,0.3400129973888397,0.3400129973888397,2,Fulham,0,259495,0,Davy Pröpper,2018,2,75,MC,9233,0,Brighton,0.3400129973888397,0
2018-08-25,0,0,0,0.05194120109081268,0,1,Brighton,0,259345,0,Davy Pröpper,2018,0,90,MC,9223,0,Liverpool,0.05194120109081268,0
2018-08-19,0,0,0,0.6542069911956787,0,3,Manchester United,0,258939,0,Davy Pröpper,2018,2,90,MC,9215,0,Brighton,0.6542069911956787,0
2018-08-11,0.023031000047922134,0,0,0.11068300157785416,0,2,Brighton,0.023031000047922134,258897,0,Davy Pröpper,2018,0,90,MC,9199,1,Watford,0.11068300157785416,0
