date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-12-26,0,0,0,0,0,1,Everton,0,279192,0,Joe Hart,2018,5,90,GK,9385,0,Burnley,0,0
2018-12-22,0,0,0,0,0,3,Burnley,0,278767,0,Joe Hart,2018,1,90,GK,9376,0,Arsenal,0,0
2018-12-15,0,0,0,0,0,1,Burnley,0,278544,0,Joe Hart,2018,0,90,GK,9359,0,Tottenham,0,0
2018-12-08,0,0,0,0.13962599635124207,0,1,Brighton,0,278280,0,Joe Hart,2018,0,90,GK,9354,0,Burnley,0.13962599635124207,0
2018-12-05,0,0,0,0,0,1,Liverpool,0,278057,0,Joe Hart,2018,3,90,GK,9343,0,Burnley,0,0
2018-12-01,0,0,0,0,0,2,Burnley,0,277793,0,Joe Hart,2018,0,90,GK,9333,0,Crystal Palace,0,0
2018-11-26,0,1,0,0.02407130040228367,0.02407130040228367,1,Newcastle United,0,277614,0,Joe Hart,2018,2,90,GK,9326,0,Burnley,0,0
2018-11-10,0,0,0,0,0,0,Burnley,0,277184,0,Joe Hart,2018,0,90,GK,9310,0,Leicester,0,0
2018-11-03,0,0,0,0.02185169979929924,0,4,Burnley,0,276852,0,Joe Hart,2018,2,90,GK,9298,0,West Ham,0.02185169979929924,0
2018-10-28,0,0,0,0,0,0,Chelsea,0,276726,0,Joe Hart,2018,4,90,GK,9295,0,Burnley,0,0
2018-10-20,0,0,0,0.03642300143837929,0,5,Burnley,0,276381,0,Joe Hart,2018,0,90,GK,9281,0,Manchester City,0.03642300143837929,0
2018-10-06,0,0,0,0,0,1,Huddersfield,0,276120,0,Joe Hart,2018,1,90,GK,9272,0,Burnley,0,0
2018-09-30,0,0,0,0,0,1,Burnley,0,260386,0,Joe Hart,2018,2,90,GK,9265,0,Cardiff,0,0
2018-09-22,0,0,0,0.03987269848585129,0,4,Bournemouth,0,260098,0,Joe Hart,2018,0,90,GK,9253,0,Burnley,0.03987269848585129,0
2018-09-16,0,0,0,0.021624300628900528,0,1,Burnley,0,260030,0,Joe Hart,2018,0,90,GK,9244,0,Wolverhampton Wanderers,0.021624300628900528,0
2018-09-02,0,0,0,0,0,0,Manchester United,0,259517,0,Joe Hart,2018,2,90,GK,9232,0,Burnley,0,0
2018-08-26,0,0,0,0,0,4,Burnley,0,259282,0,Joe Hart,2018,2,90,GK,9220,0,Fulham,0,0
2018-08-19,0,0,0,0,0,1,Watford,0,258961,0,Joe Hart,2018,3,90,GK,9214,0,Burnley,0,0
2018-08-12,0,0,0,0,0,0,Burnley,0,258863,0,Joe Hart,2018,0,90,GK,9204,0,Southampton,0,0
