date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-04-23,0,0,0,0.6176869869232178,0,1,Southampton,0,327319,0,Maya Yoshida,2018,1,90,DC,9499,0,Watford,0.6176869869232178,0
2019-04-20,0.5012379884719849,0,0,0.10912899672985077,0,3,Southampton,0.5012379884719849,326215,0,Maya Yoshida,2018,1,90,DC,9539,3,Newcastle United,0.10912899672985077,0
2019-04-13,0.8677819967269897,1,0,0.41221699118614197,0.5331649780273438,3,Wolverhampton Wanderers,0.8677819967269897,324177,1,Maya Yoshida,2018,1,90,DC,9529,3,Southampton,0.41221699118614197,0
2019-04-05,0.046574998646974564,0,0,0.4751240015029907,0,1,Liverpool,0.046574998646974564,322325,0,Maya Yoshida,2018,3,90,DC,9520,1,Southampton,0.4751240015029907,0
2019-03-30,0,1,0,0.10442700237035751,0.0589308999478817,0,Southampton,0,317956,0,Maya Yoshida,2018,1,90,DC,9516,0,Brighton,0.10442700237035751,0
2019-03-09,0,0,0,0,0,2,Tottenham,0,314513,0,Maya Yoshida,2018,1,90,DC,9487,0,Southampton,0,0
2019-03-02,0.020243899896740913,0,0,0,0,3,Southampton,0.020243899896740913,305280,0,Maya Yoshida,2018,2,90,DC,9481,1,Manchester United,0,0
2019-02-27,0.10301700234413147,0,0,0.07911030203104019,0,2,Fulham,0.10301700234413147,305074,0,Maya Yoshida,2018,0,90,DC,9472,1,Southampton,0.07911030203104019,0
2019-01-02,0,0,0,0,0,0,Southampton,0,303250,0,Maya Yoshida,2018,0,90,DC,9403,0,Chelsea,0,0
2018-12-27,0,0,0,0.0752163976430893,0,1,West Ham,0,279277,0,Maya Yoshida,2018,2,80,DC,9379,0,Southampton,0.0752163976430893,0
2018-12-22,0,0,0,0.46614500880241394,0,1,Southampton,0,278878,0,Maya Yoshida,2018,3,90,DC,9371,0,Huddersfield,0.46614500880241394,0
2018-12-16,0.0704651027917862,0,0,0,0,3,Arsenal,0.0704651027917862,278644,0,Maya Yoshida,2018,2,90,DC,9360,1,Southampton,0,0
2018-12-05,0.06722179800271988,1,0,0.365449994802475,0.44405099749565125,3,Southampton,0.06722179800271988,278156,0,Maya Yoshida,2018,1,90,DC,9346,1,Tottenham,0.365449994802475,0
2018-12-01,0,0,0,0,0,2,Manchester United,0,277809,0,Maya Yoshida,2018,2,90,DC,9327,0,Southampton,0,0
2018-11-24,0,2,0,0.10039199888706207,0.03473920002579689,3,Southampton,0,277464,0,Maya Yoshida,2018,2,90,DC,9320,0,Fulham,0.065652996301651,0
2018-11-10,0.1514900028705597,0,0,0.04973100125789642,0,1,Watford,0.1514900028705597,277117,0,Maya Yoshida,2018,1,90,DC,9308,3,Southampton,0.02616110071539879,0
2018-10-07,0,0,0,0.16260099411010742,0,0,Chelsea,0,276205,0,Maya Yoshida,2018,3,90,DC,9275,0,Southampton,0.16260099411010742,0
