date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0.2535110116004944,1,0,0.5220280289649963,0.26851698756217957,2,Wolverhampton Wanderers,0.2535110116004944,332364,0,Raúl Jiménez,2018,0,90,FW,9571,3,Liverpool,0,0
2019-05-04,0.11042600125074387,1,0,0.1269560009241104,0.08952789753675461,1,Fulham,0.11042600125074387,330213,0,Raúl Jiménez,2018,0,90,FW,9557,2,Wolverhampton Wanderers,0.019031500443816185,0
2019-04-27,1.4755500555038452,0,1,0.9316459894180298,0,1,Wolverhampton Wanderers,1.4755500555038452,328292,0,Raúl Jiménez,2018,2,88,FW,9547,3,Watford,0,1
2019-04-24,0.3415969908237457,0,0,0.3012849986553192,0,3,Arsenal,0.3415969908237457,327614,0,Raúl Jiménez,2018,1,84,FW,9497,4,Wolverhampton Wanderers,0,0
2019-04-20,0.13735100626945496,1,0,0.4022589921951294,0.314085990190506,0,Brighton,0.13735100626945496,325986,0,Raúl Jiménez,2018,0,90,FW,9537,3,Wolverhampton Wanderers,0.04083310067653656,0
2019-04-13,0.17316900193691254,0,0,0.22330500185489655,0,3,Wolverhampton Wanderers,0.17316900193691254,324198,0,Raúl Jiménez,2018,1,90,FW,9529,2,Southampton,0.22330500185489655,0
2019-04-02,0.15694299340248108,3,0,1.0917799472808838,0.9823499917984009,2,Manchester United,0.15694299340248108,321584,1,Raúl Jiménez,2018,1,90,FW,9517,3,Wolverhampton Wanderers,0.07183849811553955,0
2019-03-30,0.05987109988927841,0,0,0.05987109988927841,0,2,Wolverhampton Wanderers,0.05987109988927841,317911,0,Raúl Jiménez,2018,0,27,Sub,9515,2,Burnley,0,0
2019-03-10,0.5833370089530945,0,1,0.5833370089530945,0,1,Wolverhampton Wanderers,0.5833370089530945,315228,0,Raúl Jiménez,2018,1,90,FW,9494,1,Chelsea,0,1
2019-03-02,0.9849889874458313,4,1,2.0334699153900146,0.6547989845275879,2,Cardiff,0.9849889874458313,305245,1,Raúl Jiménez,2018,0,90,FW,9477,3,Wolverhampton Wanderers,0.8073539733886719,1
2019-02-26,0.12035299837589264,0,0,0.3691529929637909,0,1,Wolverhampton Wanderers,0.12035299837589264,304983,0,Raúl Jiménez,2018,0,82,FW,9468,1,Huddersfield,0.3691529929637909,0
2019-02-23,0.14679600298404694,0,0,0.14679600298404694,0,1,Wolverhampton Wanderers,0.9079639911651611,304815,0,Raúl Jiménez,2018,1,90,FW,9465,3,Bournemouth,0.0999922975897789,1
2019-02-11,0.6345090270042419,3,0,0.6913599967956543,0.10079599916934967,1,Newcastle United,0.6345090270042419,304693,0,Raúl Jiménez,2018,1,90,FW,9450,6,Wolverhampton Wanderers,0.054529398679733276,0
2019-02-02,0.30441299080848694,2,1,0.7207980155944824,0.6589120030403137,1,Wolverhampton Wanderers,0.30441299080848694,304265,0,Raúl Jiménez,2018,3,90,FW,9441,2,Everton,0,1
2019-01-29,0.9149889945983887,1,2,1.451990008354187,0.22623400390148163,3,West Ham,0.9149889945983887,303953,0,Raúl Jiménez,2018,0,90,FW,9427,6,Wolverhampton Wanderers,0.4159019887447357,2
