date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2019-05-12,0.23490600287914276,0,1,0.60275799036026,0,2,Everton,0.23490600287914276,332443,0,Theo Walcott,2018,2,90,MR,9568,4,Tottenham,0.3876529932022095,1
2019-05-03,0.3912549912929535,0,0,0.47034400701522827,0,2,Burnley,0.3912549912929535,329939,0,Theo Walcott,2018,0,40,Sub,9562,1,Everton,0.0790897011756897,0
2019-04-27,0,0,0,0,0,0,Everton,0,328377,0,Theo Walcott,2018,0,3,Sub,9554,0,Crystal Palace,0,0
2019-04-21,0.5155249834060669,0,1,0.5155249834060669,0,4,Manchester United,0.5155249834060669,326573,0,Theo Walcott,2018,0,36,Sub,9542,2,Everton,0,1
2019-04-13,0,0,0,0,0,2,Everton,0,324256,0,Theo Walcott,2018,0,4,Sub,9533,0,Fulham,0,0
2019-04-07,0.0374269001185894,1,0,0.10107900202274323,0.10107900202274323,1,Arsenal,0.0374269001185894,323220,0,Theo Walcott,2018,0,9,Sub,9524,1,Everton,0,0
2019-03-30,0,0,0,0,0,0,Everton,0,318103,0,Theo Walcott,2018,2,1,Sub,9508,0,West Ham,0,0
2019-03-17,0.1376270055770874,0,0,0.1376270055770874,0,2,Chelsea,0.1376270055770874,317127,0,Theo Walcott,2018,0,11,Sub,9503,1,Everton,0,0
2019-03-09,0,0,0,0,0,3,Everton,0,314565,0,Theo Walcott,2018,2,1,Sub,9488,0,Newcastle United,0,0
2019-03-03,0.040143098682165146,0,0,0.040143098682165146,0,0,Liverpool,0.040143098682165146,305463,0,Theo Walcott,2018,0,60,MR,9483,1,Everton,0,0
2019-02-26,0.24651899933815002,1,0,0.7449579834938049,0.13882100582122803,0,Everton,0.24651899933815002,305009,0,Theo Walcott,2018,3,83,AMR,9469,4,Cardiff,0.4768950045108795,0
2019-02-09,0,1,0,0.1698170006275177,0.11751099675893784,1,Everton,0,304518,0,Theo Walcott,2018,0,24,Sub,9451,0,Watford,0.052306000143289566,0
2019-02-06,0,1,0,0.02366339974105358,0.02366339974105358,0,Manchester City,0,304415,0,Theo Walcott,2018,2,82,AMR,9461,0,Everton,0.02366339974105358,0
2019-02-02,0.33705300092697144,0,0,0.33705300092697144,0,1,Wolverhampton Wanderers,0.33705300092697144,304248,0,Theo Walcott,2018,3,63,MR,9441,1,Everton,0,0
2019-01-19,0,0,0,0,0,2,Everton,0,303727,0,Theo Walcott,2018,1,12,Sub,9419,0,Southampton,0,0
2019-01-13,0,0,0,0,0,2,Bournemouth,0,303520,0,Theo Walcott,2018,0,11,Sub,9411,0,Everton,0,0
2019-01-01,0,1,0,0.028142699971795082,0.028142699971795082,0,Leicester,0,303052,0,Theo Walcott,2018,1,71,AMR,9402,0,Everton,0,0
2018-12-29,0,1,0,0.03237209841609001,0.0914359986782074,1,Everton,0,291472,0,Theo Walcott,2018,0,90,AMC,9396,0,Brighton,0.03237209841609001,0
2018-12-26,0.09499049931764603,1,0,0.18535800278186798,0.09036780148744583,1,Everton,0.09499049931764603,279215,0,Theo Walcott,2018,5,90,AMC,9385,1,Burnley,0,0
2018-12-23,0.613772988319397,2,1,0.6944130063056946,0.13169899582862854,2,Tottenham,0.613772988319397,278980,0,Theo Walcott,2018,6,90,AMR,9372,3,Everton,0,1
2018-12-15,0.35067299008369446,1,0,0.4504289925098419,0.08281649649143219,3,Everton,0.35067299008369446,278473,0,Theo Walcott,2018,1,32,Sub,9361,1,Manchester City,0.016938699409365654,0
2018-12-10,0.009895170107483864,0,0,0.4664680063724518,0,2,Watford,0.009895170107483864,278426,0,Theo Walcott,2018,2,67,AMR,9351,1,Everton,0.4565730094909668,0
2018-12-05,0.04051639884710312,0,0,0.04051639884710312,0,1,Newcastle United,0.04051639884710312,278097,0,Theo Walcott,2018,1,18,Sub,9345,1,Everton,0,0
2018-12-02,0.10308899730443954,1,0,0.7397630214691162,0.6366729736328125,1,Everton,0.10308899730443954,277909,0,Theo Walcott,2018,0,64,MR,9330,1,Liverpool,0,0
2018-11-24,0.34460198879241943,0,0,0.34460198879241943,0,1,Cardiff,0.34460198879241943,277482,0,Theo Walcott,2018,0,74,AMR,9321,2,Everton,0,0
2018-11-11,0.015541300177574158,0,0,0.015541300177574158,0,0,Everton,0.015541300177574158,277303,0,Theo Walcott,2018,0,90,AMR,9314,1,Chelsea,0,0
2018-11-03,0.6123300194740295,0,0,0.6578270196914673,0,3,Brighton,0.6123300194740295,276901,0,Theo Walcott,2018,1,87,AMR,9301,1,Everton,0.04549669846892357,0
2018-10-28,0.08115629851818085,0,0,0.11303599923849106,0,2,Everton,0.08115629851818085,276775,0,Theo Walcott,2018,1,80,AMR,9287,2,Manchester United,0.031879499554634094,0
2018-10-21,0.34858599305152893,2,0,0.45821499824523926,0.032109301537275314,2,Crystal Palace,0.34858599305152893,276486,0,Theo Walcott,2018,0,83,AMR,9285,1,Everton,0.09271010011434555,0
2018-10-06,0.12330199778079987,1,0,0.12330199778079987,0.025217000395059586,1,Everton,0.12330199778079987,276085,0,Theo Walcott,2018,2,90,AMR,9270,2,Leicester,0.08054929971694946,0
2018-09-29,0.13892899453639984,1,0,0.7750300168991089,0.6088579893112183,3,Fulham,0.13892899453639984,260434,1,Theo Walcott,2018,0,90,AMR,9262,2,Everton,0.02724190056324005,0
2018-09-23,0.33977100253105164,2,0,0.4084640145301819,0.10391400009393692,2,Everton,0.33977100253105164,260065,0,Theo Walcott,2018,0,75,AMR,9256,1,Arsenal,0.021014200523495674,0
2018-09-16,0.05325470119714737,0,0,0.10075400024652481,0,1,West Ham,0.05325470119714737,259831,0,Theo Walcott,2018,3,79,AMR,9245,1,Everton,0.0474993996322155,0
2018-09-01,0.06805379688739777,1,0,0.16000999510288239,0.04276920109987259,1,Huddersfield,0.06805379688739777,259635,0,Theo Walcott,2018,1,59,AMR,9229,2,Everton,0.09195610135793686,0
2018-08-25,0.11612699925899506,1,1,0.18416300415992737,0.019858399406075478,2,Everton,0.11612699925899506,259259,0,Theo Walcott,2018,2,88,MR,9221,1,Bournemouth,0.06803649663925171,1
2018-08-18,1.1101900339126587,2,1,1.1503900289535522,0.6093770265579224,2,Southampton,1.1101900339126587,259080,1,Theo Walcott,2018,1,90,AMR,9211,3,Everton,0.516946017742157,1
2018-08-11,0,0,0,0,0,2,Everton,0,258926,0,Theo Walcott,2018,2,90,AMR,9203,0,Wolverhampton Wanderers,0,0
