date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0,0,0,0,0,1,Liverpool,0,411396,0,Andy Carroll,2019,3,16,Sub,12016,0,Newcastle United,0,0
2020-07-20,0.48830100893974304,1,0,0.015126699581742287,0.015126699581742287,0,Newcastle United,0.48830100893974304,410362,0,Andy Carroll,2019,0,12,Sub,12005,2,Brighton,0,0
2020-07-05,0,0,0,0,0,2,West Ham,0,405616,0,Andy Carroll,2019,2,5,Sub,11968,0,Newcastle United,0,0
2020-07-01,0.2557539939880371,0,0,0.6654409766197205,0,1,Newcastle United,0.2557539939880371,404404,0,Andy Carroll,2019,4,26,Sub,11955,2,Bournemouth,0.505295991897583,0
2020-06-24,0.015399999916553497,2,0,0.015399999916553497,0.1235629990696907,1,Aston Villa,0.015399999916553497,402409,1,Andy Carroll,2019,1,24,Sub,11949,1,Newcastle United,0,0
2020-06-21,0,0,0,0,0,3,Sheffield United,0,401616,0,Andy Carroll,2019,0,10,Sub,11938,0,Newcastle United,0,0
2020-01-11,0,0,0,0,0,1,Newcastle United,0,385819,0,Andy Carroll,2019,1,6,Sub,11853,0,Wolverhampton Wanderers,0,0
2019-12-28,0.2132280021905899,3,0,0.4800899922847748,0.28760600090026855,1,Everton,0.2132280021905899,372709,1,Andy Carroll,2019,2,90,FW,11838,5,Newcastle United,0.09286350011825562,0
2019-12-21,0.04282210022211075,1,0,0.052337899804115295,0.022247999906539917,1,Crystal Palace,0.04282210022211075,371490,0,Andy Carroll,2019,0,90,FW,11818,2,Newcastle United,0,0
2019-12-14,0.3648970127105713,1,0,0.3785400092601776,0.03404879942536354,1,Newcastle United,0.3648970127105713,369872,0,Andy Carroll,2019,0,90,FW,11804,2,Burnley,0.34449100494384766,0
2019-12-08,0,1,0,0,0.06623630225658417,2,Southampton,0,369034,1,Andy Carroll,2019,1,30,Sub,11798,0,Newcastle United,0,0
2019-12-05,0,1,0,0.3798609972000122,0.3167490065097809,0,Newcastle United,0,367826,1,Andy Carroll,2019,2,74,FW,11786,0,Sheffield United,0.06311219930648804,0
2019-11-25,0.03572409972548485,1,0,0.05730289965867996,0.021578799933195114,2,Newcastle United,0.03572409972548485,365817,0,Andy Carroll,2019,0,25,Sub,11764,1,Aston Villa,0,0
2019-11-09,0,0,0,0,0,2,Bournemouth,0,363201,0,Andy Carroll,2019,1,2,Sub,11756,0,Newcastle United,0,0
2019-11-02,0,0,0,0,0,2,Newcastle United,0,361634,0,Andy Carroll,2019,3,1,Sub,11752,0,West Ham,0,0
2019-10-19,0,0,0,0,0,1,Newcastle United,0,357806,0,Andy Carroll,2019,0,18,Sub,11725,0,Chelsea,0,0
2019-10-06,0.07866919785737991,0,0,0.12234299629926682,0,1,Manchester United,0.07866919785737991,357152,0,Andy Carroll,2019,0,32,Sub,11721,1,Newcastle United,0.043673500418663025,0
2019-09-29,0,0,0,0,0,5,Newcastle United,0,355524,0,Andy Carroll,2019,0,24,Sub,11710,0,Leicester,0,0
2019-09-21,0,1,0,0.022286400198936462,0.022286400198936462,0,Brighton,0,352448,0,Andy Carroll,2019,0,7,Sub,11699,0,Newcastle United,0,0
