date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.0,1,0,0.4701470136642456,3,Sheffield United,411429,0,Chris Basham,2019,1,83,DC,12015,0.07782579958438873,0.39232099056243896,0,Southampton,0.0,0
2020-07-20,0.0,1,0,0.1204259991645813,0,Everton,410366,0,Chris Basham,2019,1,85,DC,12009,0.055118098855018616,0.1204259991645813,0,Sheffield United,0.0,0
2020-07-16,0.0,0,0,0.0,2,Sheffield United,409129,0,Chris Basham,2019,0,60,DC,11998,0.0,0.0,0,Leicester,0.0,0
2020-07-11,0.0,0,0,0.0,3,Chelsea,407506,0,Chris Basham,2019,0,70,DC,11989,0.0,0.0,0,Sheffield United,0.0,0
2020-07-08,0.0,0,0,0.18543100357055664,1,Wolverhampton Wanderers,406543,0,Chris Basham,2019,0,90,DC,11980,0.0,0.18543100357055664,0,Sheffield United,0.0,0
2020-07-05,0.0,0,0,0.09322100132703781,1,Sheffield United,405560,0,Chris Basham,2019,1,77,DC,11963,0.0,0.09322100132703781,0,Burnley,0.0,0
2020-07-02,0.0,1,0,0.09194900095462799,3,Tottenham,404812,1,Chris Basham,2019,1,90,DC,11960,0.09194900095462799,0.09194900095462799,0,Sheffield United,0.0,0
2020-06-24,0.0,0,0,0.09775199741125107,3,Sheffield United,402321,0,Chris Basham,2019,0,90,DC,11950,0.0,0.09775199741125107,0,Manchester United,0.0,0
2020-06-21,0.0,1,0,0.20205000042915344,3,Sheffield United,401620,0,Chris Basham,2019,0,90,DC,11938,0.023521900177001953,0.17852799594402313,0,Newcastle United,0.0,0
2020-06-17,0.0,0,0,0.0,0,Sheffield United,400339,0,Chris Basham,2019,0,90,DC,11913,0.0,0.0,0,Aston Villa,0.0,0
2020-03-07,0.04473239928483963,0,0,0.0,1,Norwich,387672,0,Chris Basham,2019,0,90,DC,11929,0.0,0.0,1,Sheffield United,0.04473239928483963,0
2020-02-22,0.0,1,0,0.0,1,Brighton,387154,0,Chris Basham,2019,1,90,DC,11909,0.018298599869012833,0.0,0,Sheffield United,0.0,0
2020-02-09,0.0,2,0,0.14030300080776215,2,Bournemouth,386907,0,Chris Basham,2019,1,90,DC,11900,0.07574839890003204,0.13053199648857117,0,Sheffield United,0.0,0
2020-02-01,0.0,0,0,0.09265639632940292,0,Sheffield United,386704,0,Chris Basham,2019,1,90,DC,11885,0.0,0.09265639632940292,0,Crystal Palace,0.0,0
2020-01-21,0.011310400441288948,1,0,0.0,0,Manchester City,386364,0,Chris Basham,2019,1,79,DC,11875,0.07646109908819199,0.0,1,Sheffield United,0.011310400441288948,0
2020-01-18,0.05249990150332451,0,0,0.05249990150332451,1,Sheffield United,386159,0,Chris Basham,2019,1,78,DC,11863,0.0,0.0,1,Arsenal,0.05249990150332451,0
2020-01-10,0.0,0,0,0.04052169993519783,1,West Ham,385742,0,Chris Basham,2019,0,90,DC,11855,0.0,0.04052169993519783,0,Sheffield United,0.0,0
2020-01-02,0.0,0,0,0.0,2,Sheffield United,385728,0,Chris Basham,2019,0,90,DC,11847,0.0,0.0,0,Liverpool,0.0,0
2019-12-29,0.0,0,0,0.030842499807476997,2,Sheffield United,372935,0,Chris Basham,2019,0,90,DC,11837,0.0,0.030842499807476997,0,Manchester City,0.0,0
2019-12-26,0.0,1,0,0.10330899804830551,1,Watford,372564,0,Chris Basham,2019,1,90,DC,11830,0.05240200087428093,0.050906699150800705,0,Sheffield United,0.0,0
2019-12-21,0.0,0,0,0.12005200237035751,0,Sheffield United,371468,0,Chris Basham,2019,1,90,DC,11815,0.0,0.12005200237035751,0,Brighton,0.0,0
2019-12-14,0.0,0,0,0.0,2,Aston Villa,369824,0,Chris Basham,2019,0,90,DC,11810,0.0,0.0,0,Sheffield United,0.0,0
2019-12-08,0.0,0,0,0.08683919906616211,1,Sheffield United,369010,0,Chris Basham,2019,2,90,DC,11799,0.0,0.08683919906616211,0,Norwich,0.0,0
2019-12-05,0.0,1,0,0.5781869888305664,0,Newcastle United,367804,0,Chris Basham,2019,2,77,DC,11786,0.36869901418685913,0.5781869888305664,0,Sheffield United,0.0,0
2019-12-01,0.0,0,0,0.1129399985074997,1,Sheffield United,366771,0,Chris Basham,2019,1,90,DC,11780,0.0,0.1129399985074997,0,Wolverhampton Wanderers,0.0,0
2019-11-24,0.0,1,0,0.0,3,Manchester United,365571,0,Chris Basham,2019,3,84,DC,11770,0.045810800045728683,0.0,0,Sheffield United,0.0,0
2019-11-09,0.0,0,0,0.05763259902596474,1,Sheffield United,363150,0,Chris Basham,2019,1,90,DC,11759,0.0,0.05763259902596474,0,Tottenham,0.0,0
2019-11-02,0.0,0,0,0.4006499946117401,3,Burnley,361638,0,Chris Basham,2019,0,90,DC,11750,0.0,0.4006499946117401,0,Sheffield United,0.0,0
2019-10-26,0.0,0,0,0.05089259892702103,1,Sheffield United,359407,0,Chris Basham,2019,1,90,DC,11742,0.0,0.05089259892702103,0,West Ham,0.0,0
2019-10-21,0.0,0,0,0.021540900692343712,1,Arsenal,358950,0,Chris Basham,2019,0,90,DC,11730,0.0,0.021540900692343712,0,Sheffield United,0.0,0
2019-10-05,0.0,0,0,0.12059000134468079,0,Sheffield United,356264,0,Chris Basham,2019,0,90,DC,11719,0.0,0.12059000134468079,0,Watford,0.0,0
2019-09-28,0.0,0,0,0.05996190011501312,0,Liverpool,354334,0,Chris Basham,2019,1,90,DC,11703,0.0,0.05996190011501312,0,Sheffield United,0.0,0
2019-09-21,0.06627099961042404,0,0,0.06627099961042404,0,Sheffield United,352230,0,Chris Basham,2019,2,90,DC,11698,0.0,0.0,1,Everton,0.06627099961042404,0
2019-09-14,0.12473099678754807,0,0,0.1803009957075119,0,Southampton,349066,0,Chris Basham,2019,1,85,DC,11686,0.0,0.05556949973106384,1,Sheffield United,0.12473099678754807,0
2019-08-31,0.029993800446391106,1,0,0.49649500846862793,2,Sheffield United,347442,0,Chris Basham,2019,2,85,DC,11675,0.4152350127696991,0.46650201082229614,1,Chelsea,0.029993800446391106,0
2019-08-24,0.0,0,0,0.0,1,Leicester,344010,0,Chris Basham,2019,2,79,DC,11665,0.0,0.0,0,Sheffield United,0.0,0
2019-08-18,0.0,1,0,0.0,1,Crystal Palace,342454,0,Chris Basham,2019,0,90,DC,11660,0.011150400154292583,0.0,0,Sheffield United,0.0,0
2019-08-10,0.0,0,0,0.3824999928474426,1,Sheffield United,341222,0,Chris Basham,2019,1,83,DC,11645,0.0,0.3824999928474426,0,Bournemouth,0.0,0
