date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-02-16,0.3494040071964264,0,0,0.43135198950767517,0,4,Newcastle United,0.3494040071964264,387059,0,Ciaran Clark,2019,0,84,DC,11893,1,Arsenal,0.43135198950767517,0
2020-02-01,0,0,0,0,0,0,Norwich,0,386608,0,Ciaran Clark,2019,0,90,DC,11889,0,Newcastle United,0,0
2020-01-21,0,0,0,0.04398079961538315,0,2,Newcastle United,0,386296,0,Ciaran Clark,2019,2,71,DC,11877,0,Everton,0.04398079961538315,0
2020-01-18,0,0,0,0.02800530008971691,0,1,Chelsea,0,386201,0,Ciaran Clark,2019,0,90,DC,11868,0,Newcastle United,0.02800530008971691,0
2020-01-11,0,0,0,0,0,1,Newcastle United,0,385809,0,Ciaran Clark,2019,1,90,DC,11853,0,Wolverhampton Wanderers,0,0
2019-12-08,0.0322003997862339,0,0,0,0,2,Southampton,0.0322003997862339,369025,0,Ciaran Clark,2019,1,47,DC,11798,1,Newcastle United,0,0
2019-12-05,0,0,0,0.3167490065097809,0,0,Newcastle United,0,367819,0,Ciaran Clark,2019,2,90,DC,11786,0,Sheffield United,0.3167490065097809,0
2019-11-30,0,0,0,0,0,2,Manchester City,0,365959,0,Ciaran Clark,2019,2,90,DC,11777,0,Newcastle United,0,0
2019-11-25,0,0,0,0.021578799933195114,0,2,Newcastle United,0,365808,0,Ciaran Clark,2019,0,90,DC,11764,0,Aston Villa,0.021578799933195114,0
2019-11-09,0.19909200072288513,0,1,0.35837799310684204,0,2,Bournemouth,0.19909200072288513,363192,0,Ciaran Clark,2019,1,90,DC,11756,2,Newcastle United,0.35837799310684204,1
2019-11-02,0.1306370049715042,1,1,0.5658569931983948,0.054861798882484436,2,Newcastle United,0.1306370049715042,361625,0,Ciaran Clark,2019,3,90,DC,11752,1,West Ham,0.5658569931983948,1
2019-10-27,0,0,0,0.15412800014019012,0,1,Wolverhampton Wanderers,0,360143,0,Ciaran Clark,2019,1,90,DC,11738,0,Newcastle United,0.15412800014019012,0
2019-10-19,0.04057860001921654,0,0,0.07941409945487976,0,1,Newcastle United,0.04057860001921654,357796,0,Ciaran Clark,2019,0,90,DC,11725,1,Chelsea,0.03883549943566322,0
2019-10-06,0,0,0,0.049981601536273956,0,1,Manchester United,0,357141,0,Ciaran Clark,2019,0,90,DC,11721,0,Newcastle United,0.049981601536273956,0
