date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-13,0.0,0,0,0.0,2,Southampton,408396,0,Daniel James,2019,2,3,Sub,11987,0.0,0.0,0,Manchester United,0.0,0
2020-07-09,0.041311100125312805,0,0,0.041311100125312805,0,Manchester United,407200,0,Daniel James,2019,3,6,Sub,11974,0.0,0.0,1,Aston Villa,0.041311100125312805,0
2020-07-04,0.0,1,0,0.15903499722480774,5,Bournemouth,405136,0,Daniel James,2019,2,12,Sub,11967,0.08332189917564392,0.07571329921483994,0,Manchester United,0.0,0
2020-06-30,0.1836719959974289,0,0,0.1836719959974289,0,Manchester United,404160,0,Daniel James,2019,3,10,Sub,11956,0.0,0.0,2,Brighton,0.1836719959974289,0
2020-06-24,0.0,0,0,0.15995599329471588,3,Sheffield United,402318,0,Daniel James,2019,0,7,Sub,11950,0.0,0.15995599329471588,0,Manchester United,0.0,0
2020-06-19,0.0,0,0,0.04957190155982971,1,Manchester United,400829,0,Daniel James,2019,1,65,AMR,11936,0.0,0.04957190155982971,0,Tottenham,0.0,0
2020-03-08,0.2063640058040619,0,0,0.2063640058040619,2,Manchester City,387845,0,Daniel James,2019,0,90,FW,11932,0.0,0.0,2,Manchester United,0.2063640058040619,0
2020-02-23,0.16675999760627747,1,0,0.3200570046901703,3,Watford,387298,0,Daniel James,2019,0,90,AML,11910,0.04837049916386604,0.10492700338363647,4,Manchester United,0.16675999760627747,0
2020-02-17,0.0,1,0,0.03806009888648987,0,Manchester United,387094,0,Daniel James,2019,2,83,FW,11896,0.03806009888648987,0.0,0,Chelsea,0.0,0
2020-02-01,0.0,0,0,0.026005800813436508,0,Wolverhampton Wanderers,386778,0,Daniel James,2019,0,90,AML,11888,0.0,0.026005800813436508,0,Manchester United,0.0,0
2020-01-22,0.22697800397872925,0,0,0.369284987449646,0,Burnley,386509,0,Daniel James,2019,2,71,AML,11879,0.0,0.2934750020503998,2,Manchester United,0.22697800397872925,0
2020-01-19,0.0,0,0,0.05489550158381462,2,Manchester United,386275,0,Daniel James,2019,0,90,FW,11865,0.0,0.05489550158381462,0,Liverpool,0.0,0
2020-01-11,0.13902199268341064,0,0,0.229203000664711,4,Norwich,385833,0,Daniel James,2019,0,30,Sub,11862,0.0,0.229203000664711,1,Manchester United,0.13902199268341064,0
2020-01-01,0.0,0,0,0.015638399869203568,2,Manchester United,385705,0,Daniel James,2019,0,59,AMR,11844,0.0,0.015638399869203568,0,Arsenal,0.0,0
2019-12-28,0.09886830300092697,1,0,0.8998110294342041,0,Manchester United,372857,1,Daniel James,2019,2,90,AMR,11835,0.8093510270118713,0.024552099406719208,2,Burnley,0.09886830300092697,0
2019-12-22,0.0,1,0,0.08241190016269684,2,Manchester United,372138,0,Daniel James,2019,0,59,AMR,11821,0.08241190016269684,0.0,0,Watford,0.0,0
2019-12-15,0.30529001355171204,3,0,0.4259830117225647,1,Everton,370299,1,Daniel James,2019,1,88,AMR,11809,0.11378300189971924,0.08547099679708481,5,Manchester United,0.30529001355171204,0
2019-12-07,0.09603369981050491,4,0,0.5560740232467651,1,Manchester United,368541,1,Daniel James,2019,2,90,AMR,11797,0.30426299571990967,0.36659500002861023,1,Manchester City,0.09603369981050491,0
2019-12-04,0.11411699652671814,0,0,0.29128798842430115,2,Tottenham,367726,0,Daniel James,2019,1,90,AMR,11788,0.0,0.17716999351978302,2,Manchester United,0.11411699652671814,0
2019-12-01,0.03280609846115112,2,0,0.8141729831695557,2,Aston Villa,367063,0,Daniel James,2019,2,90,AMR,11782,0.10625900328159332,0.675108015537262,1,Manchester United,0.03280609846115112,0
2019-11-24,0.02854429930448532,1,0,1.0307400226593018,3,Manchester United,365592,1,Daniel James,2019,3,90,AMC,11770,0.40659698843955994,1.0022000074386597,1,Sheffield United,0.02854429930448532,0
2019-11-10,0.6265169978141785,2,0,1.4183399677276611,3,Brighton,363800,0,Daniel James,2019,1,90,AMR,11761,0.7045729756355286,0.7072020173072815,1,Manchester United,0.6265169978141785,0
2019-11-02,0.04620949923992157,2,0,0.15516799688339233,1,Manchester United,361267,0,Daniel James,2019,0,81,AMR,11745,0.11830099672079086,0.11694099754095078,1,Bournemouth,0.04620949923992157,0
2019-10-27,0.0,2,0,0.9304860234260559,1,Manchester United,360353,1,Daniel James,2019,3,83,AMR,11739,0.44812899827957153,0.482356995344162,0,Norwich,0.0,0
2019-10-20,0.0,2,0,0.7006180286407471,1,Liverpool,358679,1,Daniel James,2019,1,90,FW,11729,0.5869640111923218,0.1136540025472641,0,Manchester United,0.0,0
2019-10-06,0.0553785003721714,0,0,0.0553785003721714,1,Manchester United,357162,0,Daniel James,2019,0,90,AML,11721,0.0,0.0,1,Newcastle United,0.0553785003721714,0
2019-09-30,0.022158000618219376,0,0,0.022158000618219376,1,Arsenal,355783,0,Daniel James,2019,1,90,AML,11712,0.0,0.0,1,Manchester United,0.022158000618219376,0
2019-09-22,0.09009750187397003,1,0,0.12668900191783905,2,Manchester United,352879,0,Daniel James,2019,0,90,AML,11700,0.013397599570453167,0.023194000124931335,1,West Ham,0.09009750187397003,0
2019-09-14,0.06954149901866913,0,0,0.06954149901866913,1,Leicester,349018,0,Daniel James,2019,0,90,AML,11684,0.0,0.0,2,Manchester United,0.06954149901866913,0
2019-08-31,0.2529830038547516,2,1,0.7420480251312256,1,Manchester United,347226,0,Daniel James,2019,1,90,AML,11673,0.4004009962081909,0.43060600757598877,5,Southampton,0.2529830038547516,1
2019-08-24,0.6006709933280945,0,1,0.7852100133895874,1,Crystal Palace,344099,0,Daniel James,2019,2,90,AMR,11669,0.0,0.18453900516033173,4,Manchester United,0.6006709933280945,1
2019-08-19,0.0679837018251419,0,0,0.0679837018251419,1,Manchester United,342751,0,Daniel James,2019,1,90,AMR,11662,0.0,0.0,1,Wolverhampton Wanderers,0.0679837018251419,0
2019-08-11,0.13182500004768372,0,1,0.13182500004768372,4,Chelsea,341632,0,Daniel James,2019,0,14,Sub,11652,0.0,0.0,1,Manchester United,0.13182500004768372,1
