date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-06-21,0.012989300303161144,0,0,0,0,0,Liverpool,0.012989300303161144,401777,0,Dejan Lovren,2019,0,15,Sub,11940,1,Everton,0,0
2020-02-29,0,0,0,0.12049099802970886,0,3,Liverpool,0,387549,0,Dejan Lovren,2019,0,90,DC,11921,0,Watford,0.12049099802970886,0
2019-12-07,0,0,0,0.3947409987449646,0,0,Liverpool,0,368344,0,Dejan Lovren,2019,3,39,DC,11794,0,Bournemouth,0.3947409987449646,0
2019-12-04,0,1,0,0.7599390149116516,0.30198800563812256,5,Everton,0,367776,1,Dejan Lovren,2019,2,90,DC,11792,0,Liverpool,0.7599390149116516,0
2019-11-30,0,0,0,0,0,2,Brighton,0,366208,0,Dejan Lovren,2019,1,90,DC,11776,0,Liverpool,0,0
2019-11-23,0,0,0,0.036277998238801956,0,1,Liverpool,0,364780,0,Dejan Lovren,2019,2,90,DC,11767,0,Crystal Palace,0.036277998238801956,0
2019-11-10,0.0615277998149395,0,0,0.19616900384426117,0,3,Manchester City,0.0615277998149395,364047,0,Dejan Lovren,2019,1,90,DC,11755,1,Liverpool,0.19616900384426117,0
2019-11-02,0.05820789933204651,0,0,0.5026180148124695,0,1,Liverpool,0.05820789933204651,361596,0,Dejan Lovren,2019,2,90,DC,11744,1,Aston Villa,0.5026180148124695,0
2019-10-27,0.01354300044476986,0,0,0.5535659790039062,0,2,Tottenham,0.01354300044476986,360306,0,Dejan Lovren,2019,1,90,DC,11736,1,Liverpool,0.5535659790039062,0
2019-10-05,0.05787210166454315,0,0,0.5272899866104126,0,2,Leicester,0.05787210166454315,356193,0,Dejan Lovren,2019,1,90,DC,11715,1,Liverpool,0.5272899866104126,0
