date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.7365670204162598,0,0,0.13680799305438995,1,Brighton,411241,0,Jay Rodriguez,2019,2,82,FW,12022,0.0,0.0,4,Burnley,0.7365670204162598,0
2020-07-18,0.4305439889431,0,0,0.36053499579429626,0,Burnley,409688,0,Jay Rodriguez,2019,2,90,FW,12008,0.0,0.03916550055146217,6,Norwich,0.4305439889431,0
2020-07-15,0.1498129963874817,1,0,0.17506800591945648,1,Wolverhampton Wanderers,408634,0,Jay Rodriguez,2019,1,53,FW,11994,0.02525480091571808,0.0,2,Burnley,0.1498129963874817,0
2020-07-11,0.14808399975299835,0,1,0.0868057981133461,1,Burnley,407439,0,Jay Rodriguez,2019,1,90,FW,11986,0.0,0.0,3,Liverpool,0.14808399975299835,1
2020-07-08,0.10052400082349777,1,1,0.2933799922466278,0,Burnley,406538,0,Jay Rodriguez,2019,1,90,FW,11982,0.032617099583148956,0.16023899614810944,1,West Ham,0.10052400082349777,1
2020-07-05,0.07007090002298355,1,0,0.5082520246505737,1,Sheffield United,405554,1,Jay Rodriguez,2019,1,90,FW,11963,0.569009006023407,0.4381810128688812,2,Burnley,0.07007090002298355,0
2020-06-25,0.5380759835243225,0,1,0.8518109917640686,1,Watford,402681,0,Jay Rodriguez,2019,0,82,FW,11943,0.0,0.3137350082397461,4,Burnley,0.5380759835243225,1
2020-06-22,0.0,0,0,0.0,5,Burnley,401962,0,Jay Rodriguez,2019,0,65,FW,11939,0.0,0.0,0,Manchester City,0.0,0
2020-03-07,0.6540560126304626,0,0,0.10683000087738037,1,Tottenham,387790,0,Jay Rodriguez,2019,1,70,FW,11924,0.0,0.033873800188302994,4,Burnley,0.6540560126304626,0
2020-02-29,0.4178149998188019,0,0,0.38212698698043823,0,Burnley,387477,0,Jay Rodriguez,2019,0,90,FW,11918,0.0,0.04120099917054176,3,Newcastle United,0.4178149998188019,0
2020-02-22,1.182919979095459,1,0,0.3890010118484497,3,Bournemouth,387216,0,Jay Rodriguez,2019,0,90,FW,11907,0.029092799872159958,0.029092799872159958,5,Burnley,0.4217509925365448,1
2020-02-15,0.5562440156936646,0,0,0.5562440156936646,1,Burnley,386984,0,Jay Rodriguez,2019,2,90,FW,11901,0.0,0.0,3,Southampton,0.5562440156936646,0
2020-02-02,0.6992719769477844,0,0,0.6429070234298706,0,Arsenal,386807,0,Jay Rodriguez,2019,0,90,FW,11884,0.0,0.0,4,Burnley,0.6992719769477844,0
2020-01-22,0.056976400315761566,0,1,0.056976400315761566,0,Burnley,386524,0,Jay Rodriguez,2019,2,90,FW,11879,0.0,0.0,1,Manchester United,0.056976400315761566,1
2020-01-19,0.009812399744987488,0,0,0.009812399744987488,2,Leicester,386236,0,Jay Rodriguez,2019,1,90,FW,11866,0.0,0.0,1,Burnley,0.009812399744987488,0
2020-01-01,0.962611973285675,0,0,0.10553299635648727,1,Aston Villa,385505,0,Jay Rodriguez,2019,2,42,Sub,11846,0.0,0.022629300132393837,5,Burnley,0.962611973285675,0
2019-12-28,0.0366957001388073,0,0,0.0366957001388073,0,Manchester United,372849,0,Jay Rodriguez,2019,2,28,Sub,11835,0.0,0.0,1,Burnley,0.0366957001388073,0
2019-12-26,0.01629439927637577,0,0,0.008435550145804882,1,Burnley,372529,0,Jay Rodriguez,2019,0,90,FW,11827,0.0,0.0,2,Everton,0.01629439927637577,0
2019-12-21,0.12981000542640686,0,1,0.12981000542640686,0,Burnley,371450,0,Jay Rodriguez,2019,1,12,Sub,11814,0.0,0.0,1,Bournemouth,0.12981000542640686,1
2019-12-14,0.0,0,0,0.0,1,Newcastle United,369861,0,Jay Rodriguez,2019,0,2,Sub,11804,0.0,0.0,0,Burnley,0.0,0
2019-12-07,0.6911439895629883,0,0,0.6911439895629883,5,Burnley,368380,0,Jay Rodriguez,2019,0,90,FW,11800,0.0,0.0,4,Tottenham,0.6911439895629883,0
2019-12-03,0.0,0,0,0.0,1,Manchester City,367482,0,Jay Rodriguez,2019,4,29,Sub,11784,0.0,0.0,0,Burnley,0.0,0
2019-11-30,0.08039110153913498,1,0,0.023585300892591476,0,Crystal Palace,366162,0,Jay Rodriguez,2019,2,25,Sub,11773,0.023585300892591476,0.0,1,Burnley,0.08039110153913498,0
