date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.8842049837112427,1,1,1.354349970817566,3,Sheffield United,411434,0,John Lundstram,2019,1,90,MC,12015,0.39232099056243896,0.07782579958438873,2,Southampton,0.8842049837112427,1
2020-07-20,0.0,0,0,0.10802000015974045,0,Everton,410375,0,John Lundstram,2019,1,19,Sub,12009,0.0,0.10802000015974045,0,Sheffield United,0.0,0
2020-07-16,0.016110900789499283,0,0,0.016110900789499283,2,Sheffield United,409139,0,John Lundstram,2019,0,43,Sub,11998,0.0,0.016110900789499283,1,Leicester,0.016110900789499283,0
2020-07-11,0.0,0,0,0.4507170021533966,3,Chelsea,407515,0,John Lundstram,2019,0,25,Sub,11989,0.0,0.4507170021533966,0,Sheffield United,0.0,0
2020-06-24,0.015278100036084652,0,0,0.06831949949264526,3,Sheffield United,402325,0,John Lundstram,2019,0,90,MC,11950,0.0,0.06831949949264526,1,Manchester United,0.015278100036084652,0
2020-06-21,0.0,0,0,0.08342199772596359,3,Sheffield United,401629,0,John Lundstram,2019,0,23,Sub,11938,0.0,0.08342199772596359,0,Newcastle United,0.0,0
2020-06-17,0.08459209650754929,0,0,0.08459209650754929,0,Sheffield United,400344,0,John Lundstram,2019,0,90,MC,11913,0.0,0.0,1,Aston Villa,0.08459209650754929,0
2020-03-07,0.2888660132884979,2,0,0.7971410155296326,1,Norwich,387676,1,John Lundstram,2019,0,90,MC,11929,0.544668972492218,0.40334001183509827,4,Sheffield United,0.2888660132884979,0
2020-02-22,0.0,0,0,0.0,1,Brighton,387165,0,John Lundstram,2019,1,7,Sub,11909,0.0,0.0,0,Sheffield United,0.0,0
2020-02-09,0.5870699882507324,0,1,0.5870699882507324,2,Bournemouth,386917,0,John Lundstram,2019,1,26,Sub,11900,0.0,0.0,2,Sheffield United,0.5870699882507324,1
2020-02-01,0.02479569986462593,1,0,0.09265639632940292,0,Sheffield United,386715,0,John Lundstram,2019,1,21,Sub,11885,0.09265639632940292,0.09265639632940292,1,Crystal Palace,0.02479569986462593,0
2020-01-21,0.0,0,0,0.0,0,Manchester City,386375,0,John Lundstram,2019,1,11,Sub,11875,0.0,0.0,0,Sheffield United,0.0,0
2020-01-18,0.02244270034134388,0,0,0.0,1,Sheffield United,386162,0,John Lundstram,2019,1,69,MC,11863,0.0,0.0,1,Arsenal,0.02244270034134388,0
2020-01-10,0.09607549756765366,1,0,0.04052169993519783,1,West Ham,385746,0,John Lundstram,2019,0,72,MC,11855,0.11348000168800354,0.04052169993519783,2,Sheffield United,0.09607549756765366,0
2020-01-02,0.04189319908618927,0,0,0.04189319908618927,2,Sheffield United,385732,0,John Lundstram,2019,0,90,MC,11847,0.0,0.0,1,Liverpool,0.04189319908618927,0
2019-12-26,0.023323800414800644,0,0,0.09526950120925903,1,Watford,372567,0,John Lundstram,2019,1,90,MC,11830,0.0,0.07194569706916809,1,Sheffield United,0.023323800414800644,0
2019-12-21,0.04566219821572304,0,0,0.16571499407291412,0,Sheffield United,371473,0,John Lundstram,2019,1,90,MC,11815,0.0,0.12005200237035751,1,Brighton,0.04566219821572304,0
2019-12-14,0.07674399763345718,2,0,0.20621700584888458,2,Aston Villa,369828,1,John Lundstram,2019,0,90,MC,11810,0.42579299211502075,0.0,1,Sheffield United,0.07674399763345718,0
2019-12-08,0.023159699514508247,2,0,0.49678099155426025,1,Sheffield United,369014,0,John Lundstram,2019,2,90,MC,11799,0.33989599347114563,0.13372600078582764,1,Norwich,0.023159699514508247,0
2019-12-05,0.032703299075365067,0,0,0.6470100283622742,0,Newcastle United,367808,0,John Lundstram,2019,2,90,MC,11786,0.0,0.6143069863319397,1,Sheffield United,0.032703299075365067,0
2019-12-01,0.0,0,0,0.308663010597229,1,Sheffield United,366775,0,John Lundstram,2019,1,90,MC,11780,0.0,0.308663010597229,0,Wolverhampton Wanderers,0.0,0
2019-11-24,0.4885840117931366,0,0,0.4648570120334625,3,Manchester United,365575,0,John Lundstram,2019,3,90,MC,11770,0.0,0.022083299234509468,4,Sheffield United,0.4885840117931366,0
2019-11-09,0.40664801001548767,1,0,0.4969339966773987,1,Sheffield United,363154,0,John Lundstram,2019,1,90,MC,11759,0.016108699142932892,0.15150000154972076,4,Tottenham,0.40664801001548767,0
2019-11-02,1.3707200288772583,1,2,1.441249966621399,3,Burnley,361642,0,John Lundstram,2019,0,90,MC,11750,0.11537899821996689,0.08819690346717834,5,Sheffield United,1.3707200288772583,2
2019-10-26,0.19931499660015106,1,0,0.17085500061511993,1,Sheffield United,359411,0,John Lundstram,2019,1,90,MC,11742,0.05089259892702103,0.08887849748134613,2,West Ham,0.19931499660015106,0
2019-10-21,0.0,1,0,0.028560299426317215,1,Arsenal,358954,0,John Lundstram,2019,0,90,MC,11730,0.028560299426317215,0.0,0,Sheffield United,0.0,0
2019-10-05,0.06300070136785507,2,0,0.1553329974412918,0,Sheffield United,356267,0,John Lundstram,2019,0,90,MC,11719,0.03474320098757744,0.1553329974412918,1,Watford,0.06300070136785507,0
2019-09-28,0.1723089963197708,1,0,0.8144410252571106,0,Liverpool,354337,0,John Lundstram,2019,1,90,MC,11703,0.011486600153148174,0.6421319842338562,2,Sheffield United,0.1723089963197708,0
2019-09-21,0.0,1,0,0.4417400062084198,0,Sheffield United,352233,1,John Lundstram,2019,2,90,MC,11698,0.4417400062084198,0.4417400062084198,0,Everton,0.0,0
2019-09-14,0.0,1,0,0.11736799776554108,0,Southampton,349070,0,John Lundstram,2019,1,73,MC,11686,0.07848729938268661,0.11736799776554108,0,Sheffield United,0.0,0
2019-08-31,0.0,0,0,0.5936989784240723,2,Sheffield United,347447,0,John Lundstram,2019,2,90,MC,11675,0.0,0.5936989784240723,0,Chelsea,0.0,0
2019-08-24,0.4279100000858307,0,0,0.4279100000858307,1,Leicester,344015,0,John Lundstram,2019,2,90,MC,11665,0.0,0.0,2,Sheffield United,0.4279100000858307,0
2019-08-18,0.5111140012741089,1,1,0.5421040058135986,1,Crystal Palace,342458,0,John Lundstram,2019,0,90,MC,11660,0.5793859958648682,0.030990200117230415,2,Sheffield United,0.5111140012741089,1
2019-08-10,0.01895890012383461,2,0,0.668595016002655,1,Sheffield United,341226,0,John Lundstram,2019,1,79,MC,11645,0.5640419721603394,0.10455299913883209,1,Bournemouth,0.01895890012383461,0
