date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.0,0,0,0.10645999759435654,5,Norwich,411376,0,Mario Vrancic,2019,0,10,Sub,12017,0.0,0.10645999759435654,0,Manchester City,0.0,0
2020-07-18,0.0,0,0,0.0,0,Burnley,409674,0,Mario Vrancic,2019,2,1,Sub,12008,0.0,0.0,0,Norwich,0.0,0
2020-07-11,0.14291000366210938,0,0,0.2924489974975586,0,West Ham,407328,0,Mario Vrancic,2019,4,81,DMC,11988,0.0,0.20174099504947662,3,Norwich,0.14291000366210938,0
2020-07-07,0.05049480125308037,0,0,0.18274299800395966,2,Norwich,406231,0,Mario Vrancic,2019,1,90,DMC,11981,0.0,0.16830599308013916,2,Watford,0.05049480125308037,0
2020-07-04,0.0,0,0,0.0,0,Brighton,405070,0,Mario Vrancic,2019,1,10,Sub,11969,0.0,0.0,0,Norwich,0.0,0
2020-07-01,0.0,0,0,0.0,4,Norwich,404432,0,Mario Vrancic,2019,0,13,Sub,11953,0.0,0.0,0,Arsenal,0.0,0
2020-06-24,0.0,0,0,0.0,0,Everton,402345,0,Mario Vrancic,2019,1,9,Sub,11948,0.0,0.0,0,Norwich,0.0,0
2020-06-19,0.0,0,0,0.07399869710206985,0,Southampton,400724,0,Mario Vrancic,2019,3,26,Sub,11937,0.0,0.07399869710206985,0,Norwich,0.0,0
2020-03-07,0.212227001786232,1,0,0.009341919794678688,1,Norwich,387695,0,Mario Vrancic,2019,0,23,Sub,11929,0.7301419973373413,0.009341919794678688,1,Sheffield United,0.212227001786232,0
2020-02-01,0.0,0,0,0.0,0,Norwich,386631,0,Mario Vrancic,2019,0,1,Sub,11889,0.0,0.0,0,Newcastle United,0.0,0
2020-01-11,0.05975769832730293,0,0,0.05975769832730293,4,Norwich,385839,0,Mario Vrancic,2019,0,66,DMC,11862,0.0,0.0,1,Manchester United,0.05975769832730293,0
2020-01-01,0.3276979923248291,1,0,0.42901599407196045,1,Crystal Palace,385635,0,Mario Vrancic,2019,1,90,DMC,11850,0.06535279750823975,0.36366400122642517,1,Norwich,0.3276979923248291,0
2019-12-28,0.06343500316143036,1,1,0.11034200340509415,2,Tottenham,372785,0,Mario Vrancic,2019,2,77,DMC,11839,0.04690749943256378,0.04690749943256378,1,Norwich,0.06343500316143036,1
2019-12-26,0.0,0,0,0.14531700313091278,1,Norwich,372558,0,Mario Vrancic,2019,0,12,Sub,11823,0.0,0.14531700313091278,0,Aston Villa,0.0,0
2019-12-21,0.0,0,0,0.0,1,Wolverhampton Wanderers,371517,0,Mario Vrancic,2019,2,3,Sub,11819,0.0,0.0,0,Norwich,0.0,0
2019-12-14,0.0,0,0,0.0,1,Norwich,369819,0,Mario Vrancic,2019,1,1,Sub,11807,0.0,0.0,0,Leicester,0.0,0
2019-12-08,0.07330550253391266,2,0,0.08905079960823059,1,Sheffield United,368999,0,Mario Vrancic,2019,2,83,DMC,11799,0.0761490985751152,0.0,3,Norwich,0.07330550253391266,0
2019-11-08,0.057645201683044434,1,0,0.013585500419139862,0,Watford,362814,0,Mario Vrancic,2019,2,6,Sub,11757,0.013585500419139862,0.0,1,Norwich,0.057645201683044434,0
2019-08-24,0.0,0,0,0.0,2,Chelsea,343823,0,Mario Vrancic,2019,3,7,Sub,11664,0.0,0.0,0,Norwich,0.0,0
2019-08-17,0.11041100323200226,1,0,0.2083279937505722,3,Newcastle United,341906,0,Mario Vrancic,2019,1,4,Sub,11657,0.09791749715805054,0.11041100323200226,1,Norwich,0.11041100323200226,0
