date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-06-20,0.0,0,0,0.1553889960050583,2,Arsenal,401288,0,Matteo Guendouzi,2019,1,90,MC,11941,0.0,0.1553889960050583,0,Brighton,0.0,0
2020-06-17,0.0,0,0,0.10939300060272217,3,Arsenal,400556,0,Matteo Guendouzi,2019,0,70,MC,11917,0.0,0.10939300060272217,0,Manchester City,0.0,0
2020-02-23,0.0,0,0,0.0,3,Everton,387356,0,Matteo Guendouzi,2019,2,3,Sub,11903,0.0,0.0,0,Arsenal,0.0,0
2020-02-02,0.01693440042436123,0,0,0.9882950186729431,0,Arsenal,386813,0,Matteo Guendouzi,2019,0,90,DMC,11884,0.0,0.9882950186729431,1,Burnley,0.01693440042436123,0
2020-01-21,0.0,0,0,0.03534660115838051,2,Arsenal,386442,0,Matteo Guendouzi,2019,2,33,Sub,11881,0.0,0.03534660115838051,0,Chelsea,0.0,0
2020-01-11,0.0,0,0,0.0,1,Arsenal,385792,0,Matteo Guendouzi,2019,1,42,Sub,11859,0.0,0.0,0,Crystal Palace,0.0,0
2020-01-01,0.0,0,0,0.0,2,Manchester United,385695,0,Matteo Guendouzi,2019,0,7,Sub,11844,0.0,0.0,0,Arsenal,0.0,0
2019-12-29,0.0,0,0,0.0,1,Chelsea,372868,0,Matteo Guendouzi,2019,2,90,DMC,11833,0.0,0.0,0,Arsenal,0.0,0
2019-12-15,0.03883979842066765,0,0,0.13376300036907196,0,Manchester City,370545,0,Matteo Guendouzi,2019,3,90,DMC,11803,0.0,0.09492360055446625,1,Arsenal,0.03883979842066765,0
2019-12-09,0.0,0,0,0.0,1,Arsenal,369435,0,Matteo Guendouzi,2019,3,1,Sub,11802,0.0,0.0,0,West Ham,0.0,0
2019-12-01,0.03292660042643547,1,0,0.12960700690746307,2,Arsenal,366800,0,Matteo Guendouzi,2019,2,81,DMC,11781,0.020479999482631683,0.11256500333547592,2,Norwich,0.03292660042643547,0
2019-11-23,0.0,1,0,0.21926699578762054,2,Southampton,364825,0,Matteo Guendouzi,2019,2,90,MC,11763,0.0511309988796711,0.16813600063323975,0,Arsenal,0.0,0
2019-11-09,0.0,1,0,0.1698160022497177,2,Arsenal,363318,0,Matteo Guendouzi,2019,0,90,MC,11762,0.03701620176434517,0.13279999792575836,0,Leicester,0.0,0
2019-11-02,0.0,0,0,0.12748399376869202,1,Wolverhampton Wanderers,361474,0,Matteo Guendouzi,2019,1,90,MC,11743,0.0,0.12748399376869202,0,Arsenal,0.0,0
2019-10-27,0.020490599796175957,2,0,0.4253770112991333,2,Crystal Palace,360284,0,Matteo Guendouzi,2019,2,90,MC,11733,0.18422499299049377,0.24115200340747833,1,Arsenal,0.020490599796175957,0
2019-10-21,0.0,0,0,0.17165899276733398,1,Arsenal,358967,0,Matteo Guendouzi,2019,0,90,DMC,11730,0.0,0.17165899276733398,0,Sheffield United,0.0,0
2019-10-06,0.07269299775362015,1,0,0.20758099853992462,1,Bournemouth,356920,0,Matteo Guendouzi,2019,0,90,DMC,11722,0.054643601179122925,0.13488799333572388,1,Arsenal,0.07269299775362015,0
2019-09-30,0.1211950033903122,0,0,0.9856029748916626,1,Arsenal,355792,0,Matteo Guendouzi,2019,1,90,MC,11712,0.0,0.8644090294837952,1,Manchester United,0.1211950033903122,0
2019-09-22,0.02567869983613491,3,0,0.13323399424552917,3,Aston Villa,353085,0,Matteo Guendouzi,2019,2,90,DMC,11702,0.17693200707435608,0.07626889646053314,1,Arsenal,0.02567869983613491,0
2019-09-15,0.0,1,0,0.7034090161323547,2,Arsenal,349865,0,Matteo Guendouzi,2019,2,69,MC,11691,0.07549949735403061,0.6279090046882629,0,Watford,0.0,0
2019-09-01,0.11634700000286102,1,0,0.982725977897644,2,Tottenham,348099,1,Matteo Guendouzi,2019,2,90,MC,11682,0.385904997587204,0.48047399520874023,2,Arsenal,0.11634700000286102,0
2019-08-24,0.0,0,0,0.1592549979686737,3,Arsenal,344250,0,Matteo Guendouzi,2019,1,88,MC,11670,0.0,0.1592549979686737,0,Liverpool,0.0,0
2019-08-17,0.08479440212249756,0,0,0.27856799960136414,2,Burnley,341763,0,Matteo Guendouzi,2019,1,90,DMC,11653,0.0,0.19377300143241882,1,Arsenal,0.08479440212249756,0
2019-08-11,0.0,1,0,0.4158320128917694,0,Arsenal,341529,0,Matteo Guendouzi,2019,1,90,DMC,11650,0.0774713009595871,0.338360995054245,0,Newcastle United,0.0,0
