date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.0,2,0,0.13357000052928925,1,Liverpool,411408,1,Roberto Firmino,2019,3,22,Sub,12016,0.13357000052928925,0.0,0,Newcastle United,0.0,0
2020-07-22,0.40503498911857605,1,1,0.503728985786438,5,Chelsea,410844,0,Roberto Firmino,2019,3,90,FW,12006,0.09869349747896194,0.0,1,Liverpool,0.40503498911857605,1
2020-07-15,0.0,1,0,0.5543140172958374,2,Liverpool,408862,0,Roberto Firmino,2019,1,63,FW,11993,0.10394000262022018,0.5543140172958374,0,Arsenal,0.0,0
2020-07-11,0.26420900225639343,6,0,0.7085880041122437,1,Burnley,407424,0,Roberto Firmino,2019,1,90,FW,11986,0.3808079957962036,0.18428899347782135,3,Liverpool,0.26420900225639343,0
2020-07-08,0.1931460052728653,1,0,0.4343309998512268,1,Liverpool,406800,0,Roberto Firmino,2019,3,90,FW,11976,0.06118980050086975,0.17999500036239624,2,Brighton,0.1931460052728653,0
2020-07-05,0.05967710167169571,0,0,0.05967710167169571,2,Aston Villa,405765,0,Roberto Firmino,2019,0,27,Sub,11966,0.0,0.0,1,Liverpool,0.05967710167169571,0
2020-07-02,0.16854099929332733,1,0,0.2533479928970337,4,Liverpool,404956,0,Roberto Firmino,2019,0,65,FW,11959,0.08480670303106308,0.0,2,Manchester City,0.16854099929332733,0
2020-06-24,0.056224800646305084,0,0,0.39064401388168335,4,Crystal Palace,402526,0,Roberto Firmino,2019,0,76,FW,11951,0.0,0.33441901206970215,1,Liverpool,0.056224800646305084,0
2020-06-21,0.050515301525592804,1,0,0.2603510022163391,0,Liverpool,401774,0,Roberto Firmino,2019,0,67,FW,11940,0.07866120338439941,0.1311749964952469,1,Everton,0.050515301525592804,0
2020-03-07,0.9534710049629211,0,0,0.9991179704666138,2,Bournemouth,387626,0,Roberto Firmino,2019,1,90,FW,11928,0.0,0.04564660042524338,3,Liverpool,0.9534710049629211,0
2020-02-29,0.0,0,0,0.0,3,Liverpool,387556,0,Roberto Firmino,2019,0,84,FW,11921,0.0,0.0,0,Watford,0.0,0
2020-02-24,0.9167349934577942,1,0,0.264151006937027,3,West Ham,387382,0,Roberto Firmino,2019,2,90,FW,11911,0.07040759921073914,0.061514098197221756,5,Liverpool,0.9167349934577942,0
2020-02-15,0.6849949955940247,1,0,0.7210279703140259,0,Liverpool,387009,0,Roberto Firmino,2019,1,90,FW,11899,0.01739870011806488,0.01863349974155426,2,Norwich,0.6849949955940247,0
2020-02-01,1.1766799688339233,4,0,2.413680076599121,4,Southampton,386750,3,Roberto Firmino,2019,0,90,FW,11887,1.1300499439239502,0.5480809807777405,3,Liverpool,1.1766799688339233,0
2020-01-29,0.6579959988594055,1,0,1.0649800300598145,0,Liverpool,386573,0,Roberto Firmino,2019,2,90,FW,11822,0.07689069956541061,0.5556929707527161,2,West Ham,0.6579959988594055,0
2020-01-23,0.8597580194473267,2,1,0.7382739782333374,1,Liverpool,386547,0,Roberto Firmino,2019,2,90,FW,11874,0.18319499492645264,0.33718401193618774,4,Wolverhampton Wanderers,0.8597580194473267,1
2020-01-19,0.3295150101184845,3,0,1.4585100412368774,2,Manchester United,386260,0,Roberto Firmino,2019,0,85,FW,11865,0.2637360095977783,0.9860590100288391,3,Liverpool,0.3295150101184845,0
2020-01-11,0.6675509810447693,4,1,1.0742499828338623,0,Liverpool,385949,0,Roberto Firmino,2019,1,90,FW,11854,0.3476000130176544,0.1512649953365326,4,Tottenham,0.6675509810447693,1
2020-01-02,0.9893479943275452,0,0,1.2095999717712402,2,Sheffield United,385721,0,Roberto Firmino,2019,0,90,FW,11847,0.0,0.22025300562381744,5,Liverpool,0.9893479943275452,0
