date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0.017018500715494156,0,1,0.08188939839601517,0,1,Brighton,0.017018500715494156,411249,0,Yves Bissouma,2019,2,78,MC,12022,1,Burnley,0.08188939839601517,1
2020-07-20,0,0,0,0,0,0,Newcastle United,0,410338,0,Yves Bissouma,2019,0,77,DMC,12005,0,Brighton,0,0
2020-07-16,0.09170079976320267,0,0,0.09170079976320267,0,1,Brighton,0.09170079976320267,409481,0,Yves Bissouma,2019,1,19,Sub,12002,1,Southampton,0,0
2020-07-11,0,0,0,0.03637159988284111,0,0,Manchester City,0,407596,0,Yves Bissouma,2019,5,90,MC,11985,0,Brighton,0.03637159988284111,0
2020-07-08,0,1,0,0.3630949854850769,0.029430000111460686,1,Liverpool,0,406789,0,Yves Bissouma,2019,3,15,Sub,11976,0,Brighton,0.33366501331329346,0
2020-07-04,0.01748340018093586,0,0,0.5486279726028442,0,0,Brighton,0.01748340018093586,405079,0,Yves Bissouma,2019,1,81,DMC,11969,1,Norwich,0.5311449766159058,0
2020-06-30,0,0,0,0.03123749978840351,0,0,Manchester United,0,404137,0,Yves Bissouma,2019,3,90,ML,11956,0,Brighton,0.03123749978840351,0
2020-06-23,0,0,0,0,0,0,Brighton,0,402047,0,Yves Bissouma,2019,0,64,DMC,11945,0,Leicester,0,0
2020-06-20,0.009161120280623436,1,0,0.009161120280623436,0.05445919930934906,2,Arsenal,0.009161120280623436,401271,0,Yves Bissouma,2019,1,90,DMC,11941,1,Brighton,0,0
2020-03-07,0.05597519874572754,0,0,0.1855199933052063,0,0,Brighton,0.05597519874572754,387744,0,Yves Bissouma,2019,0,90,MC,11931,3,Wolverhampton Wanderers,0.12954400479793549,0
2020-02-29,0.015322900377213955,0,0,1.0003299713134766,0,0,Crystal Palace,0.015322900377213955,387433,0,Yves Bissouma,2019,1,84,DMC,11915,1,Brighton,0.985010027885437,0
2020-02-22,0.0340454988181591,0,0,0.019172899425029755,0,1,Brighton,0.0340454988181591,387173,0,Yves Bissouma,2019,1,90,MC,11909,2,Sheffield United,0,0
2020-01-01,0,0,0,0,0,1,Chelsea,0,385473,0,Yves Bissouma,2019,1,49,MC,11845,0,Brighton,0,0
2019-12-28,0.07286319881677628,1,0,0.22873300313949585,0.027164600789546967,2,Bournemouth,0.07286319881677628,372676,0,Yves Bissouma,2019,0,90,DMC,11834,1,Brighton,0.1287049949169159,0
2019-12-26,0,0,0,0,0,2,Brighton,0,372421,0,Yves Bissouma,2019,1,5,Sub,11831,0,Tottenham,0,0
2019-12-21,0.017519399523735046,0,0,0.06110129877924919,0,0,Sheffield United,0.017519399523735046,371463,0,Yves Bissouma,2019,1,33,Sub,11815,1,Brighton,0.043581899255514145,0
2019-12-16,0.04835930094122887,0,0,0.604544997215271,0,1,Brighton,0.04835930094122887,370783,0,Yves Bissouma,2019,1,86,MC,11806,3,Crystal Palace,0.5735499858856201,0
2019-11-30,0,1,0,0.06100039929151535,0.02468710020184517,2,Brighton,0,366225,0,Yves Bissouma,2019,1,70,MC,11776,0,Liverpool,0.03631329908967018,0
2019-11-23,0,0,0,0.02055639959871769,0,0,Leicester,0,364748,0,Yves Bissouma,2019,2,12,Sub,11766,0,Brighton,0.02055639959871769,0
2019-10-05,0,0,0,0,0,3,Tottenham,0,355980,0,Yves Bissouma,2019,0,3,Sub,11713,0,Brighton,0,0
2019-09-28,0,0,0,0,0,2,Brighton,0,354629,0,Yves Bissouma,2019,0,47,MC,11708,0,Chelsea,0,0
2019-09-21,0.025975199416279793,0,0,0.025975199416279793,0,0,Brighton,0.025975199416279793,352462,0,Yves Bissouma,2019,0,7,Sub,11699,1,Newcastle United,0,0
