date,wins,x_g,deep,ppda_allowed,x_g_a,missed,ppda,h_a,team,pts,xpts,result,npx_g_d,deep_allowed,npx_g_a,scored,loses,draws,season,npx_g
2019-08-10 15:00:00,0,0.670022,7,"{att:230,def:20}",0.855516,3,"{att:274,def:28}",h,Watford,0,1.0922000000000000596855898038484156131744384765625,l,-0.18549400000000005,5,0.855516,0,1,0,2019-20,0.670022
2019-08-17 15:00:00,0,1.17279,3,"{att:195,def:22}",0.832913,1,"{att:157,def:40}",a,Watford,0,1.6630000000000000337507799486047588288784027099609375,l,0.339877,4,0.832913,0,1,0,2019-20,1.17279
2019-08-24 15:00:00,0,2.29348,20,"{att:246,def:19}",3.45768,3,"{att:195,def:21}",h,Watford,0,0.638900000000000023447910280083306133747100830078125,l,-0.4030299999999998,10,2.69651,1,1,0,2019-20,2.29348
2019-08-31 15:00:00,0,1.1068,6,"{att:294,def:15}",1.04131,1,"{att:252,def:21}",a,Watford,1,1.38609999999999988773424774990417063236236572265625,d,0.06549000000000005,2,1.04131,1,0,1,2019-20,1.1068
2019-09-15 15:30:00,0,2.83209,12,"{att:257,def:12}",1.00616,2,"{att:254,def:28}",h,Watford,1,2.555099999999999926814098216709680855274200439453125,d,1.0647600000000002,7,1.00616,2,0,1,2019-20,2.07092
2019-09-21 14:00:00,0,0.344718,1,"{att:238,def:21}",6.63049,8,"{att:430,def:12}",a,Watford,0,0.0004000000000000000191686944095437183932517655193805694580078125,l,-5.524602,13,5.86932,0,1,0,2019-20,0.344718
2019-09-28 14:00:00,0,1.06615,10,"{att:367,def:16}",1.16363,2,"{att:239,def:21}",a,Watford,0,1.1868000000000000770938868299708701670169830322265625,l,-0.09748000000000001,5,1.16363,0,1,0,2019-20,1.06615
2019-10-05 15:00:00,0,1.44318,2,"{att:148,def:22}",0.353724,0,"{att:310,def:16}",h,Watford,1,2.38759999999999994457766661071218550205230712890625,d,1.089456,5,0.353724,0,0,1,2019-20,1.44318
2019-10-19 15:00:00,0,0.846851,2,"{att:171,def:23}",0.891617,1,"{att:359,def:19}",a,Watford,1,1.2518000000000000238031816479633562266826629638671875,d,-0.04476599999999997,10,0.891617,1,0,1,2019-20,0.846851
2019-10-26 15:00:00,0,0.674903,5,"{att:178,def:19}",0.899526,0,"{att:342,def:26}",h,Watford,1,1.138199999999999878497192185022868216037750244140625,d,-0.22462300000000002,3,0.899526,0,0,1,2019-20,0.674903
2019-11-02 17:30:00,0,1.4744,6,"{att:214,def:19}",2.18313,2,"{att:505,def:25}",h,Watford,0,0.86370000000000002327027459614328108727931976318359375,l,-1.4699019999999998,8,2.18313,1,1,0,2019-20,0.713228
