date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0,0,0,0.1285579949617386,0,0,Manchester United,0,411483,0,Ayoze Pérez,2019,2,29,Sub,12018,0,Leicester,0.1285579949617386,0
2020-07-19,0.15394200384616852,0,0,0.35734501481056213,0,3,Leicester,0.15394200384616852,409806,0,Ayoze Pérez,2019,0,62,FWR,12010,3,Tottenham,0.20340199768543243,0
2020-07-16,0.3230929970741272,0,1,0.3230929970741272,0,2,Sheffield United,0.3230929970741272,409121,0,Ayoze Pérez,2019,0,72,FWR,11998,3,Leicester,0.09991840273141861,1
2020-07-12,0.07184520363807678,3,0,0.27941399812698364,0.22107000648975372,4,Leicester,0.07184520363807678,408221,0,Ayoze Pérez,2019,1,76,AMC,11984,2,Bournemouth,0.16040700674057007,0
2020-07-07,0,1,0,0.1274159997701645,0.07016360014677048,1,Leicester,0,406388,0,Ayoze Pérez,2019,1,90,FWL,11973,0,Arsenal,0.057252299040555954,0
2020-07-04,0.06122380122542381,2,0,0.7842599749565125,0.1103459969162941,3,Crystal Palace,0.06122380122542381,405159,0,Ayoze Pérez,2019,0,78,MR,11965,1,Leicester,0.6739130020141602,0
2020-07-01,0.12296800315380096,0,0,0.12296800315380096,0,2,Leicester,0.12296800315380096,404340,0,Ayoze Pérez,2019,1,6,Sub,11958,1,Everton,0,0
2020-06-23,0,0,0,0,0,0,Brighton,0,402040,0,Ayoze Pérez,2019,0,11,Sub,11945,0,Leicester,0,0
2020-02-28,0.36014801263809204,1,0,0.6048679947853088,0.1459449976682663,1,Leicester,0.36014801263809204,387420,0,Ayoze Pérez,2019,0,79,MR,11919,4,Norwich,0.09877579659223557,0
2020-02-22,0,0,0,0,0,0,Manchester City,0,387273,0,Ayoze Pérez,2019,1,1,Sub,11904,0,Leicester,0,0
2020-02-14,0.11058700084686279,1,0,0.21895399689674377,0.08525989949703217,0,Leicester,0.11058700084686279,386952,0,Ayoze Pérez,2019,0,71,MR,11902,1,Wolverhampton Wanderers,0.023107200860977173,0
2020-02-01,0,1,0,0.8356959819793701,0.24987900257110596,2,Chelsea,0,386584,0,Ayoze Pérez,2019,2,90,MR,11886,0,Leicester,0.5858169794082642,0
2020-01-22,0.2482440024614334,1,1,0.6895319819450378,0.12349399924278259,4,West Ham,1.00941002368927,386451,0,Ayoze Pérez,2019,1,90,MR,11876,4,Leicester,0.4412890076637268,2
2020-01-19,0.17445099353790283,1,0,0.37385401129722595,0.09378539770841599,2,Leicester,0.17445099353790283,386244,0,Ayoze Pérez,2019,1,75,MR,11866,2,Burnley,0.37385401129722595,0
2020-01-11,0,0,0,0.027326300740242004,0,1,Southampton,0,385854,0,Ayoze Pérez,2019,2,69,MR,11861,0,Leicester,0.027326300740242004,0
2020-01-01,0.8411470055580139,5,1,2.151210069656372,1.1617300510406494,0,Leicester,0.8411470055580139,385599,1,Ayoze Pérez,2019,3,90,FW,11849,3,Newcastle United,0.14832699298858643,1
2019-12-28,0,2,0,0.8770809769630432,0.8770809769630432,1,Leicester,0,372831,2,Ayoze Pérez,2019,2,67,AMC,11842,0,West Ham,0,0
2019-12-26,0,0,0,0.06122430041432381,0,0,Liverpool,0,372626,0,Ayoze Pérez,2019,4,17,Sub,11828,0,Leicester,0.06122430041432381,0
2019-12-21,0.022332599386572838,1,0,0.04800049960613251,0.025668000802397728,3,Leicester,0.022332599386572838,371637,0,Ayoze Pérez,2019,1,70,MR,11817,1,Manchester City,0,0
2019-12-04,0.08884350210428238,1,0,0.20914199948310852,0.12029799818992615,2,Watford,0.08884350210428238,367614,0,Ayoze Pérez,2019,0,48,MR,11785,1,Leicester,0,0
2019-12-01,0.226623997092247,0,0,0.2872759997844696,0,2,Everton,0.226623997092247,367036,0,Ayoze Pérez,2019,1,64,MR,11775,3,Leicester,0.060652200132608414,0
2019-11-23,1.1436599493026733,2,1,1.2196400165557861,0.07598499953746796,0,Leicester,1.1436599493026733,364756,0,Ayoze Pérez,2019,2,71,MR,11766,4,Brighton,0,1
2019-11-09,0.054796598851680756,0,0,0.11473400145769119,0,2,Arsenal,0.054796598851680756,363306,0,Ayoze Pérez,2019,0,60,MR,11762,1,Leicester,0.05993710085749626,0
2019-11-03,0,0,0,0,0,0,Leicester,0,362129,0,Ayoze Pérez,2019,2,75,MR,11747,0,Crystal Palace,0,0
2019-10-25,0.9789850115776062,1,3,1.0767099857330322,0.5059019923210144,0,Leicester,0.9789850115776062,359105,0,Ayoze Pérez,2019,9,76,MR,11740,7,Southampton,0.20454199612140656,3
2019-10-19,0.1001959964632988,0,0,0.1001959964632988,0,2,Burnley,0.1001959964632988,357842,0,Ayoze Pérez,2019,1,68,MR,11728,1,Leicester,0,0
2019-10-05,0,1,0,0.06767749786376953,0.06767749786376953,2,Leicester,0,356216,1,Ayoze Pérez,2019,1,15,Sub,11715,0,Liverpool,0,0
2019-09-29,0.5473390221595764,1,0,0.6849219799041748,0.02449839934706688,5,Newcastle United,0.5473390221595764,355504,0,Ayoze Pérez,2019,0,87,MR,11710,1,Leicester,0.11308400332927704,0
2019-09-21,0.04824269935488701,1,0,0.41197898983955383,0.07703760266304016,2,Tottenham,0.04824269935488701,352024,0,Ayoze Pérez,2019,1,70,MR,11694,1,Leicester,0.36373600363731384,0
