date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-15,0,1,0,0.2858409881591797,0.07648850232362747,2,Bournemouth,0,408657,0,Benjamin Mendy,2019,1,79,DL,11999,0,Manchester City,0.2858409881591797,0
2020-07-11,0.08479540050029755,1,0,0.9231240153312683,0.08606269955635071,0,Manchester City,0.08479540050029755,407610,0,Benjamin Mendy,2019,5,66,DL,11985,2,Brighton,0.752265989780426,0
2020-07-02,0,1,0,0.3911310136318207,0.06520219892263412,4,Liverpool,0,404936,0,Benjamin Mendy,2019,0,90,DL,11959,0,Manchester City,0.3911310136318207,0
2020-06-25,0.038268301635980606,1,0,0.12051499634981155,0.01417350023984909,2,Manchester City,0.038268301635980606,402746,0,Benjamin Mendy,2019,1,61,DL,11946,2,Chelsea,0.10134900361299515,0
2020-06-17,0,0,0,0.4394719898700714,0,3,Arsenal,0,400539,0,Benjamin Mendy,2019,0,90,DL,11917,0,Manchester City,0.4394719898700714,0
2020-03-08,0,0,0,0.02984059974551201,0,2,Manchester City,0,387862,0,Benjamin Mendy,2019,0,11,Sub,11932,0,Manchester United,0.02984059974551201,0
2020-02-22,0.03788109868764877,0,0,0.5818560123443604,0,0,Manchester City,0.03788109868764877,387280,0,Benjamin Mendy,2019,1,90,DL,11904,2,Leicester,0.5640339851379395,0
2020-02-19,0.02225939929485321,0,0,0.6820859909057617,0,2,West Ham,0.02225939929485321,387102,0,Benjamin Mendy,2019,0,90,DL,11898,1,Manchester City,0.6598269939422607,0
2020-01-18,0,4,0,0.6062430143356323,0.46663498878479004,2,Crystal Palace,0,386040,1,Benjamin Mendy,2019,2,90,DL,11864,0,Manchester City,0.5155959725379944,0
2020-01-12,0,2,0,0.9303039908409119,0.15152299404144287,1,Manchester City,0,386000,0,Benjamin Mendy,2019,6,90,DL,11856,0,Aston Villa,0.778780996799469,0
2020-01-01,0,3,0,0.48171699047088623,0.19763299822807312,2,Everton,0,385663,0,Benjamin Mendy,2019,1,90,DML,11848,0,Manchester City,0.48171699047088623,0
2019-12-27,0,1,0,0.04913569986820221,0.04913569986820221,3,Manchester City,0,372661,0,Benjamin Mendy,2019,2,90,DL,11832,0,Wolverhampton Wanderers,0,0
2019-12-21,0,4,0,1.4118800163269043,0.44282400608062744,3,Leicester,0,371621,1,Benjamin Mendy,2019,1,90,DL,11817,0,Manchester City,1.0317399501800537,0
2019-12-15,0,1,0,0.17699700593948364,0.023404600098729134,0,Manchester City,0,370558,0,Benjamin Mendy,2019,3,88,DL,11803,0,Arsenal,0.15359200537204742,0
2019-11-30,0.017055200412869453,1,0,0.18265500664710999,0.03196069970726967,2,Manchester City,0.017055200412869453,365973,0,Benjamin Mendy,2019,2,90,DL,11777,1,Newcastle United,0.1655990034341812,0
2019-11-23,0,0,0,0.10261200368404388,0,2,Chelsea,0,364908,0,Benjamin Mendy,2019,1,90,DL,11769,0,Manchester City,0.10261200368404388,0
2019-10-26,0.11720400303602219,1,0,0.6160680055618286,0.020965199917554855,3,Aston Villa,0.11720400303602219,359172,1,Benjamin Mendy,2019,0,74,DL,11737,2,Manchester City,0.6160680055618286,0
2019-10-19,0,0,0,2.260540008544922,0,0,Manchester City,0,358103,0,Benjamin Mendy,2019,2,90,DL,11726,0,Crystal Palace,2.260540008544922,0
2019-09-21,0,0,0,0.6781589984893799,0,8,Watford,0,352273,0,Benjamin Mendy,2019,0,49,DL,11695,0,Manchester City,0.6781589984893799,0
