date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0.056162700057029724,0,0,0.5570759773254395,0,3,Sheffield United,0.056162700057029724,411432,0,Enda Stevens,2019,1,90,DML,12015,1,Southampton,0.5009130239486694,0
2020-07-20,0.08335520327091217,1,0,0.1733279973268509,0.07795160263776779,0,Everton,0.08335520327091217,410368,0,Enda Stevens,2019,1,90,DML,12009,2,Sheffield United,0.10802000015974045,0
2020-07-16,0,0,0,0.016110900789499283,0,2,Sheffield United,0,409131,0,Enda Stevens,2019,0,90,DML,11998,0,Leicester,0.016110900789499283,0
2020-07-11,0.1067420020699501,1,0,0.23554499447345734,0.12880299985408783,3,Chelsea,0.1067420020699501,407508,1,Enda Stevens,2019,0,90,DML,11989,1,Sheffield United,0.12880299985408783,0
2020-07-08,0.05773580074310303,0,0,0.18543100357055664,0,1,Wolverhampton Wanderers,0.05773580074310303,406545,0,Enda Stevens,2019,0,90,DML,11980,1,Sheffield United,0.1276949942111969,0
2020-07-05,0.020690899342298508,1,0,0.2152079939842224,0.015348199754953384,1,Sheffield United,0.020690899342298508,405562,0,Enda Stevens,2019,1,90,DML,11963,1,Burnley,0.17916899919509888,0
2020-07-02,0,1,0,0.8244979977607727,0.7325490117073059,3,Tottenham,0,404815,1,Enda Stevens,2019,1,90,DML,11960,0,Sheffield United,0.8244979977607727,0
2020-06-24,0,0,0,0.015278100036084652,0,3,Sheffield United,0,402324,0,Enda Stevens,2019,0,90,DML,11950,0,Manchester United,0.015278100036084652,0
2020-06-21,0.08342199772596359,0,0,0.4347139894962311,0,3,Sheffield United,0.08342199772596359,401622,0,Enda Stevens,2019,0,90,DML,11938,1,Newcastle United,0.3512920141220093,0
2020-06-17,0,0,0,0,0,0,Sheffield United,0,400342,0,Enda Stevens,2019,0,90,DML,11913,0,Aston Villa,0,0
2020-03-07,0,1,0,0,0.04327379912137985,1,Norwich,0,387675,0,Enda Stevens,2019,0,62,DML,11929,0,Sheffield United,0,0
2020-02-22,0.03233560174703598,0,1,0.12121500074863434,0,1,Brighton,0.03233560174703598,387157,0,Enda Stevens,2019,1,48,DML,11909,1,Sheffield United,0.12121500074863434,1
2020-02-09,0,2,0,0.7449899911880493,0.19807599484920502,2,Bournemouth,0,386910,0,Enda Stevens,2019,1,90,DML,11900,0,Sheffield United,0.6669920086860657,0
2020-02-01,0.461232990026474,0,0,0.48840999603271484,0,0,Sheffield United,0.461232990026474,386707,0,Enda Stevens,2019,1,90,DML,11885,2,Crystal Palace,0.39918598532676697,0
2020-01-21,0,1,0,0.5861150026321411,0.5861150026321411,0,Manchester City,0,386367,0,Enda Stevens,2019,1,90,DML,11875,0,Sheffield United,0.5861150026321411,0
2020-01-18,0,2,0,0.08762279897928238,0.08762279897928238,1,Sheffield United,0,386161,0,Enda Stevens,2019,1,90,DML,11863,0,Arsenal,0,0
2020-01-10,0,1,0,0.04828989878296852,0.04828989878296852,1,West Ham,0,385745,0,Enda Stevens,2019,0,90,DML,11855,0,Sheffield United,0,0
2020-01-02,0,0,0,0.5597130060195923,0,2,Sheffield United,0,385731,0,Enda Stevens,2019,0,90,DML,11847,0,Liverpool,0.5597130060195923,0
2019-12-29,0,2,0,0.7319089770317078,0.35679399967193604,2,Sheffield United,0,372938,0,Enda Stevens,2019,0,90,DML,11837,0,Manchester City,0.3751150071620941,0
2019-12-26,0.01954369992017746,2,0,0.07423040270805359,0.05468669906258583,1,Watford,0.01954369992017746,372566,0,Enda Stevens,2019,1,90,DML,11830,1,Sheffield United,0.03136289864778519,0
2019-12-21,0,2,0,0.16718600690364838,0.16718600690364838,0,Sheffield United,0,371471,0,Enda Stevens,2019,1,90,DML,11815,0,Brighton,0,0
2019-12-14,0.07890070229768753,1,0,0.7493659853935242,0.6704649925231934,2,Aston Villa,0.07890070229768753,369827,0,Enda Stevens,2019,0,90,DML,11810,1,Sheffield United,0,0
2019-12-08,0.057108599692583084,0,1,0.07881549745798111,0,1,Sheffield United,0.057108599692583084,369013,0,Enda Stevens,2019,2,90,DML,11799,1,Norwich,0.021707000210881233,1
2019-12-05,0.026898199692368507,2,0,0.6143069863319397,0.1425890028476715,0,Newcastle United,0.026898199692368507,367807,0,Enda Stevens,2019,2,90,DML,11786,1,Sheffield United,0.44481998682022095,0
2019-12-01,0.09653200209140778,1,0,1.0214699506759644,0.14118799567222595,1,Sheffield United,0.09653200209140778,366774,0,Enda Stevens,2019,1,90,DML,11780,1,Wolverhampton Wanderers,0.7837510108947754,0
2019-11-24,0,1,0,0.4038569927215576,0.4038569927215576,3,Manchester United,0,365574,0,Enda Stevens,2019,3,90,DML,11770,0,Sheffield United,0,0
2019-11-09,0,1,0,0.42901501059532166,0.3115510046482086,1,Sheffield United,0,363153,0,Enda Stevens,2019,1,90,DML,11759,0,Tottenham,0.42901501059532166,0
