date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0,1,0,0.36186501383781433,0.09300690144300461,1,Brighton,0,411234,0,James Tarkowski,2019,2,90,DC,12022,0,Burnley,0.2688579857349396,0
2020-07-18,0.10410500317811966,1,0,0.8129289746284485,0.012783699668943882,0,Burnley,0.10410500317811966,409681,0,James Tarkowski,2019,2,90,DC,12008,1,Norwich,0.8001449704170227,0
2020-07-15,0.03310149908065796,0,0,0.07095400243997574,0,1,Wolverhampton Wanderers,0.03310149908065796,408627,0,James Tarkowski,2019,1,90,DC,11994,1,Burnley,0.07095400243997574,0
2020-07-11,0.08463539928197861,1,0,0,0.06127860024571419,1,Burnley,0.08463539928197861,407432,1,James Tarkowski,2019,1,90,DC,11986,1,Liverpool,0,0
2020-07-08,0,0,0,0,0,0,Burnley,0,406531,0,James Tarkowski,2019,1,90,DC,11982,0,West Ham,0,0
2020-07-05,0.6399629712104797,0,1,0,0,1,Sheffield United,0.6399629712104797,405547,0,James Tarkowski,2019,1,90,DC,11963,2,Burnley,0,1
2020-06-29,0,1,0,0,0.061370398849248886,0,Burnley,0,403937,0,James Tarkowski,2019,1,90,DC,11957,0,Crystal Palace,0,0
2020-06-25,0,1,0,0.25402599573135376,0.020596599206328392,1,Watford,0,402674,0,James Tarkowski,2019,0,90,DC,11943,0,Burnley,0.25402599573135376,0
2020-06-22,0,0,0,0,0,5,Burnley,0,401955,0,James Tarkowski,2019,0,90,DC,11939,0,Manchester City,0,0
2020-03-07,0,1,0,0.033873800188302994,0.5972099900245667,1,Tottenham,0,387783,0,James Tarkowski,2019,1,90,DC,11924,0,Burnley,0.033873800188302994,0
2020-02-29,0,1,0,0,0.07688839733600616,0,Burnley,0,387470,0,James Tarkowski,2019,0,90,DC,11918,0,Newcastle United,0,0
2020-02-22,0,0,0,0.029092799872159958,0,3,Bournemouth,0,387209,0,James Tarkowski,2019,0,90,DC,11907,0,Burnley,0.029092799872159958,0
2020-02-15,0,0,0,0.09225309640169144,0,1,Burnley,0,386977,0,James Tarkowski,2019,2,90,DC,11901,0,Southampton,0.09225309640169144,0
2020-02-02,0.23640699684619904,0,0,0.5428029894828796,0,0,Arsenal,0.23640699684619904,386800,0,James Tarkowski,2019,0,90,DC,11884,1,Burnley,0.5428029894828796,0
2020-01-22,0,1,0,0,0.0849808007478714,0,Burnley,0,386517,0,James Tarkowski,2019,2,90,DC,11879,0,Manchester United,0,0
2020-01-19,0,0,0,0.05049629881978035,0,2,Leicester,0,386229,0,James Tarkowski,2019,1,90,DC,11866,0,Burnley,0.05049629881978035,0
2020-01-11,0,0,0,0,0,3,Burnley,0,385918,0,James Tarkowski,2019,0,90,DC,11858,0,Chelsea,0,0
2020-01-01,0.10822399705648422,1,0,0.3691360056400299,0.8119860291481018,1,Aston Villa,0.10822399705648422,385496,0,James Tarkowski,2019,2,90,DC,11846,2,Burnley,0.3691360056400299,0
2019-12-28,0,0,0,0,0,0,Manchester United,0,372839,0,James Tarkowski,2019,2,90,DC,11835,0,Burnley,0,0
2019-12-26,0,0,0,0,0,1,Burnley,0,372522,0,James Tarkowski,2019,0,90,DC,11827,0,Everton,0,0
2019-12-21,0,0,0,0,0,0,Burnley,0,371441,0,James Tarkowski,2019,1,90,DC,11814,0,Bournemouth,0,0
2019-12-14,0.07500120252370834,0,0,0.07251530140638351,0,1,Newcastle United,0.07500120252370834,369853,0,James Tarkowski,2019,0,90,DC,11804,1,Burnley,0.07251530140638351,0
2019-12-07,0,1,0,0.01044050045311451,0.01044050045311451,5,Burnley,0,368373,0,James Tarkowski,2019,0,90,DC,11800,0,Tottenham,0.01044050045311451,0
2019-12-03,0.04720919951796532,0,0,0.04720919951796532,0,1,Manchester City,0.04720919951796532,367472,0,James Tarkowski,2019,4,90,DC,11784,1,Burnley,0,0
2019-11-30,0.12060300260782242,0,0,0.023585300892591476,0,0,Crystal Palace,0.12060300260782242,366153,0,James Tarkowski,2019,2,90,DC,11773,2,Burnley,0.023585300892591476,0
2019-11-23,0.9328489899635315,0,1,0,0,0,Burnley,0.9328489899635315,364727,0,James Tarkowski,2019,3,90,DC,11771,3,Watford,0,1
2019-11-09,0,1,0,0.03080650046467781,0.5879489779472351,3,West Ham,0,363082,1,James Tarkowski,2019,0,90,DC,11753,0,Burnley,0.03080650046467781,0
2019-11-02,0,0,0,0.0493537001311779,0,3,Burnley,0,361653,0,James Tarkowski,2019,0,90,DC,11750,0,Sheffield United,0.0493537001311779,0
2019-10-26,0,1,0,0,0.6650570034980774,2,Chelsea,0,359589,0,James Tarkowski,2019,4,90,DC,11735,0,Burnley,0,0
2019-10-19,0,1,0,0.014735800214111805,0.3679650127887726,2,Burnley,0,357853,0,James Tarkowski,2019,1,90,DC,11728,0,Leicester,0.014735800214111805,0
2019-10-05,0,1,0,0.024004999548196793,0.06739050149917603,1,Everton,0,356166,0,James Tarkowski,2019,0,90,DC,11714,0,Burnley,0.024004999548196793,0
2019-09-28,0.12254100292921066,0,0,0,0,2,Burnley,0.12254100292921066,354571,0,James Tarkowski,2019,2,90,DC,11706,1,Aston Villa,0,0
2019-09-21,0,0,0,0,0,2,Norwich,0,352244,0,James Tarkowski,2019,0,90,DC,11696,0,Burnley,0,0
2019-09-14,0,1,0,0,0.06828629970550537,1,Burnley,0,348998,0,James Tarkowski,2019,1,90,DC,11685,0,Brighton,0,0
2019-08-31,0.059210099279880524,0,0,0,0,0,Liverpool,0.059210099279880524,347681,0,James Tarkowski,2019,3,90,DC,11680,1,Burnley,0,0
2019-08-25,0.010549400001764297,0,0,0.13526499271392822,0,1,Burnley,0.010549400001764297,344691,0,James Tarkowski,2019,1,90,DC,11668,1,Wolverhampton Wanderers,0.13526499271392822,0
2019-08-17,0.011441100388765335,0,0,0.03807369992136955,0,2,Burnley,0.011441100388765335,341775,0,James Tarkowski,2019,1,90,DC,11653,1,Arsenal,0.03807369992136955,0
2019-08-10,0.036027900874614716,0,0,0.08131050318479538,0,3,Southampton,0.036027900874614716,341237,0,James Tarkowski,2019,0,90,DC,11646,2,Burnley,0.08131050318479538,0
