date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-06-28,0,0,0,0,0,1,Southampton,0,403690,0,José Holebas,2019,3,12,Sub,11961,0,Watford,0,0
2020-06-20,0,0,0,0,0,1,Leicester,0,400908,0,José Holebas,2019,1,1,Sub,11935,0,Watford,0,0
2020-01-01,0,0,0,0,0,2,Wolverhampton Wanderers,0,385532,0,José Holebas,2019,1,26,Sub,11852,0,Watford,0,0
2019-11-30,0,2,0,0.095039501786232,0.04889509826898575,2,Watford,0,366390,0,José Holebas,2019,1,90,DL,11778,0,Southampton,0.06908659636974335,0
2019-11-23,0.03675030171871185,0,0,0.05177370086312294,0,0,Burnley,0.03675030171871185,364715,0,José Holebas,2019,3,90,DL,11771,1,Watford,0.015023400075733662,0
2019-11-08,0.011125699616968632,2,0,0.18441300094127655,0.1510400027036667,0,Watford,0.011125699616968632,362822,0,José Holebas,2019,2,90,DL,11757,1,Norwich,0.13993799686431885,0
2019-10-19,0,0,0,0.30203500390052795,0,1,Watford,0,357827,0,José Holebas,2019,1,90,DL,11731,0,Tottenham,0.30203500390052795,0
2019-10-05,0,0,0,0,0,0,Sheffield United,0,356252,0,José Holebas,2019,0,90,DL,11719,0,Watford,0,0
2019-09-28,0.0624719001352787,1,0,0.18036599457263947,0.03818440064787865,2,Watford,0.0624719001352787,354711,0,José Holebas,2019,0,90,DL,11705,2,Wolverhampton Wanderers,0.15776599943637848,0
2019-09-21,0,1,0,0.1589680016040802,0.044627901166677475,8,Watford,0,352287,0,José Holebas,2019,0,90,DL,11695,0,Manchester City,0.11433999985456467,0
2019-09-15,0.12820599973201752,1,0,0.4717850089073181,0.020495599135756493,2,Arsenal,0.12820599973201752,349849,0,José Holebas,2019,2,80,DL,11691,2,Watford,0.3902849853038788,0
2019-08-24,0,3,0,1.1129399538040161,0.20169100165367126,1,West Ham,0,344068,0,José Holebas,2019,3,90,DL,11667,0,Watford,0.9970229864120483,0
2019-08-17,0,1,0,0.0224371999502182,0.03800090029835701,1,Watford,0,341885,0,José Holebas,2019,0,90,DL,11656,0,Everton,0.0224371999502182,0
2019-08-10,0,0,0,0.02975730039179325,0,0,Brighton,0,341292,0,José Holebas,2019,3,90,DL,11648,0,Watford,0.02975730039179325,0
