date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0.05578469857573509,1,0,0.1274230033159256,0.11219800263643265,2,Wolverhampton Wanderers,0.05578469857573509,411264,0,Reece James,2019,0,90,DMR,12021,1,Chelsea,0.1274230033159256,0
2020-07-22,0.021940799430012703,3,0,0.7496989965438843,0.7413430213928223,5,Chelsea,0.021940799430012703,410855,0,Reece James,2019,3,90,DMR,12006,1,Liverpool,0.45115000009536743,0
2020-07-14,0,0,0,0.14071500301361084,0,1,Norwich,0,408483,0,Reece James,2019,0,7,Sub,11995,0,Chelsea,0.14071500301361084,0
2020-07-11,0.014592399820685387,3,0,0.17586399614810944,0.1331319957971573,3,Chelsea,0.014592399820685387,407518,0,Reece James,2019,0,77,DR,11989,1,Sheffield United,0.16127100586891174,0
2020-07-07,0,1,0,1.0918300151824951,0.40525099635124207,2,Chelsea,0,406257,0,Reece James,2019,3,90,DR,11977,0,Crystal Palace,1.0918300151824951,0
2020-07-04,0,1,0,0.546297013759613,0.4534650146961212,3,Watford,0,405452,0,Reece James,2019,0,90,DR,11964,0,Chelsea,0.546297013759613,0
2020-06-21,0,0,0,0,0,1,Chelsea,0,401687,0,Reece James,2019,2,1,Sub,11933,0,Aston Villa,0,0
2020-03-08,0,0,0,0,0,4,Everton,0,387818,0,Reece James,2019,0,30,Sub,11925,0,Chelsea,0,0
2020-02-29,0.07090730220079422,3,0,0.4467419981956482,0.17239899933338165,2,Chelsea,0.07090730220079422,387496,0,Reece James,2019,2,90,DMR,11914,2,Bournemouth,0.38294699788093567,0
2020-02-22,0.0747246965765953,2,0,0.23658700287342072,0.09266520291566849,2,Tottenham,0.0747246965765953,387129,0,Reece James,2019,1,90,DMR,11906,2,Chelsea,0.16186200082302094,0
2020-02-17,0.057617299258708954,1,0,0.16825200617313385,0.042377401143312454,0,Manchester United,0.057617299258708954,387071,0,Reece James,2019,2,90,DR,11896,2,Chelsea,0.15297900140285492,0
2020-02-01,0,1,0,0,0,2,Chelsea,0,386592,0,Reece James,2019,2,90,DR,11886,0,Leicester,0,0
2020-01-18,0,2,0,0.7086939811706543,0.07311549782752991,1,Chelsea,0,386213,0,Reece James,2019,0,80,DR,11868,0,Newcastle United,0.6617590188980103,0
2020-01-11,0.20664800703525543,3,0,1.0417699813842773,0.22831599414348602,3,Burnley,0.20664800703525543,385905,1,Reece James,2019,0,90,DR,11858,3,Chelsea,0.8571329712867737,0
2020-01-01,0.09572940319776535,1,0,0.20127899944782257,0.04638360068202019,1,Chelsea,0.09572940319776535,385481,0,Reece James,2019,1,90,DR,11845,2,Brighton,0.05916599929332733,0
2019-12-22,0.12172400206327438,0,0,0.12172400206327438,0,0,Chelsea,0.12172400206327438,372282,0,Reece James,2019,2,6,Sub,11820,1,Tottenham,0,0
2019-12-07,0.06123720109462738,1,0,0.13030199706554413,0.11682199686765671,3,Chelsea,0.06123720109462738,368122,0,Reece James,2019,1,84,DR,11796,1,Everton,0.13030199706554413,0
2019-12-04,0,2,0,0.6864290237426758,0.5639449954032898,2,Aston Villa,0,367665,1,Reece James,2019,1,90,DR,11789,0,Chelsea,0.5464209914207458,0
2019-11-30,0.018196899443864822,0,0,0.39539599418640137,0,0,West Ham,0.018196899443864822,366179,0,Reece James,2019,1,90,DR,11774,1,Chelsea,0.3771989941596985,0
2019-11-23,0,0,0,0,0,2,Chelsea,0,364931,0,Reece James,2019,1,29,Sub,11769,0,Manchester City,0,0
2019-11-09,0,0,0,0.36080801486968994,0,2,Crystal Palace,0,362887,0,Reece James,2019,0,90,DR,11754,0,Chelsea,0.36080801486968994,0
2019-11-02,0,0,0,0,0,1,Chelsea,0,361775,0,Reece James,2019,2,1,Sub,11751,0,Watford,0,0
2019-10-26,0.020164500921964645,0,0,0,0,2,Chelsea,0.020164500921964645,359612,0,Reece James,2019,4,26,Sub,11735,1,Burnley,0,0
2019-10-19,0,0,0,0,0,1,Newcastle United,0,357793,0,Reece James,2019,0,1,Sub,11725,0,Chelsea,0,0
