date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-12,0,0,0,0.16040700674057007,0,4,Leicester,0,408214,0,Çaglar Söyüncü,2019,1,72,DC,11984,0,Bournemouth,0.16040700674057007,0
2020-07-07,0,0,0,0.678026020526886,0,1,Leicester,0,406379,0,Çaglar Söyüncü,2019,1,90,DC,11973,0,Arsenal,0.678026020526886,0
2020-07-04,0,1,0,0.7431089878082275,0.030696900561451912,3,Crystal Palace,0,405156,0,Çaglar Söyüncü,2019,0,90,DC,11965,0,Leicester,0.7124119997024536,0
2020-07-01,0,0,0,0.20573100447654724,0,2,Leicester,0,404330,0,Çaglar Söyüncü,2019,1,90,DC,11958,0,Everton,0.20573100447654724,0
2020-06-23,0.044859498739242554,0,0,0.0993070974946022,0,0,Brighton,0.044859498739242554,402030,0,Çaglar Söyüncü,2019,0,90,DC,11945,2,Leicester,0.0993070974946022,0
2020-06-20,0.49152499437332153,0,0,0.2150229960680008,0,1,Leicester,0.49152499437332153,400915,0,Çaglar Söyüncü,2019,1,90,DC,11935,1,Watford,0.2150229960680008,0
2020-03-09,0.0909895971417427,0,0,0.02136489935219288,0,4,Aston Villa,0.0909895971417427,387865,0,Çaglar Söyüncü,2019,0,90,DC,11927,1,Leicester,0.02136489935219288,0
2020-02-28,0.08435779809951782,0,0,0.08567419648170471,0,1,Leicester,0.08435779809951782,387416,0,Çaglar Söyüncü,2019,0,90,DC,11919,1,Norwich,0.08567419648170471,0
2020-02-22,0,1,0,0.10066799819469452,0.029466599225997925,0,Manchester City,0,387264,0,Çaglar Söyüncü,2019,1,90,DC,11904,0,Leicester,0.07120189815759659,0
2020-02-14,0.11299800127744675,0,0,0.10836700350046158,0,0,Leicester,0.11299800127744675,386948,0,Çaglar Söyüncü,2019,0,90,DC,11902,1,Wolverhampton Wanderers,0.10836700350046158,0
2020-02-01,0,0,0,0.08361010253429413,0,2,Chelsea,0,386580,0,Çaglar Söyüncü,2019,2,90,DC,11886,0,Leicester,0.08361010253429413,0
2020-01-22,0,0,0,0.38644200563430786,0,4,West Ham,0,386447,0,Çaglar Söyüncü,2019,1,90,DC,11876,0,Leicester,0.38644200563430786,0
2020-01-19,0.014762099832296371,0,0,0.1285330057144165,0,2,Leicester,0.014762099832296371,386240,0,Çaglar Söyüncü,2019,1,90,DC,11866,1,Burnley,0.1137709990143776,0
2020-01-11,0,0,0,0.062403399497270584,0,1,Southampton,0,385850,0,Çaglar Söyüncü,2019,2,90,DC,11861,0,Leicester,0.062403399497270584,0
2020-01-01,0,0,0,0.8182700276374817,0,0,Leicester,0,385591,0,Çaglar Söyüncü,2019,3,90,DC,11849,0,Newcastle United,0.8182700276374817,0
2019-12-26,0,1,0,0.06122430041432381,0.06122430041432381,0,Liverpool,0,372617,0,Çaglar Söyüncü,2019,4,90,DC,11828,0,Leicester,0.06122430041432381,0
2019-12-21,0,0,0,0,0,3,Leicester,0,371633,0,Çaglar Söyüncü,2019,1,90,DC,11817,0,Manchester City,0,0
2019-12-14,0.05860770121216774,0,0,0.19086399674415588,0,1,Norwich,0.05860770121216774,369797,0,Çaglar Söyüncü,2019,1,90,DC,11807,1,Leicester,0.19086399674415588,0
2019-12-08,0.22352300584316254,1,0,0.6100599765777588,0.16356199979782104,1,Leicester,0.22352300584316254,369065,0,Çaglar Söyüncü,2019,4,90,DC,11793,2,Aston Villa,0.6100599765777588,0
