date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.052556298673152924,2,0,0.12647899985313416,0,Newcastle United,473288,0,Ademola Lookman,2020,2,65,AMC,14807,0.06261870265007019,0.011303599923849106,1,Fulham,0.052556298673152924,0
2021-05-18,0.06317990273237228,1,0,0.3800539970397949,1,Fulham,472313,0,Ademola Lookman,2020,1,90,AMC,14800,0.31687501072883606,0.06317990273237228,1,Manchester United,0.06317990273237228,0
2021-05-15,0.09283919632434845,0,0,0.18654300272464752,3,Fulham,471000,0,Ademola Lookman,2020,1,26,Sub,14792,0.0,0.09370339661836624,1,Southampton,0.09283919632434845,0
2021-05-10,0.15803100168704987,1,0,0.36550000309944153,0,Burnley,469815,0,Ademola Lookman,2020,2,90,AML,14777,0.06494469940662384,0.14252400398254395,4,Fulham,0.15803100168704987,0
2021-05-01,0.02340259961783886,3,0,0.0,2,Fulham,467117,0,Ademola Lookman,2020,0,90,AML,14767,0.09071390330791473,0.0,1,Chelsea,0.02340259961783886,0
2021-04-18,0.0,1,0,0.017271200194954872,1,Fulham,463337,0,Ademola Lookman,2020,1,70,ML,14745,0.017271200194954872,0.0,0,Arsenal,0.0,0
2021-04-04,0.0,1,0,0.02927280031144619,3,Fulham,460402,0,Ademola Lookman,2020,1,51,AML,14726,0.02927280031144619,0.02927280031144619,0,Aston Villa,0.0,0
2021-03-19,0.2927300035953522,5,0,0.35161399841308594,1,Leeds,457855,1,Ademola Lookman,2020,2,90,AML,14718,0.5898680090904236,0.0,4,Fulham,0.2927300035953522,0
2021-03-13,0.0,0,0,0.0,0,Manchester City,456633,0,Ademola Lookman,2020,3,90,FWR,14708,0.0,0.0,0,Fulham,0.0,0
2021-03-07,0.19266900420188904,1,0,0.38264599442481995,0,Fulham,455154,0,Ademola Lookman,2020,1,84,ML,14699,0.1096619963645935,0.14284999668598175,2,Liverpool,0.19266900420188904,0
2021-03-04,0.1043040007352829,2,0,1.0081499814987183,0,Tottenham,454173,0,Ademola Lookman,2020,1,90,AML,14757,0.04966479912400246,0.8739449977874756,2,Fulham,0.1043040007352829,0
2021-02-28,0.05409780144691467,4,0,0.14234599471092224,0,Fulham,452690,0,Ademola Lookman,2020,0,90,AML,14687,0.21619300544261932,0.08824770152568817,1,Crystal Palace,0.05409780144691467,0
2021-02-20,0.34461599588394165,3,1,0.44949600100517273,1,Sheffield United,450976,0,Ademola Lookman,2020,0,90,AML,14679,0.09349510073661804,0.06210850179195404,3,Fulham,0.34461599588394165,1
2021-02-17,0.06627420336008072,2,0,0.11430200189352036,1,Fulham,450185,0,Ademola Lookman,2020,1,90,ML,14602,0.023245999589562416,0.04802799969911575,1,Burnley,0.06627420336008072,0
2021-02-14,0.22787700593471527,2,0,1.2694200277328491,0,Fulham,449923,0,Ademola Lookman,2020,2,84,ML,14669,0.05857370048761368,0.9915220141410828,3,Everton,0.22787700593471527,0
2021-02-06,0.22662299871444702,3,0,0.5521900057792664,0,West Ham,447819,0,Ademola Lookman,2020,0,90,AML,14657,0.6784859895706177,0.12202399969100952,5,Fulham,0.22662299871444702,0
2021-02-03,0.01288210041821003,2,0,0.25724300742149353,0,Leicester,446960,0,Ademola Lookman,2020,2,90,FWL,14647,0.3816699981689453,0.21576499938964844,1,Fulham,0.01288210041821003,0
2021-01-30,0.1685349941253662,1,0,0.8969969749450684,2,Fulham,445673,0,Ademola Lookman,2020,2,90,FWL,14640,0.05937419831752777,0.7284629940986633,2,West Bromwich Albion,0.1685349941253662,0
2021-01-27,0.033944398164749146,5,0,0.38139399886131287,0,Fulham,445140,0,Ademola Lookman,2020,0,90,FWL,14625,0.2809320092201233,0.10727699846029282,1,Brighton,0.033944398164749146,0
2021-01-20,0.447719007730484,0,1,0.5449479818344116,1,Manchester United,443637,0,Ademola Lookman,2020,2,90,FW,14607,0.0,0.09722910076379776,5,Fulham,0.447719007730484,1
2021-01-16,0.07988529652357101,0,0,0.22832199931144714,0,Chelsea,442427,0,Ademola Lookman,2020,1,90,FW,14617,0.0,0.17486700415611267,2,Fulham,0.07988529652357101,0
2021-01-13,0.0,3,0,0.4662669897079468,1,Fulham,441955,1,Ademola Lookman,2020,1,22,Sub,14589,0.4662669897079468,0.0,0,Tottenham,0.0,0
