date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-16,0.04244289919734001,1,0,0.12024100124835968,0.01949390023946762,3,Aston Villa,0.04244289919734001,471338,0,Ahmed Elmohamady,2020,2,90,DR,14794,1,Crystal Palace,0.12024100124835968,0
2021-05-13,0.0585240013897419,0,0,0.05838660150766373,0,0,Everton,0.0585240013897419,470506,0,Ahmed Elmohamady,2020,0,44,Sub,14616,1,Aston Villa,0.05838660150766373,0
2021-04-25,0.050724100321531296,3,0,0.37979501485824585,0.06234759837388992,2,West Bromwich Albion,0.050724100321531296,466341,0,Ahmed Elmohamady,2020,2,90,DR,14756,2,Aston Villa,0.30373600125312805,0
2021-03-12,0,1,0,0.06801660358905792,0.052459001541137695,1,Aston Villa,0,455950,0,Ahmed Elmohamady,2020,1,90,DR,14712,0,Newcastle United,0.06801660358905792,0
2021-03-06,0.022823600098490715,0,0,0.05972420051693916,0,0,Wolverhampton Wanderers,0.022823600098490715,454749,0,Ahmed Elmohamady,2020,0,90,DR,14695,1,Aston Villa,0.05972420051693916,0
2021-03-03,0.06809590011835098,2,0,0.6097099781036377,0.4254469871520996,1,Aston Villa,0.06809590011835098,453797,0,Ahmed Elmohamady,2020,0,90,DR,14721,1,Sheffield United,0.22176599502563477,0
2021-02-27,0.05068419873714447,0,0,0,0,0,Aston Villa,0.05068419873714447,452513,0,Ahmed Elmohamady,2020,1,90,DR,14691,1,Leeds,0,0
2021-02-21,0,1,0,0.14554999768733978,0.07287900149822235,1,Leicester,0,451148,0,Ahmed Elmohamady,2020,2,90,DR,14676,0,Aston Villa,0.07267119735479355,0
2021-02-13,0,0,0,0,0,0,Aston Villa,0,449303,0,Ahmed Elmohamady,2020,0,28,Sub,14666,0,Brighton,0,0
2020-12-26,0,0,0,0.4422520101070404,0,3,Crystal Palace,0,438111,0,Ahmed Elmohamady,2020,0,1,Sub,14576,0,Aston Villa,0.4422520101070404,0
2020-12-17,0.047978099435567856,4,0,0.4645470082759857,0.31173598766326904,0,Burnley,0.047978099435567856,435562,0,Ahmed Elmohamady,2020,0,90,DR,14556,2,Aston Villa,0.1846729964017868,0
2020-11-30,0,0,0,0.02053930051624775,0,2,Aston Villa,0,430889,0,Ahmed Elmohamady,2020,1,1,Sub,14526,0,West Ham,0.02053930051624775,0
2020-11-01,0,0,0,0.013103099539875984,0,3,Southampton,0,424953,0,Ahmed Elmohamady,2020,4,22,Sub,14495,0,Aston Villa,0.013103099539875984,0
2020-10-04,0,1,0,0.04510309919714928,0.04510309919714928,7,Liverpool,0,420646,0,Ahmed Elmohamady,2020,2,7,Sub,14466,0,Aston Villa,0.04510309919714928,0
