date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-16,0,0,0,0.5047330260276794,0,1,Liverpool,0,471492,0,Curtis Jones,2020,2,64,MC,14789,0,West Bromwich Albion,0.5047330260276794,0
2021-05-13,0,1,0,0.4681110084056854,0.4681110084056854,2,Liverpool,0,470607,1,Curtis Jones,2020,4,12,Sub,14770,0,Manchester United,0,0
2021-05-08,0,0,0,0,0,2,Southampton,0,469004,0,Curtis Jones,2020,0,1,Sub,14780,0,Liverpool,0,0
2021-04-24,0,0,0,0.05868539959192276,0,1,Newcastle United,0,465132,0,Curtis Jones,2020,1,11,Sub,14760,0,Liverpool,0.05868539959192276,0
2021-03-04,0.03088030032813549,1,0,0.04592540115118027,0.015045099891722202,0,Chelsea,0.03088030032813549,454256,0,Curtis Jones,2020,1,63,MC,14719,1,Liverpool,0,0
2021-02-28,1.0748399496078491,1,1,1.9286999702453613,0.07858949899673462,0,Liverpool,1.0748399496078491,453345,0,Curtis Jones,2020,2,80,MC,14694,4,Sheffield United,0.853863000869751,1
2021-02-20,0.02815690077841282,1,0,0.4414680004119873,0.35991498827934265,0,Everton,0.02815690077841282,450885,0,Curtis Jones,2020,2,67,MC,14680,1,Liverpool,0.4133110046386719,0
2021-02-13,0.02313319966197014,0,0,0.14837400615215302,0,3,Liverpool,0.02313319966197014,448842,0,Curtis Jones,2020,1,76,MC,14670,1,Leicester,0.1252409964799881,0
2021-02-07,0.07399410009384155,0,0,0.07399410009384155,0,1,Manchester City,0.07399410009384155,448442,0,Curtis Jones,2020,4,70,MC,14659,2,Liverpool,0.05289139971137047,0
2021-02-03,0.017324000597000122,0,0,0.017324000597000122,0,0,Brighton,0.017324000597000122,447198,0,Curtis Jones,2020,1,10,Sub,14654,1,Liverpool,0,0
2021-01-31,0,1,0,0.0882624015212059,0.0882624015212059,1,Liverpool,0,446440,1,Curtis Jones,2020,3,32,Sub,14639,0,West Ham,0.0882624015212059,0
2021-01-28,0,0,0,0,0,1,Liverpool,0,445255,0,Curtis Jones,2020,3,8,Sub,14633,0,Tottenham,0,0
2021-01-17,0,0,0,0.07268069684505463,0,0,Manchester United,0,442843,0,Curtis Jones,2020,0,14,Sub,14620,0,Liverpool,0.07268069684505463,0
2020-12-30,0,0,0,0.33827999234199524,0,0,Liverpool,0,438741,0,Curtis Jones,2020,0,69,MC,14591,0,Newcastle United,0.33827999234199524,0
2020-12-27,0,0,0,0.68060702085495,0,1,West Bromwich Albion,0,438273,0,Curtis Jones,2020,1,84,MC,14580,0,Liverpool,0.68060702085495,0
2020-12-19,0,0,0,0,0,0,Liverpool,0,435763,0,Curtis Jones,2020,7,19,Sub,14568,0,Crystal Palace,0,0
2020-12-16,0.16142399609088898,2,0,0.6804670095443726,0.09273579716682434,2,Tottenham,0.16142399609088898,435347,0,Curtis Jones,2020,1,90,MC,14563,3,Liverpool,0.49713799357414246,0
2020-12-13,0.18531499803066254,2,0,0.46393901109695435,0.24776099622249603,1,Liverpool,0.18531499803066254,433955,0,Curtis Jones,2020,1,90,MC,14547,3,Fulham,0.10041700303554535,0
2020-12-06,0.05782010033726692,0,0,0.28758499026298523,0,4,Wolverhampton Wanderers,0.05782010033726692,432294,0,Curtis Jones,2020,0,90,MC,14539,1,Liverpool,0.22976399958133698,0
2020-11-28,0,0,0,0,0,1,Liverpool,0,429373,0,Curtis Jones,2020,1,14,Sub,14528,0,Brighton,0,0
2020-11-22,0.07992880046367645,2,0,1.1654000282287598,0.140065997838974,3,Leicester,0.07992880046367645,428946,0,Curtis Jones,2020,0,90,MC,14519,1,Liverpool,0.9454010128974915,0
2020-10-31,0.02607549913227558,0,0,0.02607549913227558,0,2,West Ham,0.02607549913227558,424648,0,Curtis Jones,2020,1,72,MC,14499,1,Liverpool,0,0
2020-10-04,0,0,0,0.0707470029592514,0,7,Liverpool,0,420661,0,Curtis Jones,2020,2,26,Sub,14466,0,Aston Villa,0.0707470029592514,0
2020-09-12,0,1,0,0.18150900304317474,0.030657900497317314,4,Leeds,0,414686,0,Curtis Jones,2020,3,22,Sub,14090,0,Liverpool,0.15085099637508392,0
