date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.0,0,0,0.01996150054037571,2,Chelsea,473254,0,Ezri Konsa Ngoyo,2020,1,90,DR,14806,0.0,0.01996150054037571,0,Aston Villa,0.0,0
2021-05-19,0.024546200409531593,0,0,0.3280999958515167,1,Aston Villa,472474,0,Ezri Konsa Ngoyo,2020,2,90,DR,14803,0.0,0.3280999958515167,1,Tottenham,0.024546200409531593,0
2021-05-16,0.14102600514888763,0,0,0.0,3,Aston Villa,471339,0,Ezri Konsa Ngoyo,2020,2,90,DC,14794,0.0,0.0,2,Crystal Palace,0.14102600514888763,0
2021-05-13,0.0,0,0,0.04483510181307793,0,Everton,470497,0,Ezri Konsa Ngoyo,2020,0,90,DC,14616,0.0,0.04483510181307793,0,Aston Villa,0.0,0
2021-05-09,0.0,0,0,0.16492700576782227,1,Manchester United,469389,0,Ezri Konsa Ngoyo,2020,3,90,DC,14776,0.0,0.16492700576782227,0,Aston Villa,0.0,0
2021-05-01,0.0,0,0,0.0,1,Aston Villa,467200,0,Ezri Konsa Ngoyo,2020,2,90,DC,14769,0.0,0.0,0,Everton,0.0,0
2021-04-25,0.10185199975967407,0,0,0.03415979817509651,2,West Bromwich Albion,466342,0,Ezri Konsa Ngoyo,2020,2,90,DC,14756,0.0,0.03415979817509651,3,Aston Villa,0.10185199975967407,0
2021-04-21,0.0,0,0,0.0,1,Manchester City,464704,0,Ezri Konsa Ngoyo,2020,2,90,DC,14746,0.0,0.0,0,Aston Villa,0.0,0
2021-04-10,0.36364099383354187,0,0,0.0849703997373581,2,Aston Villa,461194,0,Ezri Konsa Ngoyo,2020,1,90,DC,14739,0.0,0.0849703997373581,1,Liverpool,0.36364099383354187,0
2021-04-04,0.08865849673748016,0,0,0.10063599795103073,3,Fulham,460381,0,Ezri Konsa Ngoyo,2020,1,90,DC,14726,0.0,0.10063599795103073,1,Aston Villa,0.08865849673748016,0
2021-03-21,0.0,0,0,0.31033799052238464,0,Tottenham,458943,0,Ezri Konsa Ngoyo,2020,2,90,DC,14606,0.0,0.31033799052238464,0,Aston Villa,0.0,0
2021-03-12,0.052372001111507416,0,0,0.413908988237381,1,Aston Villa,455951,0,Ezri Konsa Ngoyo,2020,1,90,DC,14712,0.0,0.413908988237381,1,Newcastle United,0.052372001111507416,0
2021-03-06,0.6785489916801453,0,0,0.05972420051693916,0,Wolverhampton Wanderers,454750,0,Ezri Konsa Ngoyo,2020,0,90,DC,14695,0.0,0.05972420051693916,2,Aston Villa,0.6785489916801453,0
2021-03-03,0.057795099914073944,0,0,0.1636819988489151,1,Aston Villa,453798,0,Ezri Konsa Ngoyo,2020,0,90,DC,14721,0.0,0.1636819988489151,1,Sheffield United,0.057795099914073944,0
2021-02-27,0.0,0,0,0.0,0,Aston Villa,452514,0,Ezri Konsa Ngoyo,2020,1,90,DC,14691,0.0,0.0,0,Leeds,0.0,0
2021-02-21,0.6339679956436157,1,0,0.07267119735479355,1,Leicester,451149,0,Ezri Konsa Ngoyo,2020,2,90,DC,14676,0.04703240096569061,0.07267119735479355,1,Aston Villa,0.6339679956436157,0
2021-02-13,0.0,0,0,0.01801070012152195,0,Aston Villa,449294,0,Ezri Konsa Ngoyo,2020,0,90,DC,14666,0.0,0.01801070012152195,0,Brighton,0.0,0
2021-02-06,0.0,0,0,0.0,1,Arsenal,447362,0,Ezri Konsa Ngoyo,2020,0,90,DC,14655,0.0,0.0,0,Aston Villa,0.0,0
2021-02-03,0.0,1,0,0.1023859977722168,1,West Ham,447215,0,Ezri Konsa Ngoyo,2020,3,90,DC,14645,0.04614429920911789,0.1023859977722168,0,Aston Villa,0.0,0
2021-01-30,0.0,0,0,0.07487119734287262,0,Aston Villa,445957,0,Ezri Konsa Ngoyo,2020,1,90,DC,14641,0.0,0.07487119734287262,0,Southampton,0.0,0
2021-01-27,0.1287509948015213,0,0,0.15462300181388855,3,Aston Villa,445106,0,Ezri Konsa Ngoyo,2020,2,90,DC,14626,0.0,0.15462300181388855,1,Burnley,0.1287509948015213,0
2021-01-23,0.0,0,0,0.028699500486254692,2,Newcastle United,444384,0,Ezri Konsa Ngoyo,2020,0,90,DC,14535,0.0,0.028699500486254692,0,Aston Villa,0.0,0
2021-01-20,0.0,0,0,0.0,2,Aston Villa,443434,0,Ezri Konsa Ngoyo,2020,0,90,DC,14089,0.0,0.0,0,Manchester City,0.0,0
2021-01-01,0.0,0,0,0.37159299850463867,2,Aston Villa,438886,0,Ezri Konsa Ngoyo,2020,1,90,DC,14596,0.0,0.37159299850463867,0,Manchester United,0.0,0
2020-12-28,0.0,0,0,0.06868740171194077,1,Aston Villa,438364,0,Ezri Konsa Ngoyo,2020,1,90,DC,14586,0.0,0.06868740171194077,0,Chelsea,0.0,0
2020-12-26,0.0,0,0,0.13774199783802032,3,Crystal Palace,438112,0,Ezri Konsa Ngoyo,2020,0,42,Sub,14576,0.0,0.13774199783802032,0,Aston Villa,0.0,0
2020-12-12,0.047606099396944046,0,0,0.047606099396944046,0,Aston Villa,432768,0,Ezri Konsa Ngoyo,2020,1,90,DC,14552,0.0,0.0,1,Wolverhampton Wanderers,0.047606099396944046,0
2020-11-30,0.10394799709320068,0,0,0.051987599581480026,2,Aston Villa,430879,0,Ezri Konsa Ngoyo,2020,1,90,DC,14526,0.0,0.051987599581480026,2,West Ham,0.10394799709320068,0
2020-11-21,0.3741610050201416,0,1,0.027324600145220757,1,Brighton,427912,0,Ezri Konsa Ngoyo,2020,2,90,DC,14515,0.0,0.027324600145220757,1,Aston Villa,0.3741610050201416,1
2020-11-08,0.03375589847564697,0,0,0.0,0,Aston Villa,427391,0,Ezri Konsa Ngoyo,2020,3,90,DC,14505,0.0,0.0,1,Arsenal,0.03375589847564697,0
2020-11-01,0.0,0,0,0.03341580182313919,3,Southampton,424944,0,Ezri Konsa Ngoyo,2020,4,90,DC,14495,0.0,0.03341580182313919,0,Aston Villa,0.0,0
2020-10-23,0.075587697327137,0,0,0.01641939952969551,0,Leeds,422494,0,Ezri Konsa Ngoyo,2020,3,90,DC,14486,0.0,0.01641939952969551,1,Aston Villa,0.075587697327137,0
2020-10-18,0.3330889940261841,0,0,0.30616098642349243,0,Aston Villa,422239,0,Ezri Konsa Ngoyo,2020,1,90,DC,14479,0.0,0.30616098642349243,1,Leicester,0.3330889940261841,0
2020-10-04,0.0,0,0,0.07188589870929718,7,Liverpool,420636,0,Ezri Konsa Ngoyo,2020,2,90,DC,14466,0.0,0.07188589870929718,0,Aston Villa,0.0,0
