date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0.023420300334692,1,0,0.09748529642820358,0.07406499981880188,5,Everton,0.7845889925956726,473414,0,Gylfi Sigurdsson,2020,0,61,AMC,14811,3,Manchester City,0,0
2021-05-19,0.08606039732694626,4,0,0.1024319976568222,0.10293400287628174,1,Wolverhampton Wanderers,0.08606039732694626,472495,1,Gylfi Sigurdsson,2020,0,86,ML,14799,3,Everton,0.042396798729896545,0
2021-05-16,0.04787689819931984,3,0,0.14448599517345428,0.12523500621318817,0,Sheffield United,0.04787689819931984,471885,0,Gylfi Sigurdsson,2020,1,42,Sub,14787,2,Everton,0,0
2021-05-13,0.04193110018968582,1,0,0.1216920018196106,0.06442669779062271,0,Everton,0.04193110018968582,470517,0,Gylfi Sigurdsson,2020,0,69,ML,14616,1,Aston Villa,0.1216920018196106,0
2021-05-09,0.04345110058784485,2,0,1.0505000352859497,0.1185849979519844,0,Everton,0.04345110058784485,469530,0,Gylfi Sigurdsson,2020,1,87,MC,14783,1,West Ham,0.9836909770965576,0
2021-05-01,0.17993299663066864,0,0,0.2529760003089905,0,1,Aston Villa,0.17993299663066864,467192,0,Gylfi Sigurdsson,2020,2,85,AMC,14769,4,Everton,0.12097299844026566,0
2021-04-23,0.1489029973745346,0,0,0.2705239951610565,0,0,Everton,0.1489029973745346,465057,0,Gylfi Sigurdsson,2020,1,90,FWL,14755,2,Arsenal,0.16204099357128143,0
2021-04-16,0.1634719967842102,4,1,0.6446269750595093,0.5174689888954163,2,Tottenham,0.9246399998664856,462566,0,Gylfi Sigurdsson,2020,2,90,MC,14748,4,Everton,0.09759770333766937,2
2021-04-12,0.03156840056180954,0,0,0.03156840056180954,0,0,Everton,0.03156840056180954,462490,0,Gylfi Sigurdsson,2020,0,90,MC,14735,1,Brighton,0,0
2021-04-05,0.5104830265045166,0,0,1.2345000505447388,0,1,Crystal Palace,0.5104830265045166,460622,0,Gylfi Sigurdsson,2020,1,60,Sub,14728,2,Everton,0.7240129709243774,0
2021-03-08,0.013089800253510475,1,0,0.10529299825429916,0.07676450163125992,2,Everton,0.013089800253510475,455567,0,Gylfi Sigurdsson,2020,0,71,AMC,14698,1,Chelsea,0.10529299825429916,0
2021-03-04,0,1,0,0,0.5755969882011414,0,Everton,0,454217,1,Gylfi Sigurdsson,2020,1,25,Sub,14723,0,West Bromwich Albion,0,0
2021-03-01,0.07259850203990936,4,0,0.7825649976730347,1.2190899848937988,1,Southampton,0.07259850203990936,453447,1,Gylfi Sigurdsson,2020,0,90,AMC,14686,1,Everton,0,0
2021-02-20,0.08385969698429108,0,0,0.08385969698429108,0,0,Everton,0.8450289964675903,450903,0,Gylfi Sigurdsson,2020,2,27,Sub,14680,3,Liverpool,0,1
2021-02-17,0.08548469841480255,0,0,0.13210999965667725,0,1,Manchester City,0.08548469841480255,450261,0,Gylfi Sigurdsson,2020,3,90,AMC,14593,1,Everton,0.04662559926509857,0
2021-02-14,0.14869900047779083,0,0,0.15316100418567657,0,0,Fulham,0.14869900047779083,449910,0,Gylfi Sigurdsson,2020,2,90,FW,14669,3,Everton,0.027529999613761902,0
2021-02-06,0,0,0,0,0,3,Everton,0,447950,0,Gylfi Sigurdsson,2020,3,20,Sub,14660,0,Manchester United,0,0
2021-02-03,0.4684169888496399,1,1,0.6384570002555847,0.17003999650478363,1,Everton,0.4684169888496399,447026,0,Gylfi Sigurdsson,2020,2,90,AMC,14648,2,Leeds,0,1
2021-01-30,0,0,0,0.04515089839696884,0,0,Newcastle United,0,445386,0,Gylfi Sigurdsson,2020,2,90,DMC,14644,0,Everton,0.04515089839696884,0
2021-01-27,0,1,0,0.0638979971408844,0.1220719963312149,1,Leicester,0,445184,0,Gylfi Sigurdsson,2020,1,2,Sub,14627,0,Everton,0.0638979971408844,0
2021-01-12,0,1,0,0.17529399693012238,0.012730300426483154,1,Everton,0,441898,0,Gylfi Sigurdsson,2020,2,77,FW,14612,0,Wolverhampton Wanderers,0.17529399693012238,0
2021-01-01,0,1,0,0.07333579659461975,0.08685909956693649,0,West Ham,0,438849,0,Gylfi Sigurdsson,2020,1,66,AMC,14595,0,Everton,0.07333579659461975,0
2020-12-26,0.1299789994955063,2,1,0.1852159947156906,0.055236898362636566,0,Everton,0.1299789994955063,438178,0,Gylfi Sigurdsson,2020,1,90,AMC,14582,2,Sheffield United,0.034280501306056976,1
2020-12-19,0.1719750016927719,2,0,0,0.1741349995136261,2,Arsenal,0.1719750016927719,436188,1,Gylfi Sigurdsson,2020,1,90,AMC,14569,2,Everton,0,0
2020-12-16,0.1130099967122078,3,0,0.13247300684452057,0.2286670058965683,0,Everton,0.1130099967122078,434688,0,Gylfi Sigurdsson,2020,2,90,MC,14559,1,Leicester,0.01946279965341091,0
2020-12-12,0.03615939989686012,6,0,0.24646399915218353,0.40738600492477417,1,Chelsea,0.797327995300293,433294,0,Gylfi Sigurdsson,2020,0,86,MC,14546,2,Everton,0,1
2020-12-05,0.43219900131225586,0,0,0.43219900131225586,0,1,Everton,0.43219900131225586,431067,0,Gylfi Sigurdsson,2020,1,6,Sub,14537,1,Burnley,0,0
2020-11-22,0,0,0,0,0,2,Everton,0,428377,0,Gylfi Sigurdsson,2020,3,12,Sub,14517,0,Fulham,0,0
2020-11-07,0,1,0,0.12308099865913391,0.07950740307569504,1,Manchester United,0,426041,0,Gylfi Sigurdsson,2020,3,70,MC,14509,0,Everton,0.04357380047440529,0
2020-11-01,0.25735101103782654,2,0,0.41938498616218567,0.17563599348068237,2,Everton,0.25735101103782654,425204,0,Gylfi Sigurdsson,2020,1,90,AMC,14501,5,Newcastle United,0.16203400492668152,0
2020-10-25,0.016267800703644753,0,0,0.016267800703644753,0,2,Everton,0.016267800703644753,423562,0,Gylfi Sigurdsson,2020,0,59,MC,14492,1,Southampton,0,0
