date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.014875099994242191,3,0,0.4871099889278412,3,Southampton,473467,0,James Ward-Prowse,2020,0,90,MC,14813,0.11433299630880356,0.4722349941730499,1,West Ham,0.014875099994242191,0
2021-05-18,0.07898329943418503,2,0,0.140174001455307,0,Leeds,472325,0,James Ward-Prowse,2020,2,90,MC,14802,0.06019030138850212,0.07753729820251465,3,Southampton,0.07898329943418503,0
2021-05-15,0.14648699760437012,2,0,0.16828300058841705,3,Fulham,470979,1,James Ward-Prowse,2020,1,90,MC,14792,0.7198920249938965,0.16828300058841705,1,Southampton,0.14648699760437012,0
2021-05-11,0.09948139637708664,3,0,0.7141259908676147,3,Crystal Palace,469990,0,James Ward-Prowse,2020,1,90,MC,14753,0.13765299320220947,0.6078879833221436,2,Southampton,0.09948139637708664,0
2021-05-08,0.010490800254046917,2,0,0.4478890001773834,2,Southampton,469011,0,James Ward-Prowse,2020,0,90,MC,14780,0.0686827003955841,0.4373979866504669,1,Liverpool,0.010490800254046917,0
2021-04-30,0.7611690163612366,1,0,0.02116760052740574,1,Leicester,466684,0,James Ward-Prowse,2020,1,90,MC,14772,0.04871800169348717,0.02116760052740574,1,Southampton,0.0,1
2021-04-21,0.0,1,0,0.0,2,Southampton,464298,1,James Ward-Prowse,2020,1,90,MC,14722,0.04160039871931076,0.0,0,Tottenham,0.0,0
2021-04-12,0.8305550217628479,3,0,0.2369769960641861,3,Southampton,462372,0,James Ward-Prowse,2020,0,90,MC,14743,0.10901200026273727,0.21141000092029572,2,West Bromwich Albion,0.06938660144805908,0
2021-04-04,0.05227530002593994,1,0,0.3876959979534149,3,Burnley,460035,0,James Ward-Prowse,2020,2,90,MC,14733,0.02814199961721897,0.33542099595069885,1,Southampton,0.05227530002593994,0
2021-03-14,0.2104019969701767,0,0,0.14814500510692596,1,Brighton,456745,0,James Ward-Prowse,2020,2,90,MC,14713,0.0,0.09575329720973969,2,Southampton,0.2104019969701767,0
2021-03-10,0.8548319935798645,2,0,0.010723399929702282,5,Southampton,455776,0,James Ward-Prowse,2020,2,90,DMC,14761,0.12027499824762344,0.0,4,Manchester City,0.09366290271282196,1
2021-03-06,0.7611690163612366,0,0,0.5860959887504578,0,Southampton,454653,0,James Ward-Prowse,2020,2,90,MC,14701,0.0,0.5860959887504578,1,Sheffield United,0.0,1
2021-03-01,0.0,1,0,0.06498689949512482,1,Southampton,453458,0,James Ward-Prowse,2020,0,90,MC,14686,0.020174700766801834,0.06498689949512482,0,Everton,0.0,0
2021-02-23,0.014666499570012093,2,0,0.5388969779014587,3,Southampton,451767,0,James Ward-Prowse,2020,0,90,MC,14608,0.38994300365448,0.5242310166358948,1,Leeds,0.014666499570012093,0
2021-02-20,0.0,1,0,0.3441460132598877,1,Chelsea,450497,0,James Ward-Prowse,2020,1,90,MC,14682,0.049979399889707565,0.3441460132598877,0,Southampton,0.0,0
2021-02-14,0.02124059945344925,0,0,0.6979529857635498,1,Wolverhampton Wanderers,449440,0,James Ward-Prowse,2020,2,90,MC,14672,0.0,0.6767129898071289,1,Southampton,0.02124059945344925,0
2021-02-06,0.047049298882484436,3,1,0.38186201453208923,3,Southampton,447683,0,James Ward-Prowse,2020,2,90,MC,14661,0.1998790055513382,0.38186201453208923,1,Newcastle United,0.047049298882484436,1
2021-02-02,0.1745859980583191,0,0,0.016576699912548065,9,Southampton,446760,0,James Ward-Prowse,2020,0,90,MC,14651,0.0,0.0,2,Manchester United,0.1745859980583191,0
2021-01-30,0.11041799932718277,3,0,0.6231170296669006,0,Aston Villa,445942,0,James Ward-Prowse,2020,1,90,DR,14641,0.08080609887838364,0.5754650235176086,1,Southampton,0.11041799932718277,0
2021-01-26,0.08343909680843353,2,0,0.24260200560092926,1,Arsenal,445012,1,James Ward-Prowse,2020,3,90,MC,14632,0.11051499843597412,0.24260200560092926,1,Southampton,0.08343909680843353,0
2021-01-16,0.07967209815979004,1,0,0.1549690067768097,2,Southampton,442496,0,James Ward-Prowse,2020,0,90,MC,14619,0.04882960021495819,0.0752967968583107,1,Leicester,0.07967209815979004,0
2021-01-04,0.0,1,0,0.09319929778575897,1,Liverpool,439915,1,James Ward-Prowse,2020,0,90,MC,14598,0.06808079779148102,0.09319929778575897,0,Southampton,0.0,0
2020-12-29,0.1275559961795807,1,0,0.037473201751708984,0,West Ham,438437,0,James Ward-Prowse,2020,0,90,MC,14588,0.019704099744558334,0.037473201751708984,1,Southampton,0.1275559961795807,0
2020-12-26,0.045828599482774734,1,0,0.0,0,Southampton,438093,0,James Ward-Prowse,2020,0,90,MC,14577,0.05302349850535393,0.0,1,Fulham,0.045828599482774734,0
2020-12-19,0.0,2,0,0.06115410104393959,0,Manchester City,435981,0,James Ward-Prowse,2020,1,90,MC,14572,0.0964445024728775,0.06115410104393959,0,Southampton,0.0,0
2020-12-16,0.1409579962491989,0,0,0.663631021976471,1,Southampton,434840,0,James Ward-Prowse,2020,1,90,MC,14555,0.0,0.5226730108261108,2,Arsenal,0.1409579962491989,0
2020-12-13,0.06156200170516968,4,0,0.8509029746055603,3,Sheffield United,433438,0,James Ward-Prowse,2020,0,90,MC,14551,0.22876699268817902,0.7469549775123596,2,Southampton,0.06156200170516968,0
2020-12-07,0.0,3,0,0.07259660214185715,1,Southampton,432482,1,James Ward-Prowse,2020,2,90,MC,14536,0.06949780136346817,0.031404100358486176,0,Brighton,0.0,0
2020-11-29,0.06691060215234756,2,1,0.14014099538326263,2,Manchester United,430372,1,James Ward-Prowse,2020,3,90,MC,14534,0.15269599854946136,0.04934290051460266,1,Southampton,0.06691060215234756,1
2020-11-23,0.0,0,0,0.48879700899124146,1,Southampton,429159,0,James Ward-Prowse,2020,1,90,MC,14524,0.0,0.48879700899124146,0,Wolverhampton Wanderers,0.0,0
2020-11-06,0.0,2,0,0.3370499908924103,2,Newcastle United,425987,0,James Ward-Prowse,2020,0,90,MC,14512,0.06835439801216125,0.31092798709869385,0,Southampton,0.0,0
2020-11-01,0.29266801476478577,2,2,0.15506699681282043,3,Southampton,424962,1,James Ward-Prowse,2020,4,90,MC,14495,0.5105050206184387,0.08676210045814514,3,Aston Villa,0.29266801476478577,2
2020-10-25,0.09319490194320679,3,1,0.4086189866065979,2,Everton,423549,0,James Ward-Prowse,2020,0,90,MC,14492,0.09809920191764832,0.29433199763298035,1,Southampton,0.09319490194320679,1
2020-10-17,0.0,0,0,0.2396859973669052,3,Southampton,421144,0,James Ward-Prowse,2020,3,90,MC,14475,0.0,0.2396859973669052,0,Chelsea,0.0,0
2020-10-04,0.0,3,0,0.15884199738502502,2,West Bromwich Albion,419960,0,James Ward-Prowse,2020,0,90,MC,14473,0.18729299306869507,0.15884199738502502,0,Southampton,0.0,0
2020-09-26,0.0,0,0,0.2078319936990738,0,Southampton,417691,0,James Ward-Prowse,2020,1,90,MC,14109,0.0,0.2078319936990738,0,Burnley,0.0,0
2020-09-20,0.1770150065422058,2,0,0.23713600635528564,2,Tottenham,416206,0,James Ward-Prowse,2020,5,90,MC,14100,0.08042319864034653,0.10105600208044052,3,Southampton,0.1770150065422058,0
2020-09-12,0.08455269783735275,1,0,0.07210659980773926,1,Southampton,414579,0,James Ward-Prowse,2020,0,90,MC,14087,0.0894664004445076,0.07210659980773926,2,Crystal Palace,0.08455269783735275,0
