date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0,0,0,0,0,0,Newcastle United,0,473305,0,Jeff Hendrick,2020,2,9,Sub,14807,0,Fulham,0,0
2021-05-07,0,0,0,0,0,2,Newcastle United,0,468291,0,Jeff Hendrick,2020,4,1,Sub,14779,0,Leicester,0,0
2021-04-11,0,0,0,0,0,1,Newcastle United,0,461595,0,Jeff Hendrick,2020,2,1,Sub,14736,0,Burnley,0,0
2021-03-20,0,0,0,0.07740829885005951,0,3,Newcastle United,0,458346,0,Jeff Hendrick,2020,0,44,Sub,14715,0,Brighton,0.07740829885005951,0
2021-03-07,0,1,0,0.01382519956678152,0.01382519956678152,0,Newcastle United,0,455005,0,Jeff Hendrick,2020,0,58,MC,14703,0,West Bromwich Albion,0,0
2021-02-06,0,0,0,0.08412030339241028,0,3,Southampton,0,447667,0,Jeff Hendrick,2020,2,54,DMC,14661,0,Newcastle United,0.08412030339241028,0
2021-02-02,0.09283819794654846,0,0,0.0365745984017849,0,1,Crystal Palace,0.09283819794654846,446771,0,Jeff Hendrick,2020,2,65,MC,14652,1,Newcastle United,0.0365745984017849,0
2021-01-30,0,1,0,0.1083810031414032,0.07049480080604553,0,Newcastle United,0,445397,0,Jeff Hendrick,2020,2,90,MC,14644,0,Everton,0.03788600116968155,0
2021-01-26,0,1,0,0.014347000047564507,0.04789130017161369,1,Leeds,0,444957,0,Jeff Hendrick,2020,2,90,MC,14631,0,Newcastle United,0.014347000047564507,0
2021-01-23,0.017499899491667747,1,0,0,0.10314600169658661,2,Newcastle United,0.017499899491667747,444402,0,Jeff Hendrick,2020,0,90,MC,14535,1,Aston Villa,0,0
2021-01-18,0,0,0,0,0,3,Newcastle United,0,443058,0,Jeff Hendrick,2020,0,12,Sub,14615,0,Arsenal,0,0
2021-01-12,0,1,0,0.4108400046825409,0.4108400046825409,1,Newcastle United,0,441809,0,Jeff Hendrick,2020,0,90,MC,14610,0,Sheffield United,0,0
2020-12-16,0.6357439756393433,0,1,0.7025880217552185,0,5,Newcastle United,0.6357439756393433,434659,0,Jeff Hendrick,2020,2,63,MR,14558,1,Leeds,0.0668443962931633,1
2020-11-27,0,0,0,0.24336500465869904,0,0,Newcastle United,0,429247,0,Jeff Hendrick,2020,2,90,MR,14530,0,Crystal Palace,0.24336500465869904,0
2020-11-06,0,0,0,0.03150729835033417,0,2,Newcastle United,0,425999,0,Jeff Hendrick,2020,0,62,MC,14512,0,Southampton,0.03150729835033417,0
2020-11-01,0.044909700751304626,0,0,0,0,2,Everton,0.044909700751304626,425188,0,Jeff Hendrick,2020,1,90,MC,14501,1,Newcastle United,0,0
2020-10-25,0.01718739978969097,0,0,0.08895809948444366,0,1,Newcastle United,0.01718739978969097,423710,0,Jeff Hendrick,2020,1,90,MC,14494,1,Wolverhampton Wanderers,0.07177069783210754,0
2020-10-17,0.05064069852232933,0,0,0.14603999257087708,0,1,Manchester United,0.05064069852232933,421459,0,Jeff Hendrick,2020,4,90,MC,14481,1,Newcastle United,0.09539949893951416,0
2020-10-03,0.07570470124483109,0,0,0.3932650089263916,0,3,Burnley,0.07570470124483109,419783,0,Jeff Hendrick,2020,1,90,MR,14472,1,Newcastle United,0.31756100058555603,0
2020-09-27,0.053925998508930206,0,0,0.053925998508930206,0,1,Newcastle United,0.053925998508930206,418056,0,Jeff Hendrick,2020,1,77,MC,14111,1,Tottenham,0,0
2020-09-20,0.015993500128388405,0,0,0,0,0,Brighton,0.015993500128388405,416325,0,Jeff Hendrick,2020,3,90,MR,14101,1,Newcastle United,0,0
2020-09-12,0.1035500019788742,1,1,1.2004899978637695,0.7870320081710815,0,Newcastle United,0.1035500019788742,414755,1,Jeff Hendrick,2020,2,90,ML,14091,1,West Ham,0.3099130094051361,1
