date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.024282999336719513,0,0,0.02006020024418831,1,Burnley,473421,0,John Egan,2020,0,90,DC,14812,0.0,0.02006020024418831,1,Sheffield United,0.024282999336719513,0
2021-05-19,0.015609100461006165,1,0,0.08105319738388062,1,Sheffield United,472447,0,John Egan,2020,0,90,DC,14801,0.06196809932589531,0.08105319738388062,1,Newcastle United,0.015609100461006165,0
2021-05-16,0.05346589908003807,0,0,0.017646899446845055,0,Sheffield United,471888,0,John Egan,2020,1,90,DC,14787,0.0,0.017646899446845055,2,Everton,0.05346589908003807,0
2021-05-08,0.053669899702072144,0,0,0.4390380084514618,0,Crystal Palace,468689,0,John Egan,2020,2,90,DC,14782,0.0,0.4390380084514618,1,Sheffield United,0.053669899702072144,0
2021-05-02,0.0,0,0,0.11768399924039841,4,Sheffield United,467832,0,John Egan,2020,0,90,DC,14773,0.0,0.11768399924039841,0,Tottenham,0.0,0
2021-04-24,0.0,0,0,0.0,1,Brighton,465653,0,John Egan,2020,0,90,DC,14762,0.0,0.0,0,Sheffield United,0.0,0
2021-04-17,0.0,0,0,0.061316799372434616,1,Sheffield United,463115,0,John Egan,2020,0,90,DC,14754,0.0,0.061316799372434616,0,Wolverhampton Wanderers,0.0,0
2021-04-11,0.07385779917240143,0,0,0.1256520003080368,0,Arsenal,462205,0,John Egan,2020,3,90,DC,14741,0.0,0.09513960033655167,2,Sheffield United,0.07385779917240143,0
2021-04-03,0.0,0,0,0.0,2,Sheffield United,459669,0,John Egan,2020,1,9,Sub,14729,0.0,0.0,0,Leeds,0.0,0
2021-02-15,0.0,0,0,0.03992610052227974,3,Sheffield United,450035,0,John Egan,2020,0,88,DC,14674,0.0,0.03992610052227974,0,West Ham,0.0,0
2021-02-07,0.0,0,0,0.0,1,Chelsea,448526,0,John Egan,2020,2,90,DC,14662,0.0,0.0,0,Sheffield United,0.0,0
2021-02-02,0.0,1,0,0.7805709838867188,2,West Bromwich Albion,446712,1,John Egan,2020,1,90,DC,14649,0.49005699157714844,0.2905139923095703,0,Sheffield United,0.0,0
2021-01-30,0.0,0,0,0.040355101227760315,1,Sheffield United,445637,0,John Egan,2020,0,90,DC,14642,0.0,0.040355101227760315,0,Manchester City,0.0,0
2021-01-17,0.0,0,0,0.0724790021777153,1,Tottenham,442743,0,John Egan,2020,3,90,DC,14622,0.0,0.0724790021777153,0,Sheffield United,0.0,0
2021-01-12,0.0,0,0,0.29048898816108704,1,Newcastle United,441789,0,John Egan,2020,0,90,DC,14610,0.0,0.29048898816108704,0,Sheffield United,0.0,0
2021-01-02,0.0,0,0,0.048733100295066833,2,Sheffield United,439120,0,John Egan,2020,0,90,DC,14604,0.0,0.048733100295066833,0,Crystal Palace,0.0,0
2020-12-29,0.018523799255490303,0,0,0.24728600680828094,1,Sheffield United,438417,0,John Egan,2020,0,90,DC,14587,0.0,0.22876299917697906,1,Burnley,0.018523799255490303,0
2020-12-26,0.08287040144205093,0,0,0.0,0,Everton,438157,0,John Egan,2020,1,90,DC,14582,0.0,0.0,2,Sheffield United,0.08287040144205093,0
2020-12-20,0.0,0,0,0.09403900057077408,1,Sheffield United,436432,0,John Egan,2020,1,90,DC,14565,0.0,0.09403900057077408,0,Brighton,0.0,0
2020-12-17,0.036339499056339264,0,0,0.19623300433158875,2,Manchester United,435621,0,John Egan,2020,3,90,DC,14560,0.0,0.15989400446414948,1,Sheffield United,0.036339499056339264,0
2020-12-13,0.07843489944934845,0,0,0.0,3,Sheffield United,433447,0,John Egan,2020,0,90,DC,14551,0.0,0.0,1,Southampton,0.07843489944934845,0
2020-12-06,0.0,0,0,0.010452300310134888,1,Leicester,432026,0,John Egan,2020,2,90,DC,14541,0.0,0.010452300310134888,0,Sheffield United,0.0,0
2020-11-28,0.0,0,0,0.3897779881954193,1,Sheffield United,429952,0,John Egan,2020,0,90,DC,14527,0.0,0.3897779881954193,0,West Bromwich Albion,0.0,0
2020-11-22,0.0,1,0,0.08711619675159454,0,West Ham,428523,0,John Egan,2020,1,90,DC,14522,0.06658010184764862,0.02053610049188137,0,Sheffield United,0.0,0
2020-11-07,0.0,0,0,0.0,4,Sheffield United,426501,0,John Egan,2020,1,90,DC,14507,0.0,0.0,0,Chelsea,0.0,0
2020-10-31,0.0,0,0,0.5717120170593262,0,Manchester City,424224,0,John Egan,2020,1,90,DC,14502,0.0,0.5717120170593262,0,Sheffield United,0.0,0
2020-10-24,0.01517110038548708,0,0,0.17061500251293182,2,Sheffield United,423225,0,John Egan,2020,1,90,DC,14490,0.0,0.17061500251293182,1,Liverpool,0.01517110038548708,0
2020-10-18,0.0,0,0,0.4293150007724762,1,Fulham,421663,0,John Egan,2020,1,90,DC,14482,0.0,0.4293150007724762,0,Sheffield United,0.0,0
2020-10-04,0.0,0,0,0.007857530377805233,2,Sheffield United,420299,0,John Egan,2020,1,90,DC,14465,0.0,0.007857530377805233,0,Arsenal,0.0,0
2020-09-21,0.0,0,0,0.0,1,Sheffield United,416904,0,John Egan,2020,0,11,DC,14104,0.0,0.0,0,Aston Villa,0.0,0
2020-09-14,0.03902290016412735,0,0,0.04763070121407509,0,Wolverhampton Wanderers,415301,0,John Egan,2020,2,90,DC,14094,0.0,0.04763070121407509,1,Sheffield United,0.03902290016412735,0
