date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-16,0,1,0,0.4053109884262085,0.0701737031340599,2,Wolverhampton Wanderers,0,471458,0,Ki-Jana Hoever,2020,0,90,DR,14793,0,Tottenham,0.3351370096206665,0
2021-05-09,0,0,0,0.07941990345716476,0,2,Brighton,0,469082,0,Ki-Jana Hoever,2020,1,90,DR,14784,0,Wolverhampton Wanderers,0.07941990345716476,0
2021-04-05,0,0,0,0,0,2,West Ham,0,460680,0,Ki-Jana Hoever,2020,3,1,Sub,14734,0,Wolverhampton Wanderers,0,0
2021-03-02,0,0,0,0,0,4,Wolverhampton Wanderers,0,453565,0,Ki-Jana Hoever,2020,1,90,DMR,14720,0,Manchester City,0,0
2021-02-27,0,0,0,0,0,1,Wolverhampton Wanderers,0,452611,0,Ki-Jana Hoever,2020,1,4,Sub,14688,0,Newcastle United,0,0
2021-02-07,0.05745600163936615,0,0,0.5278069972991943,0,0,Leicester,0.05745600163936615,448328,0,Ki-Jana Hoever,2020,0,43,Sub,14664,1,Wolverhampton Wanderers,0.4703510105609894,0
2021-01-30,0,0,0,0.08166369795799255,0,1,Wolverhampton Wanderers,0,445695,0,Ki-Jana Hoever,2020,0,66,DMR,14638,0,Crystal Palace,0.08166369795799255,0
2021-01-27,0,0,0,0,0,0,Wolverhampton Wanderers,0,445088,0,Ki-Jana Hoever,2020,0,41,Sub,14630,0,Chelsea,0,0
2021-01-12,0,0,0,0,0,1,Everton,0,441886,0,Ki-Jana Hoever,2020,2,25,Sub,14612,0,Wolverhampton Wanderers,0,0
2020-12-29,0,1,0,0.0739763006567955,0.0739763006567955,1,Wolverhampton Wanderers,0,438563,0,Ki-Jana Hoever,2020,0,90,DMR,14592,0,Manchester United,0,0
2020-10-04,0,0,0,0,0,1,Fulham,0,420323,0,Ki-Jana Hoever,2020,0,12,Sub,14474,0,Wolverhampton Wanderers,0,0
2020-09-27,0,1,0,0.05436670035123825,0.0401029996573925,4,Wolverhampton Wanderers,0,418478,0,Ki-Jana Hoever,2020,0,16,Sub,14113,0,West Ham,0.05436670035123825,0
