date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-01-30,0.0,1,0,0.031892698258161545,2,Fulham,445654,0,Kieran Gibbs,2020,2,90,DML,14640,0.031892698258161545,0.031892698258161545,0,West Bromwich Albion,0.0,0
2021-01-26,0.0,0,0,0.08855319768190384,0,Manchester City,445038,0,Kieran Gibbs,2020,5,90,DL,14629,0.0,0.08855319768190384,0,West Bromwich Albion,0.0,0
2021-01-19,0.0,2,0,0.3857260048389435,2,West Bromwich Albion,443173,0,Kieran Gibbs,2020,1,90,DL,14611,0.35569700598716736,0.3857260048389435,0,West Ham,0.0,0
2021-01-16,0.06194189935922623,0,0,0.06194189935922623,2,West Bromwich Albion,442090,0,Kieran Gibbs,2020,3,90,DL,14624,0.0,0.0,1,Wolverhampton Wanderers,0.06194189935922623,0
2020-12-27,0.0,0,0,0.0,1,West Bromwich Albion,438284,0,Kieran Gibbs,2020,1,90,DL,14580,0.0,0.0,0,Liverpool,0.0,0
2020-12-20,0.0,0,0,0.0,0,Aston Villa,436967,0,Kieran Gibbs,2020,3,90,DL,14574,0.0,0.0,0,West Bromwich Albion,0.0,0
2020-12-15,0.0,0,0,0.020235499367117882,1,West Bromwich Albion,434456,0,Kieran Gibbs,2020,1,90,DL,14564,0.0,0.020235499367117882,0,Manchester City,0.0,0
2020-12-12,0.0,0,0,0.0,2,West Bromwich Albion,433047,0,Kieran Gibbs,2020,1,43,Sub,14550,0.0,0.0,0,Newcastle United,0.0,0
2020-09-19,0.0,1,0,0.12844599783420563,5,West Bromwich Albion,415588,0,Kieran Gibbs,2020,2,45,DL,14096,0.01861630007624626,0.10982999950647354,0,Everton,0.0,0
2020-09-13,0.0,0,0,0.17667900025844574,0,Leicester,414981,0,Kieran Gibbs,2020,3,90,DL,14092,0.0,0.17667900025844574,0,West Bromwich Albion,0.0,0
