date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.0,0,0,0.08327089995145798,2,Tottenham,473361,0,Lucas Moura,2020,4,20,Sub,14809,0.0,0.08327089995145798,0,Leicester,0.0,0
2021-05-08,0.0,1,0,0.2991600036621094,3,Tottenham,468412,0,Lucas Moura,2020,1,22,Sub,14778,0.023372400552034378,0.27578800916671753,0,Leeds,0.0,0
2021-04-21,0.190310999751091,1,0,0.2511430084705353,2,Southampton,464288,0,Lucas Moura,2020,1,90,FW,14722,0.010120700113475323,0.05071140080690384,3,Tottenham,0.190310999751091,0
2021-04-16,0.0,2,0,0.05388059839606285,2,Tottenham,462584,0,Lucas Moura,2020,2,23,Sub,14748,0.05388059839606285,0.0,0,Everton,0.0,0
2021-04-11,0.08178959786891937,1,0,0.6138240098953247,1,Manchester United,462059,1,Lucas Moura,2020,3,85,FWR,14742,0.38611501455307007,0.5320339798927307,1,Tottenham,0.08178959786891937,0
2021-04-04,0.0,0,0,0.31612101197242737,2,Tottenham,460256,0,Lucas Moura,2020,2,66,ML,14732,0.0,0.31612101197242737,0,Newcastle United,0.0,0
2021-03-21,0.0,4,0,0.04467570036649704,0,Tottenham,458963,1,Lucas Moura,2020,2,90,ML,14606,0.7705370187759399,0.0,0,Aston Villa,0.0,0
2021-03-14,0.0,2,0,0.10023099929094315,2,Tottenham,457206,1,Lucas Moura,2020,1,90,AMC,14705,0.10258200019598007,0.10023099929094315,0,Arsenal,0.0,0
2021-03-07,0.0,0,0,1.5657299757003784,4,Crystal Palace,455403,0,Lucas Moura,2020,1,90,AMC,14702,0.0,1.5657299757003784,0,Tottenham,0.0,0
2021-03-04,0.09064730256795883,0,0,0.09064730256795883,0,Tottenham,454190,0,Lucas Moura,2020,1,21,Sub,14757,0.0,0.0,1,Fulham,0.09064730256795883,0
2021-02-28,0.5489929914474487,0,1,1.2350200414657593,4,Burnley,452972,0,Lucas Moura,2020,0,68,AMC,14693,0.0,1.0202800035476685,3,Tottenham,0.5489929914474487,1
2021-02-21,0.08081009984016418,1,1,0.19434499740600586,2,Tottenham,451048,0,Lucas Moura,2020,1,90,AMR,14683,0.057862501591444016,0.08617900311946869,3,West Ham,0.08081009984016418,1
2021-02-13,0.0,0,0,0.0,3,Tottenham,449188,0,Lucas Moura,2020,0,47,AMC,14671,0.0,0.0,0,Manchester City,0.0,0
2021-02-07,0.0,2,0,0.5094450116157532,2,West Bromwich Albion,448051,1,Lucas Moura,2020,0,90,AMC,14663,0.5094450116157532,0.06762350350618362,0,Tottenham,0.0,0
2021-02-04,0.02304139919579029,0,0,0.08305659890174866,0,Chelsea,447253,0,Lucas Moura,2020,1,19,Sub,14653,0.0,0.08305659890174866,1,Tottenham,0.02304139919579029,0
2021-01-31,0.0850348025560379,0,0,0.0850348025560379,1,Tottenham,446557,0,Lucas Moura,2020,0,28,Sub,14636,0.0,0.0,1,Brighton,0.0850348025560379,0
2021-01-17,0.0,0,0,0.11713500320911407,1,Tottenham,442767,0,Lucas Moura,2020,3,1,Sub,14622,0.0,0.11713500320911407,0,Sheffield United,0.0,0
2021-01-02,0.0,0,0,0.02767759934067726,3,Leeds,438907,0,Lucas Moura,2020,0,11,Sub,14599,0.0,0.02767759934067726,0,Tottenham,0.0,0
2020-12-20,0.0,0,0,0.0,0,Leicester,436735,0,Lucas Moura,2020,2,38,Sub,14573,0.0,0.0,0,Tottenham,0.0,0
2020-12-16,0.0,0,0,0.0,2,Tottenham,435362,0,Lucas Moura,2020,1,31,Sub,14563,0.0,0.0,0,Liverpool,0.0,0
2020-12-06,0.0,0,0,0.0,2,Arsenal,432184,0,Lucas Moura,2020,0,1,Sub,14542,0.0,0.0,0,Tottenham,0.0,0
2020-11-29,0.0,0,0,0.0,0,Tottenham,430534,0,Lucas Moura,2020,0,1,Sub,14529,0.0,0.0,0,Chelsea,0.0,0
2020-11-21,0.0,0,0,0.0,2,Manchester City,428156,0,Lucas Moura,2020,0,15,Sub,14523,0.0,0.0,0,Tottenham,0.0,0
2020-11-08,0.0,0,0,0.02015960030257702,0,Tottenham,426746,0,Lucas Moura,2020,1,11,Sub,14513,0.0,0.02015960030257702,0,West Bromwich Albion,0.0,0
2020-10-26,0.0,1,0,0.03071730025112629,0,Tottenham,424063,0,Lucas Moura,2020,1,59,AMR,14488,0.03071730025112629,0.0,0,Burnley,0.0,0
2020-10-18,0.0,0,0,0.0,3,West Ham,422056,0,Lucas Moura,2020,3,8,Sub,14483,0.0,0.0,0,Tottenham,0.0,0
2020-10-04,0.0,0,0,0.339944988489151,1,Tottenham,420508,0,Lucas Moura,2020,6,41,Sub,14471,0.0,0.339944988489151,0,Manchester United,0.0,0
2020-09-27,0.7543410062789917,1,1,0.9140920042991638,1,Newcastle United,418042,0,Lucas Moura,2020,1,82,AMR,14111,0.11940199881792068,0.06706059724092484,3,Tottenham,0.7543410062789917,1
2020-09-20,0.0,0,0,0.0,2,Tottenham,416221,0,Lucas Moura,2020,5,64,FWR,14100,0.0,0.0,0,Southampton,0.0,0
2020-09-13,0.09166470170021057,0,0,0.5387309789657593,0,Everton,415126,0,Lucas Moura,2020,1,90,AMR,14093,0.0,0.4470660090446472,2,Tottenham,0.09166470170021057,0
