date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.07232259958982468,1,0,0.22512400150299072,3,West Bromwich Albion,473328,0,Matt Phillips,2020,1,90,MR,14808,0.05351389944553375,0.1716099977493286,1,Leeds,0.07232259958982468,0
2021-05-19,0.018383899703621864,1,0,0.16338899731636047,1,West Ham,472573,0,Matt Phillips,2020,3,90,MR,14804,0.09503860026597977,0.04996680095791817,1,West Bromwich Albion,0.018383899703621864,0
2021-05-16,0.0,0,0,0.2957020103931427,1,Liverpool,471476,0,Matt Phillips,2020,2,90,MR,14789,0.0,0.2957020103931427,0,West Bromwich Albion,0.0,0
2021-05-09,0.021053500473499298,1,0,0.5972710251808167,3,West Bromwich Albion,469652,0,Matt Phillips,2020,1,90,MC,14775,0.46889498829841614,0.12837600708007812,1,Arsenal,0.021053500473499298,0
2021-05-03,0.0,1,0,0.8298360109329224,1,Wolverhampton Wanderers,467977,0,Matt Phillips,2020,1,58,Sub,14774,0.4320249855518341,0.39781200885772705,0,West Bromwich Albion,0.0,0
2021-04-25,0.0,1,0,0.0371445007622242,2,West Bromwich Albion,466366,0,Matt Phillips,2020,2,21,Sub,14756,0.0371445007622242,0.0,0,Aston Villa,0.0,0
2021-04-22,0.07197210192680359,1,0,0.07197210192680359,3,West Bromwich Albion,464872,0,Matt Phillips,2020,0,90,MR,14750,0.16771599650382996,0.0,1,Leicester,0.07197210192680359,0
2021-04-12,0.47674399614334106,2,1,1.072160005569458,3,Southampton,462357,0,Matt Phillips,2020,0,90,MR,14743,0.1540520042181015,0.533623993396759,2,West Bromwich Albion,0.47674399614334106,1
2021-04-03,0.023688899353146553,0,0,0.10294000059366226,2,West Bromwich Albion,459176,0,Matt Phillips,2020,5,90,MR,14727,0.0,0.0792514979839325,1,Chelsea,0.023688899353146553,0
2021-03-13,0.10133799910545349,1,0,0.20268699526786804,1,West Bromwich Albion,456353,0,Matt Phillips,2020,0,73,MR,14706,0.053929299116134644,0.047418899834156036,2,Crystal Palace,0.10133799910545349,0
2021-03-07,0.5179240107536316,1,0,0.5408080220222473,0,Newcastle United,454996,0,Matt Phillips,2020,0,84,ML,14703,0.06564740091562271,0.022883599624037743,2,West Bromwich Albion,0.5179240107536316,0
2021-03-04,0.0648069977760315,1,0,0.15937499701976776,0,Everton,454201,0,Matt Phillips,2020,1,79,ML,14723,0.0945684015750885,0.0,2,West Bromwich Albion,0.0648069977760315,0
2021-02-27,0.0,0,0,0.0,1,Brighton,452265,0,Matt Phillips,2020,0,76,ML,14692,0.0,0.0,0,West Bromwich Albion,0.0,0
2021-02-20,0.0,0,0,0.016657400876283646,0,West Bromwich Albion,450723,0,Matt Phillips,2020,0,31,ML,14678,0.0,0.016657400876283646,0,Burnley,0.0,0
2021-02-14,0.0,0,0,0.0,1,Manchester United,449650,0,Matt Phillips,2020,1,1,Sub,14673,0.0,0.0,0,West Bromwich Albion,0.0,0
2021-02-07,0.0,1,0,0.0,2,West Bromwich Albion,448070,0,Matt Phillips,2020,0,20,Sub,14663,0.08714009821414948,0.0,0,Tottenham,0.0,0
2021-02-02,1.0324900150299072,1,1,1.3939599990844727,2,West Bromwich Albion,446730,0,Matt Phillips,2020,1,76,MR,14649,0.446711003780365,0.446711003780365,2,Sheffield United,1.0324900150299072,1
2021-01-30,0.0,0,0,0.0,2,Fulham,445662,0,Matt Phillips,2020,2,6,Sub,14640,0.0,0.0,0,West Bromwich Albion,0.0,0
2021-01-26,0.0,0,0,0.0,0,Manchester City,445046,0,Matt Phillips,2020,5,28,Sub,14629,0.0,0.0,0,West Bromwich Albion,0.0,0
2021-01-02,0.4043070077896118,2,0,0.7494779825210571,0,Arsenal,439284,0,Matt Phillips,2020,4,83,MR,14600,0.37935298681259155,0.3451710045337677,1,West Bromwich Albion,0.4043070077896118,0
2020-12-29,0.0,0,0,0.0,0,Leeds,438465,0,Matt Phillips,2020,5,48,MC,14590,0.0,0.0,0,West Bromwich Albion,0.0,0
2020-12-27,0.0,0,0,0.04812610149383545,1,West Bromwich Albion,438288,0,Matt Phillips,2020,1,90,MC,14580,0.0,0.04812610149383545,0,Liverpool,0.0,0
2020-12-20,0.03884420171380043,0,0,0.0,0,Aston Villa,436969,0,Matt Phillips,2020,3,79,MR,14574,0.0,0.0,1,West Bromwich Albion,0.03884420171380043,0
2020-12-15,0.010152099654078484,1,0,0.010152099654078484,1,West Bromwich Albion,434458,0,Matt Phillips,2020,1,88,MR,14564,0.028036000207066536,0.0,1,Manchester City,0.010152099654078484,0
2020-12-12,0.03274250030517578,3,0,0.15696200728416443,2,West Bromwich Albion,433042,1,Matt Phillips,2020,1,90,ML,14550,0.21969099342823029,0.0,2,Newcastle United,0.03274250030517578,0
2020-12-06,0.01853409968316555,4,0,0.22138500213623047,1,Crystal Palace,431727,0,Matt Phillips,2020,5,90,ML,14543,0.31679099798202515,0.02992209978401661,1,West Bromwich Albion,0.01853409968316555,0
2020-11-28,0.0,0,0,0.0,1,Sheffield United,429949,0,Matt Phillips,2020,0,13,Sub,14527,0.0,0.0,0,West Bromwich Albion,0.0,0
2020-11-08,0.0,0,0,0.0,0,Tottenham,426733,0,Matt Phillips,2020,1,5,Sub,14513,0.0,0.0,0,West Bromwich Albion,0.0,0
2020-11-02,0.0,2,0,0.14541800320148468,2,West Bromwich Albion,425655,0,Matt Phillips,2020,0,18,Sub,14497,0.14541800320148468,0.0,0,Fulham,0.0,0
2020-10-26,0.0,0,0,0.0,1,West Bromwich Albion,423985,0,Matt Phillips,2020,1,5,Sub,14487,0.0,0.0,0,Brighton,0.0,0
2020-10-19,0.0,0,0,0.0,0,Burnley,422357,0,Matt Phillips,2020,0,1,Sub,14484,0.0,0.0,0,West Bromwich Albion,0.0,0
2020-09-26,0.01821249909698963,0,0,0.0,3,Chelsea,417596,0,Matt Phillips,2020,3,14,Sub,14108,0.0,0.0,1,West Bromwich Albion,0.01821249909698963,0
2020-09-19,0.0,0,0,0.0,5,West Bromwich Albion,415596,0,Matt Phillips,2020,2,16,Sub,14096,0.0,0.0,0,Everton,0.0,0
