date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.0,0,0,0.017523400485515594,1,Burnley,473434,0,Matthew Lowton,2020,0,90,DR,14812,0.0,0.017523400485515594,0,Sheffield United,0.0,0
2021-05-19,0.042774099856615067,1,0,0.47376999258995056,0,Liverpool,472543,0,Matthew Lowton,2020,3,90,DR,14796,0.28806599974632263,0.43099600076675415,2,Burnley,0.042774099856615067,0
2021-05-15,0.009892820380628109,1,0,0.12117999792098999,0,Leeds,470668,0,Matthew Lowton,2020,4,90,DR,14786,0.050213299691677094,0.06107399985194206,1,Burnley,0.009892820380628109,0
2021-05-10,0.03037099912762642,1,0,0.020138200372457504,0,Burnley,469821,0,Matthew Lowton,2020,2,90,DR,14777,0.020138200372457504,0.0,1,Fulham,0.03037099912762642,0
2021-05-03,0.0,2,0,0.1913450062274933,1,West Ham,468086,0,Matthew Lowton,2020,2,90,DR,14766,0.1913450062274933,0.0,0,Burnley,0.0,0
2021-04-25,0.016511300578713417,1,0,0.1029919981956482,0,Burnley,465783,1,Matthew Lowton,2020,4,90,DR,14764,0.05515839904546738,0.031322699040174484,1,Wolverhampton Wanderers,0.016511300578713417,0
2021-04-18,0.0,1,0,0.2658950090408325,3,Burnley,463688,0,Matthew Lowton,2020,1,90,DR,14751,0.2658950090408325,0.0,0,Manchester United,0.0,0
2021-04-11,0.0736130028963089,1,0,0.15137000381946564,1,Newcastle United,461572,0,Matthew Lowton,2020,2,90,DR,14736,0.02446109987795353,0.12690900266170502,3,Burnley,0.0736130028963089,0
2021-04-04,0.0,1,0,0.4479359984397888,3,Burnley,460044,0,Matthew Lowton,2020,2,90,DR,14733,0.01585170067846775,0.4320850074291229,0,Southampton,0.0,0
2021-03-13,0.0,0,0,0.14027099311351776,1,Burnley,456558,0,Matthew Lowton,2020,2,90,DR,14707,0.0,0.14027099311351776,0,Everton,0.0,0
2021-03-06,0.0,0,0,0.0,1,Arsenal,454370,0,Matthew Lowton,2020,1,90,DR,14697,0.0,0.0,0,Burnley,0.0,0
2021-03-03,0.008924899622797966,4,0,0.5986120104789734,1,Leicester,453757,0,Matthew Lowton,2020,1,90,DR,14716,0.5896869897842407,0.0716245025396347,1,Burnley,0.008924899622797966,0
2021-02-28,0.0,2,0,0.293379008769989,4,Burnley,452979,0,Matthew Lowton,2020,0,90,DR,14693,0.293379008769989,0.0,0,Tottenham,0.0,0
2021-02-20,0.02556920051574707,1,0,0.4852069914340973,0,West Bromwich Albion,450703,0,Matthew Lowton,2020,0,90,DR,14678,0.3170410096645355,0.1425970047712326,1,Burnley,0.02556920051574707,0
2021-02-17,0.0,0,0,0.1312199980020523,1,Fulham,450165,0,Matthew Lowton,2020,1,90,DR,14602,0.0,0.1312199980020523,0,Burnley,0.0,0
2021-02-13,0.3914259970188141,3,1,0.4723140001296997,0,Burnley,449040,0,Matthew Lowton,2020,3,90,DR,14668,0.11392500251531601,0.015103500336408615,3,Crystal Palace,0.3914259970188141,1
2021-02-06,0.07102929800748825,1,0,0.32444998621940613,1,Brighton,447638,0,Matthew Lowton,2020,1,90,DR,14656,0.051492199301719666,0.26847800612449646,3,Burnley,0.07102929800748825,0
2021-02-03,0.0,1,0,0.048915501683950424,0,Manchester City,446979,0,Matthew Lowton,2020,2,90,DR,14646,0.006410229951143265,0.04250530153512955,0,Burnley,0.0,0
2021-01-31,0.0,0,0,0.0,2,Burnley,446013,0,Matthew Lowton,2020,0,90,DR,14637,0.0,0.0,0,Chelsea,0.0,0
2021-01-27,0.0,0,0,0.0,3,Aston Villa,445091,0,Matthew Lowton,2020,2,90,DR,14626,0.0,0.0,0,Burnley,0.0,0
