date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-05-23,0.0653257966041565,0,0,0.35111600160598755,2,Crystal Palace,473366,0,Nathaniel Phillips,2020,0,90,DC,14810,0.0,0.35111600160598755,1,Liverpool,0.0653257966041565,0
2021-05-19,0.23409900069236755,0,1,0.14676900207996368,0,Liverpool,472556,0,Nathaniel Phillips,2020,3,90,DC,14796,0.0,0.14676900207996368,3,Burnley,0.23409900069236755,1
2021-05-16,0.08890379965305328,1,0,0.7006679773330688,1,Liverpool,471487,0,Nathaniel Phillips,2020,2,90,DC,14789,0.1278190016746521,0.7006679773330688,2,West Bromwich Albion,0.08890379965305328,0
2021-05-13,0.07450979948043823,1,0,0.12492399662733078,2,Liverpool,470597,1,Nathaniel Phillips,2020,4,90,DC,14770,0.5596399903297424,0.12492399662733078,1,Manchester United,0.07450979948043823,0
2021-05-08,0.34934601187705994,0,0,0.3603239953517914,2,Southampton,468993,0,Nathaniel Phillips,2020,0,90,DC,14780,0.0,0.3603239953517914,2,Liverpool,0.34934601187705994,0
2021-04-10,0.051151201128959656,3,0,0.18178899586200714,2,Aston Villa,461181,0,Nathaniel Phillips,2020,1,90,DC,14739,0.16919299960136414,0.0668897032737732,1,Liverpool,0.051151201128959656,0
2021-04-03,0.0,0,0,0.07839810103178024,0,Liverpool,459960,0,Nathaniel Phillips,2020,3,90,DC,14725,0.0,0.07839810103178024,0,Arsenal,0.0,0
2021-03-15,0.0,0,0,0.46357500553131104,0,Liverpool,457437,0,Nathaniel Phillips,2020,1,90,DC,14714,0.0,0.46357500553131104,0,Wolverhampton Wanderers,0.0,0
2021-03-07,0.04010679945349693,1,0,0.11609899997711182,0,Fulham,455135,0,Nathaniel Phillips,2020,1,90,DC,14699,0.03382910043001175,0.08747810125350952,2,Liverpool,0.04010679945349693,0
2021-02-28,0.05915119871497154,0,0,0.42636701464653015,0,Liverpool,453341,0,Nathaniel Phillips,2020,2,90,DC,14694,0.0,0.42636701464653015,1,Sheffield United,0.05915119871497154,0
2021-02-20,0.06511440128087997,0,0,0.02815690077841282,0,Everton,450891,0,Nathaniel Phillips,2020,2,61,Sub,14680,0.0,0.02815690077841282,2,Liverpool,0.06511440128087997,0
2021-02-03,0.0,0,0,0.3620220124721527,0,Brighton,447188,0,Nathaniel Phillips,2020,1,90,DC,14654,0.0,0.3620220124721527,0,Liverpool,0.0,0
2021-01-31,0.0,0,0,0.5739099979400635,1,Liverpool,446430,0,Nathaniel Phillips,2020,3,90,DC,14639,0.0,0.5739099979400635,0,West Ham,0.0,0
2021-01-28,0.0,0,0,0.0,1,Liverpool,445256,0,Nathaniel Phillips,2020,3,40,Sub,14633,0.0,0.0,0,Tottenham,0.0,0
2020-12-30,0.0,0,0,0.33827999234199524,0,Liverpool,438739,0,Nathaniel Phillips,2020,0,90,DC,14591,0.0,0.33827999234199524,0,Newcastle United,0.0,0
2020-11-28,0.0,0,0,0.0,1,Liverpool,429363,0,Nathaniel Phillips,2020,1,90,DC,14528,0.0,0.0,0,Brighton,0.0,0
2020-10-31,0.0,1,0,0.07326310127973557,2,West Ham,424643,0,Nathaniel Phillips,2020,1,90,DC,14499,0.02607549913227558,0.047187600284814835,0,Liverpool,0.0,0
