date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0.0831661969423294,0,0,0.0831661969423294,0,1,Manchester United,0.0831661969423294,473487,0,Willian José,2020,2,64,Sub,14814,1,Wolverhampton Wanderers,0,0
2021-05-19,0,0,0,0,0,1,Wolverhampton Wanderers,0,472513,0,Willian José,2020,0,22,Sub,14799,0,Everton,0,0
2021-05-16,0,1,0,0.1903499960899353,0.07024099677801132,2,Wolverhampton Wanderers,0,471468,0,Willian José,2020,0,26,Sub,14793,0,Tottenham,0.12010899931192398,0
2021-05-09,0,0,0,0.09355229884386063,0,2,Brighton,0,469093,0,Willian José,2020,1,19,Sub,14784,0,Wolverhampton Wanderers,0.09355229884386063,0
2021-04-25,0.0870359018445015,0,0,0.06600649654865265,0,0,Burnley,0.0870359018445015,465777,0,Willian José,2020,4,90,FW,14764,3,Wolverhampton Wanderers,0,0
2021-04-17,0.11678999662399292,1,1,0.19926199316978455,0.048635900020599365,1,Sheffield United,0.11678999662399292,463111,0,Willian José,2020,0,77,FW,14754,1,Wolverhampton Wanderers,0.03383589908480644,1
2021-04-09,0.06631950289011002,0,0,0,0,0,Wolverhampton Wanderers,0.06631950289011002,460843,0,Willian José,2020,1,81,FW,14738,1,Fulham,0,0
2021-04-05,0.45278799533843994,3,0,0.6856729984283447,0.1968269944190979,2,West Ham,0.45278799533843994,460679,0,Willian José,2020,3,75,FW,14734,3,Wolverhampton Wanderers,0.09202030301094055,0
2021-03-15,0,0,0,0,0,0,Liverpool,0,457429,0,Willian José,2020,1,72,FW,14714,0,Wolverhampton Wanderers,0,0
2021-03-06,0.05100949853658676,1,0,0.021462900564074516,0.7662739753723145,0,Wolverhampton Wanderers,0.05100949853658676,454771,0,Willian José,2020,0,79,FW,14695,2,Aston Villa,0.021462900564074516,0
2021-02-27,0,1,0,0.07327380031347275,0.01856210082769394,1,Wolverhampton Wanderers,0,452609,0,Willian José,2020,1,84,FW,14688,0,Newcastle United,0.05471169948577881,0
2021-02-19,0,4,0,0.2095859944820404,0.15747199952602386,1,Leeds,0,450381,0,Willian José,2020,0,87,FW,14684,0,Wolverhampton Wanderers,0.10572399944067001,0
2021-02-14,0.07662589848041534,0,0,0.14674800634384155,0,1,Wolverhampton Wanderers,0.07662589848041534,449456,0,Willian José,2020,2,90,FW,14672,3,Southampton,0.14674800634384155,0
2021-02-07,0,0,0,0.03256860002875328,0,0,Leicester,0,448326,0,Willian José,2020,0,62,FW,14664,0,Wolverhampton Wanderers,0.03256860002875328,0
2021-02-02,0.1562819927930832,1,0,0.18790100514888763,0.013093000277876854,2,Arsenal,0.1562819927930832,446693,0,Willian José,2020,1,90,FW,14650,2,Wolverhampton Wanderers,0.018525900319218636,0
2021-01-30,0.3392550051212311,0,0,0.08166369795799255,0,1,Wolverhampton Wanderers,0.3392550051212311,445701,0,Willian José,2020,0,90,FW,14638,3,Crystal Palace,0,0
2021-01-27,0,0,0,0,0,0,Wolverhampton Wanderers,0,445087,0,Willian José,2020,0,15,Sub,14630,0,Chelsea,0,0
2021-01-03,0.04567139968276024,1,0,0.6557490229606628,0.610077977180481,1,Osasuna,0.04567139968276024,439797,1,Willian José,2020,1,61,FW,14944,1,Real Sociedad,0,0
2020-12-31,0,1,0,0.047293901443481445,0.047293901443481445,0,Real Sociedad,0,438805,0,Willian José,2020,1,5,Sub,14927,0,Athletic Club,0,0
2020-12-22,0,1,0,0.0285716000944376,0.0285716000944376,0,Atletico Madrid,0,437235,0,Willian José,2020,2,66,FW,14926,0,Real Sociedad,0,0
2020-12-19,0,0,0,0.08082889765501022,0,2,Real Sociedad,0,436143,0,Willian José,2020,1,11,Sub,14914,0,Levante,0.08082889765501022,0
2020-12-16,0.9553279876708984,1,1,0.16268500685691833,0.022907299920916557,2,Real Sociedad,0.9553279876708984,435444,0,Willian José,2020,1,90,FW,14905,4,Barcelona,0.0512642003595829,1
2020-12-06,0.07457149773836136,0,0,0.07457149773836136,0,0,Real Sociedad,0.07457149773836136,432369,0,Willian José,2020,0,15,Sub,14891,1,Alaves,0,0
2020-11-29,0.10045000165700912,0,0,0.10045000165700912,0,1,Villarreal,0.10045000165700912,430757,0,Willian José,2020,1,90,FW,14881,1,Real Sociedad,0,0
2020-11-22,0,0,0,0.03271080181002617,0,0,Real Sociedad,0,428753,0,Willian José,2020,1,14,Sub,14869,0,Cadiz,0.03271080181002617,0
2020-11-08,0.2192710041999817,2,0,1.054229974746704,0.401529997587204,2,Granada,0.9625489711761475,427118,0,Willian José,2020,0,90,FW,14860,3,Real Sociedad,0.43342798948287964,0
2020-11-01,1.1407400369644165,0,2,1.3007400035858154,0,1,Real Sociedad,1.1407400369644165,425295,0,Willian José,2020,4,90,FW,14848,3,Celta Vigo,0.21041899919509888,2
2020-10-25,0,1,0,0.18984200060367584,0.05450490117073059,4,SD Huesca,0,423907,0,Willian José,2020,1,63,FW,14841,0,Real Sociedad,0.1353369951248169,0
2020-10-18,0.11621999740600586,0,0,0.11621999740600586,0,0,Real Sociedad,0.11621999740600586,422307,0,Willian José,2020,3,69,FW,14827,1,Real Betis,0,0
2020-09-29,0,0,0,0,0,0,Valencia,0,418731,0,Willian José,2020,1,21,Sub,14170,0,Real Sociedad,0,0
