date,wins,x_g,deep,ppda_allowed,x_g_a,missed,ppda,h_a,team,pts,xpts,result,npx_g_d,deep_allowed,npx_g_a,scored,loses,draws,season,npx_g
2020-09-13 15:30:00,0,0.822944,9,"{att:309,def:19}",1.26793,1,"{att:374,def:33}",h,Spurs,0,0.95769999999999999573674358543939888477325439453125,l,-0.444986,5,1.26793,0,1,0,2020-21,0.822944
2020-09-20 11:00:00,1,2.28004,3,"{att:234,def:27}",2.27708,2,"{att:248,def:23}",a,Spurs,3,1.387099999999999777600123707088641822338104248046875,w,0.76413,4,1.51591,5,0,0,2020-21,2.28004
2020-09-27 13:00:00,0,3.18765,6,"{att:357,def:10}",0.942726,1,"{att:184,def:19}",h,Spurs,1,2.74739999999999984225951266125775873661041259765625,d,3.006093,4,0.181557,1,0,1,2020-21,3.18765
2020-10-04 15:30:00,1,3.3017,8,"{att:477,def:24}",0.873435,1,"{att:227,def:34}",a,Spurs,3,2.789400000000000101607611213694326579570770263671875,w,2.428273,3,0.112267,6,0,0,2020-21,2.54054
2020-10-18 15:30:00,0,1.77602,1,"{att:307,def:17}",1.49992,3,"{att:246,def:20}",h,Spurs,1,1.5810000000000001829647544582257978618144989013671875,d,0.2761,7,1.49992,3,0,1,2020-21,1.77602
2020-10-26 20:00:00,1,0.797344,6,"{att:342,def:23}",0.95045,0,"{att:176,def:18}",a,Spurs,3,1.199500000000000010658141036401502788066864013671875,w,-0.15310599999999996,4,0.95045,1,0,0,2020-21,0.797344
2020-11-01 19:15:00,1,1.97236,3,"{att:207,def:14}",0.324457,1,"{att:287,def:30}",h,Spurs,3,2.692699999999999871391764827421866357326507568359375,w,0.886733,7,0.324457,2,0,0,2020-21,1.21119
2020-11-08 12:00:00,1,1.87063,4,"{att:263,def:16}",0.799352,0,"{att:142,def:19}",a,Spurs,3,2.204099999999999948130380289512686431407928466796875,w,1.071278,6,0.799352,1,0,0,2020-21,1.87063
2020-11-21 17:30:00,1,0.761142,2,"{att:164,def:25}",1.66325,0,"{att:295,def:20}",h,Spurs,3,0.6778999999999999470645661858725361526012420654296875,w,-0.9021079999999999,9,1.66325,2,0,0,2020-21,0.761142
2020-11-29 16:30:00,0,0.22689,4,"{att:237,def:24}",0.974755,0,"{att:388,def:12}",a,Spurs,1,0.6184000000000000607514039074885658919811248779296875,d,-0.747865,4,0.974755,0,0,1,2020-21,0.22689
2020-12-06 16:30:00,1,0.390629,1,"{att:153,def:30}",0.595216,0,"{att:316,def:16}",h,Spurs,3,1.052000000000000046185277824406512081623077392578125,w,-0.20458699999999996,11,0.595216,2,0,0,2020-21,0.390629
2020-12-13 14:15:00,0,1.40792,4,"{att:214,def:20}",1.84443,1,"{att:193,def:18}",a,Spurs,1,1.0252000000000001111999381464556790888309478759765625,d,-0.43650999999999995,10,1.84443,1,0,1,2020-21,1.40792
2020-12-16 20:00:00,0,1.5161,0,"{att:125,def:17}",1.21783,2,"{att:379,def:21}",a,Spurs,0,1.643499999999999960920149533194489777088165283203125,l,0.29827000000000004,18,1.21783,1,1,0,2020-21,1.5161
2020-12-20 14:15:00,0,0.945932,5,"{att:271,def:23}",1.74772,2,"{att:199,def:21}",h,Spurs,0,0.70260000000000000230926389122032560408115386962890625,l,-0.04062200000000005,13,0.986554,0,1,0,2020-21,0.945932
2020-12-27 19:15:00,0,0.408109,5,"{att:272,def:41}",0.742598,1,"{att:301,def:18}",a,Spurs,1,0.9535000000000000142108547152020037174224853515625,d,-0.334489,5,0.742598,1,0,1,2020-21,0.408109
2021-01-02 12:30:00,1,2.5286,7,"{att:139,def:26}",1.15626,0,"{att:365,def:30}",h,Spurs,3,2.294399999999999995026200849679298698902130126953125,w,0.6111799999999998,11,1.15626,3,0,0,2020-21,1.76744
2021-01-13 20:00:00,0,3.14372,3,"{att:299,def:32}",1.05329,1,"{att:258,def:31}",h,Spurs,1,2.610300000000000064659388954169116914272308349609375,d,2.09043,7,1.05329,1,0,1,2020-21,3.14372
2021-01-17 14:00:00,1,1.28385,8,"{att:359,def:28}",0.978133,1,"{att:187,def:18}",a,Spurs,3,1.6108000000000000095923269327613525092601776123046875,w,0.3057169999999999,5,0.978133,3,0,0,2020-21,1.28385
2021-01-28 20:00:00,0,0.104586,0,"{att:364,def:25}",2.58798,3,"{att:311,def:21}",h,Spurs,0,0.026399999999999999855671006798729649744927883148193359375,l,-2.483394,11,2.58798,1,1,0,2020-21,0.104586
2021-01-31 19:15:00,0,0.372524,6,"{att:293,def:31}",1.77386,1,"{att:194,def:16}",a,Spurs,0,0.33369999999999999662492200513952411711215972900390625,l,-1.401336,21,1.77386,0,1,0,2020-21,0.372524
2021-02-04 20:00:00,0,0.569446,2,"{att:267,def:29}",2.393,1,"{att:358,def:29}",h,Spurs,0,0.24299999999999999378275106209912337362766265869140625,l,-1.0623839999999998,13,1.63183,0,1,0,2020-21,0.569446
2021-02-07 12:00:00,1,1.92997,10,"{att:341,def:14}",0.698686,0,"{att:169,def:22}",h,Spurs,3,2.304899999999999948840923025272786617279052734375,w,1.231284,3,0.698686,2,0,0,2020-21,1.92997
2021-02-13 17:30:00,0,0.4235,1,"{att:296,def:31}",2.46219,3,"{att:393,def:20}",a,Spurs,0,0.1680999999999999994226840271949185989797115325927734375,l,-1.27752,17,1.70102,0,1,0,2020-21,0.4235
2021-02-21 12:00:00,0,0.770706,8,"{att:299,def:26}",1.09246,2,"{att:105,def:17}",a,Spurs,0,0.85709999999999997299937604111619293689727783203125,l,-0.321754,2,1.09246,1,1,0,2020-21,0.770706
2021-02-28 14:00:00,1,2.35788,4,"{att:420,def:34}",0.603212,0,"{att:235,def:11}",h,Spurs,3,2.573299999999999698729880037717521190643310546875,w,1.7546680000000001,7,0.603212,4,0,0,2020-21,2.35788
2021-03-04 18:00:00,1,1.5519,7,"{att:209,def:28}",1.1715,0,"{att:323,def:28}",a,Spurs,3,1.703699999999999992184029906638897955417633056640625,w,0.38040000000000007,9,1.1715,1,0,0,2020-21,1.5519
2021-03-07 19:15:00,1,2.24159,5,"{att:435,def:30}",0.559383,1,"{att:209,def:36}",h,Spurs,3,2.62680000000000024584778657299466431140899658203125,w,1.682207,1,0.559383,4,0,0,2020-21,2.24159
2021-03-14 16:30:00,0,0.705566,4,"{att:313,def:32}",1.56529,2,"{att:282,def:20}",a,Spurs,0,0.55559999999999998276933865781757049262523651123046875,l,-0.09855000000000003,10,0.804116,1,1,0,2020-21,0.705566
2021-03-21 19:30:00,1,1.72011,6,"{att:241,def:38}",0.439681,0,"{att:216,def:20}",a,Spurs,3,2.5343999999999997640998117276467382907867431640625,w,0.51926,8,0.439681,2,0,0,2020-21,0.958941
2021-04-04 13:05:00,0,2.43683,7,"{att:312,def:20}",3.30098,2,"{att:162,def:20}",a,Spurs,1,0.75900000000000000799360577730112709105014801025390625,d,-0.86415,7,3.30098,2,0,1,2020-21,2.43683
2021-04-11 15:30:00,0,0.921801,5,"{att:265,def:33}",2.09737,3,"{att:253,def:30}",h,Spurs,0,0.46909999999999996145305658501456491649150848388671875,l,-1.1755690000000003,8,2.09737,1,1,0,2020-21,0.921801
2021-04-16 19:00:00,0,1.4815,2,"{att:246,def:23}",2.26022,2,"{att:281,def:18}",a,Spurs,1,0.8013999999999998902211473250645212829113006591796875,d,-0.017549999999999955,6,1.49905,2,0,1,2020-21,1.4815
2021-04-21 19:00:00,1,1.28824,11,"{att:376,def:20}",1.06134,1,"{att:209,def:29}",h,Spurs,3,1.516199999999999992184029906638897955417633056640625,w,-0.534269,2,1.06134,2,0,0,2020-21,0.527071
2021-05-02 18:15:00,1,2.26016,7,"{att:494,def:16}",0.469026,0,"{att:177,def:23}",h,Spurs,3,2.61850000000000004973799150320701301097869873046875,w,1.791134,6,0.469026,4,0,0,2020-21,2.26016
2021-05-08 11:30:00,0,1.03384,5,"{att:201,def:38}",2.55216,3,"{att:238,def:27}",a,Spurs,0,0.4135999999999999676703055229154415428638458251953125,l,-1.5183200000000001,12,2.55216,1,1,0,2020-21,1.03384
2021-05-16 13:05:00,1,3.13947,7,"{att:369,def:20}",1.09206,0,"{att:208,def:18}",h,Spurs,3,2.614400000000000279243295153719373047351837158203125,w,2.04741,5,1.09206,2,0,0,2020-21,3.13947
2021-05-19 17:00:00,0,0.89279,11,"{att:304,def:30}",1.63669,2,"{att:171,def:19}",h,Spurs,0,0.78920000000000001261213355974177829921245574951171875,l,-0.7439,10,1.63669,1,1,0,2020-21,0.89279
2021-05-23 15:00:00,1,1.85229,6,"{att:294,def:27}",1.82554,2,"{att:240,def:18}",a,Spurs,3,1.321000000000000174082970261224545538425445556640625,w,1.54909,2,0.3032,4,0,0,2020-21,1.85229
