date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0.07149689644575119,2,1,0.23721900582313538,0.36160099506378174,0,Dijon,0.07149689644575119,474046,0,Aboubakar Kamara,2020,1,90,ML,16134,1,Saint-Etienne,0.026815200224518776,1
2021-05-16,0,0,0,0,0,0,Nantes,0,472002,0,Aboubakar Kamara,2020,4,18,Sub,16117,0,Dijon,0,0
2021-05-09,0,0,0,0,0,3,Dijon,0,469321,0,Aboubakar Kamara,2020,0,23,Sub,16106,0,Angers,0,0
2021-04-25,0.03031959943473339,0,0,0.03031959943473339,0,5,Dijon,0.03031959943473339,465938,0,Aboubakar Kamara,2020,1,57,FW,16091,1,Rennes,0,0
2021-04-18,0.1552249938249588,0,0,0.48088499903678894,0,2,Nice,0.1552249938249588,463412,0,Aboubakar Kamara,2020,0,88,FW,16083,3,Dijon,0.3435080051422119,0
2021-04-11,0.05385490134358406,2,0,0.48364800214767456,0.42979300022125244,3,Dijon,0.05385490134358406,462044,0,Aboubakar Kamara,2020,0,74,FW,16070,2,Monaco,0,0
2021-03-21,0,1,0,0.043846700340509415,0.043846700340509415,0,Reims,0,458570,0,Aboubakar Kamara,2020,1,18,Sub,16051,0,Dijon,0,0
2021-03-14,0.247312992811203,1,0,0.3091230094432831,0.028506800532341003,1,Bordeaux,0.247312992811203,456979,0,Aboubakar Kamara,2020,3,58,FW,16037,1,Dijon,0.033303700387477875,0
2021-02-21,0.5346239805221558,1,0,0.556859016418457,0.11073999851942062,2,Dijon,0.5346239805221558,451317,0,Aboubakar Kamara,2020,1,76,FW,16007,2,Lens,0.02223530039191246,0
2021-02-14,0.07713670283555984,0,0,0.14191000163555145,0,0,Nimes,0.07713670283555984,449588,0,Aboubakar Kamara,2020,2,65,AMC,15998,1,Dijon,0.06477370113134384,0
2021-01-20,0,2,0,0.14636799693107605,0.09763039648532867,1,Manchester United,0,443638,0,Aboubakar Kamara,2020,2,17,Sub,14607,0,Fulham,0.04873739928007126,0
2021-01-16,0.018166599795222282,0,0,0.018166599795222282,0,0,Chelsea,0.018166599795222282,442428,0,Aboubakar Kamara,2020,1,6,Sub,14617,1,Fulham,0,0
2021-01-13,0,1,0,0.08848109841346741,0.08848109841346741,1,Fulham,0,441953,0,Aboubakar Kamara,2020,1,3,Sub,14589,0,Tottenham,0,0
2020-12-16,0,0,0,0,0,0,Brighton,0,435403,0,Aboubakar Kamara,2020,0,26,Sub,14557,0,Fulham,0,0
2020-12-13,0,0,0,0,0,1,Liverpool,0,433945,0,Aboubakar Kamara,2020,1,13,Sub,14547,0,Fulham,0,0
2020-12-05,0,0,0,0,0,2,Fulham,0,431296,0,Aboubakar Kamara,2020,0,17,Sub,14540,0,Manchester City,0,0
2020-10-24,0,0,0,0,0,1,Crystal Palace,0,422860,0,Aboubakar Kamara,2020,2,22,Sub,14489,0,Fulham,0,0
2020-10-04,0.6160809993743896,0,0,0.6407080292701721,0,1,Fulham,0.6160809993743896,420338,0,Aboubakar Kamara,2020,0,23,Sub,14474,2,Wolverhampton Wanderers,0.06695529818534851,0
2020-09-28,0,3,0,0.19304999709129333,0.14285700023174286,0,Aston Villa,0,418645,0,Aboubakar Kamara,2020,3,52,Sub,14114,0,Fulham,0.05019240081310272,0
2020-09-19,0,0,0,0.01644109934568405,0,4,Fulham,0,415799,0,Aboubakar Kamara,2020,3,60,AMR,14097,0,Leeds,0.01644109934568405,0
2020-09-12,0.020672200247645378,0,0,0,0,0,Arsenal,0.020672200247645378,414510,0,Aboubakar Kamara,2020,3,64,FW,14086,1,Fulham,0,0
