date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0.8723980188369751,4,1,1.6608200073242188,0.22727499902248383,2,Chelsea,0.8723980188369751,473271,0,Ben Chilwell,2020,1,90,DML,14806,4,Aston Villa,0.6143659949302673,1
2021-05-18,0.09466460347175598,1,0,0.296658992767334,0.09713789820671082,2,Leicester,0.09466460347175598,472410,0,Ben Chilwell,2020,1,90,DML,14797,1,Chelsea,0.20199500024318695,0
2021-05-12,0,0,0,0.10477399826049805,0,0,Arsenal,0,470412,0,Ben Chilwell,2020,1,90,DML,14790,0,Chelsea,0.10477399826049805,0
2021-05-01,0,0,0,0.042107999324798584,0,2,Fulham,0,467099,0,Ben Chilwell,2020,0,82,DML,14767,0,Chelsea,0.042107999324798584,0
2021-04-24,0,3,0,0.48121699690818787,0.44433900713920593,0,Chelsea,0,465582,1,Ben Chilwell,2020,1,90,DML,14763,0,West Ham,0.036877699196338654,0
2021-04-10,0.19519199430942535,1,0,0.6489549875259399,0.07540199905633926,1,Chelsea,0.19519199430942535,461411,0,Ben Chilwell,2020,4,90,DML,14737,3,Crystal Palace,0.4840080142021179,0
2021-03-13,0.12692399322986603,1,0,0.6224849820137024,0.03666970133781433,0,Chelsea,0.12692399322986603,456106,0,Ben Chilwell,2020,0,90,DL,14709,2,Leeds,0.45889100432395935,0
2021-03-04,0.2623179852962494,2,0,0.4755289852619171,0.10741899907588959,0,Chelsea,0.2623179852962494,454268,0,Ben Chilwell,2020,1,90,DML,14719,1,Liverpool,0.3681100010871887,0
2021-02-28,0.021266300231218338,1,0,0.7896649837493896,0.10592500120401382,0,Manchester United,0.021266300231218338,453211,0,Ben Chilwell,2020,0,90,DML,14685,1,Chelsea,0.6624739766120911,0
2021-02-07,0.0589619018137455,0,0,0.7409600019454956,0,1,Chelsea,0.0589619018137455,448546,0,Ben Chilwell,2020,2,63,ML,14662,1,Sheffield United,0.6819980144500732,0
2021-01-27,0.1348550021648407,0,0,0.15606200695037842,0,0,Wolverhampton Wanderers,0.1348550021648407,445066,0,Ben Chilwell,2020,0,79,DL,14630,2,Chelsea,0.021207600831985474,0
2021-01-19,0,0,0,0.08337929844856262,0,2,Chelsea,0,443289,0,Ben Chilwell,2020,0,90,DL,14609,0,Leicester,0.08337929844856262,0
2021-01-16,0.014326999895274639,0,0,0.8492159843444824,0,0,Chelsea,0.014326999895274639,442435,0,Ben Chilwell,2020,1,90,DL,14617,1,Fulham,0.8348889946937561,0
2021-01-03,0,0,0,0.4189859926700592,0,1,Manchester City,0,439701,0,Ben Chilwell,2020,3,90,DL,14603,0,Chelsea,0.4189859926700592,0
2020-12-28,0.06631050258874893,1,0,0.373073011636734,0.05985809862613678,1,Aston Villa,0.06631050258874893,438353,1,Ben Chilwell,2020,1,90,DL,14586,2,Chelsea,0.3067620098590851,0
2020-12-26,0,0,0,0.03496469929814339,0,3,Chelsea,0,438146,0,Ben Chilwell,2020,1,90,DL,14575,0,Arsenal,0.03496469929814339,0
2020-12-21,0,0,0,0,0,3,West Ham,0,437109,0,Ben Chilwell,2020,0,9,DL,14567,0,Chelsea,0,0
2020-12-15,0,3,0,0.21836499869823456,0.5751619935035706,2,Chelsea,0,434308,1,Ben Chilwell,2020,1,90,DL,14562,0,Wolverhampton Wanderers,0.10603100061416626,0
2020-12-12,0,0,0,0,0,1,Chelsea,0,433305,0,Ben Chilwell,2020,0,90,DL,14546,0,Everton,0,0
2020-12-05,0.018461599946022034,1,0,0.7489929795265198,0.08859480172395706,3,Leeds,0.018461599946022034,431606,0,Ben Chilwell,2020,1,90,DL,14538,1,Chelsea,0.660398006439209,0
2020-11-29,0.15579000115394592,1,0,0.5616409778594971,0.09870760142803192,0,Tottenham,0.15579000115394592,430512,0,Ben Chilwell,2020,0,90,DL,14529,2,Chelsea,0.4629330039024353,0
2020-11-21,0,0,0,0.5416719913482666,0,0,Chelsea,0,427661,0,Ben Chilwell,2020,2,83,DL,14521,0,Newcastle United,0.5416719913482666,0
2020-11-07,0.8248909711837769,2,1,0.5394430160522461,0.17125500738620758,4,Sheffield United,0.8248909711837769,426490,0,Ben Chilwell,2020,1,90,DL,14507,3,Chelsea,0.3709790110588074,1
2020-10-31,0,0,0,0,0,0,Chelsea,0,424509,0,Ben Chilwell,2020,3,90,DL,14496,0,Burnley,0,0
2020-10-24,0,2,0,0.11580699682235718,0.060238201171159744,0,Chelsea,0,423109,0,Ben Chilwell,2020,0,90,DML,14491,0,Manchester United,0.08278030157089233,0
2020-10-17,0.06347440183162689,4,0,0.22869600355625153,0.18587100505828857,3,Southampton,0.06347440183162689,421127,1,Ben Chilwell,2020,3,90,DL,14475,1,Chelsea,0.052113499492406845,0
2020-10-03,0.07505639642477036,3,1,0.5974910259246826,0.1218239963054657,4,Crystal Palace,0.07505639642477036,419251,1,Ben Chilwell,2020,0,90,DL,14467,2,Chelsea,0.5224339962005615,1
