date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0,0,0,0.4356209933757782,0,2,Chelsea,0,473266,0,Edouard Mendy,2020,1,48,GK,14806,0,Aston Villa,0.4356209933757782,0
2021-05-18,0,0,0,0.18584699928760529,0,2,Leicester,0,472405,0,Edouard Mendy,2020,1,90,GK,14797,0,Chelsea,0.18584699928760529,0
2021-05-08,0,0,0,0.06894680112600327,0,1,Chelsea,0,468852,0,Edouard Mendy,2020,2,90,GK,14781,0,Manchester City,0.06894680112600327,0
2021-05-01,0,0,0,0.3431519865989685,0,2,Fulham,0,467094,0,Edouard Mendy,2020,0,90,GK,14767,0,Chelsea,0.3431519865989685,0
2021-04-24,0,0,0,0.12524700164794922,0,0,Chelsea,0,465577,0,Edouard Mendy,2020,1,90,GK,14763,0,West Ham,0.12524700164794922,0
2021-04-10,0,0,0,0.30400601029396057,0,1,Chelsea,0,461406,0,Edouard Mendy,2020,4,90,GK,14737,0,Crystal Palace,0.30400601029396057,0
2021-04-03,0,0,0,0.10082399845123291,0,2,West Bromwich Albion,0,459156,0,Edouard Mendy,2020,5,90,GK,14727,0,Chelsea,0.10082399845123291,0
2021-03-13,0,0,0,0.22372600436210632,0,0,Chelsea,0,456102,0,Edouard Mendy,2020,0,90,GK,14709,0,Leeds,0.22372600436210632,0
2021-03-08,0,0,0,0.14420300722122192,0,2,Everton,0,455545,0,Edouard Mendy,2020,0,90,GK,14698,0,Chelsea,0.14420300722122192,0
2021-03-04,0,0,0,0.15312699973583221,0,0,Chelsea,0,454263,0,Edouard Mendy,2020,1,90,GK,14719,0,Liverpool,0.15312699973583221,0
2021-02-28,0,0,0,0.11485300213098526,0,0,Manchester United,0,453206,0,Edouard Mendy,2020,0,90,GK,14685,0,Chelsea,0.11485300213098526,0
2021-02-20,0,0,0,0.14054599404335022,0,1,Chelsea,0,450504,0,Edouard Mendy,2020,1,90,GK,14682,0,Southampton,0.14054599404335022,0
2021-02-07,0,0,0,0.36398500204086304,0,1,Chelsea,0,448539,0,Edouard Mendy,2020,2,90,GK,14662,0,Sheffield United,0.36398500204086304,0
2021-02-04,0,0,0,0.43976399302482605,0,0,Chelsea,0,447254,0,Edouard Mendy,2020,1,90,GK,14653,0,Tottenham,0.43976399302482605,0
2021-01-31,0,0,0,0.057402901351451874,0,2,Burnley,0,445998,0,Edouard Mendy,2020,0,90,GK,14637,0,Chelsea,0.057402901351451874,0
2021-01-27,0,0,0,0,0,0,Wolverhampton Wanderers,0,445062,0,Edouard Mendy,2020,0,90,GK,14630,0,Chelsea,0,0
2021-01-19,0,0,0,0.04215319827198982,0,2,Chelsea,0,443285,0,Edouard Mendy,2020,0,90,GK,14609,0,Leicester,0.04215319827198982,0
2021-01-16,0,0,0,0.14286300539970398,0,0,Chelsea,0,442431,0,Edouard Mendy,2020,1,90,GK,14617,0,Fulham,0.14286300539970398,0
2021-01-03,0,0,0,0.017235999926924706,0,1,Manchester City,0,439697,0,Edouard Mendy,2020,3,90,GK,14603,0,Chelsea,0.017235999926924706,0
2020-12-28,0,0,0,0.17713500559329987,0,1,Aston Villa,0,438349,0,Edouard Mendy,2020,1,90,GK,14586,0,Chelsea,0.17713500559329987,0
2020-12-26,0,0,0,0.05183640122413635,0,3,Chelsea,0,438142,0,Edouard Mendy,2020,1,90,GK,14575,0,Arsenal,0.05183640122413635,0
2020-12-21,0,0,0,0.059505000710487366,0,3,West Ham,0,437105,0,Edouard Mendy,2020,0,90,GK,14567,0,Chelsea,0.059505000710487366,0
2020-12-15,0,0,0,0.1123339980840683,0,2,Chelsea,0,434304,0,Edouard Mendy,2020,1,90,GK,14562,0,Wolverhampton Wanderers,0.1123339980840683,0
2020-12-12,0,0,0,0,0,1,Chelsea,0,433301,0,Edouard Mendy,2020,0,90,GK,14546,0,Everton,0,0
2020-12-05,0,0,0,0.5266450047492981,0,3,Leeds,0,431602,0,Edouard Mendy,2020,1,90,GK,14538,0,Chelsea,0.5266450047492981,0
2020-11-29,0,0,0,0,0,0,Tottenham,0,430508,0,Edouard Mendy,2020,0,90,GK,14529,0,Chelsea,0,0
2020-11-21,0,0,0,0.1344050019979477,0,0,Chelsea,0,427657,0,Edouard Mendy,2020,2,90,GK,14521,0,Newcastle United,0.1344050019979477,0
2020-11-07,0,0,0,0.2879459857940674,0,4,Sheffield United,0,426486,0,Edouard Mendy,2020,1,90,GK,14507,0,Chelsea,0.2879459857940674,0
2020-10-31,0,0,0,0,0,0,Chelsea,0,424505,0,Edouard Mendy,2020,3,90,GK,14496,0,Burnley,0,0
2020-10-24,0,0,0,0.02721180021762848,0,0,Chelsea,0,423104,0,Edouard Mendy,2020,0,90,GK,14491,0,Manchester United,0.02721180021762848,0
2020-10-03,0,0,0,0,0,4,Crystal Palace,0,419247,0,Edouard Mendy,2020,0,90,GK,14467,0,Chelsea,0,0
2020-08-22,0,1,0,0.09787099808454514,0.03283039852976799,1,Rennes,0,413456,0,Edouard Mendy,2020,1,90,GK,13979,0,Lille,0.06504060328006744,0
