date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0.090236596763134,0,0,0.5590000152587891,0,5,Everton,0.090236596763134,473396,0,Oleksandr Zinchenko,2020,0,90,DL,14811,2,Manchester City,0.49052900075912476,0
2021-05-18,0,0,0,0.5506020188331604,0,3,Manchester City,0,472365,0,Oleksandr Zinchenko,2020,2,90,DL,14795,0,Brighton,0.5506020188331604,0
2021-05-08,0,0,0,0.0395577996969223,0,1,Chelsea,0,468850,0,Oleksandr Zinchenko,2020,2,7,Sub,14781,0,Manchester City,0.0395577996969223,0
2021-05-01,0.024393200874328613,1,0,0.3297500014305115,0.08357889950275421,0,Manchester City,0.024393200874328613,466850,0,Oleksandr Zinchenko,2020,2,23,Sub,14768,1,Crystal Palace,0.3053570091724396,0
2021-04-21,0.027902700006961823,0,0,0.7637659907341003,0,1,Manchester City,0.027902700006961823,464720,0,Oleksandr Zinchenko,2020,2,90,DL,14746,1,Aston Villa,0.7637659907341003,0
2021-04-10,0.11515700072050095,5,0,0.6774920225143433,0.46369099617004395,1,Leeds,0.11515700072050095,460941,0,Oleksandr Zinchenko,2020,2,90,MC,14740,2,Manchester City,0.6409410238265991,0
2021-03-10,0.027112899348139763,2,0,1.1930500268936157,0.1511249989271164,5,Southampton,0.027112899348139763,455761,0,Oleksandr Zinchenko,2020,2,84,DL,14761,1,Manchester City,1.0279899835586548,0
2021-03-07,0.024756699800491333,2,0,0.42346400022506714,0.08522629737854004,0,Manchester United,0.024756699800491333,455280,0,Oleksandr Zinchenko,2020,2,90,DL,14700,1,Manchester City,0.35310301184654236,0
2021-02-27,0,2,0,0.11760099977254868,0.11760099977254868,2,West Ham,0,452013,0,Oleksandr Zinchenko,2020,1,90,DL,14689,0,Manchester City,0.10381700098514557,0
2021-02-21,0.124549001455307,2,0,1.2613500356674194,0.15758700668811798,0,Manchester City,0.124549001455307,451437,0,Oleksandr Zinchenko,2020,1,90,DL,14675,2,Arsenal,1.0491000413894653,0
2021-02-13,0.014913800172507763,0,0,0.6014609932899475,0,3,Tottenham,0.014913800172507763,449171,0,Oleksandr Zinchenko,2020,0,90,DL,14671,1,Manchester City,0.6014609932899475,0
2021-02-07,0.016218900680541992,0,0,0.11192300170660019,0,1,Manchester City,0.016218900680541992,448453,0,Oleksandr Zinchenko,2020,4,90,DL,14659,1,Liverpool,0.09570380300283432,0
2021-02-03,0,0,0,0.07362119853496552,0,0,Manchester City,0,447003,0,Oleksandr Zinchenko,2020,2,25,Sub,14646,0,Burnley,0.07362119853496552,0
2021-01-30,0.07071390002965927,0,0,0.1067970022559166,0,1,Sheffield United,0.07071390002965927,445627,0,Oleksandr Zinchenko,2020,0,90,DL,14642,2,Manchester City,0.0627226009964943,0
2021-01-26,0,1,0,0.2096959948539734,0.026690099388360977,0,Manchester City,0,445052,0,Oleksandr Zinchenko,2020,5,90,DL,14629,0,West Bromwich Albion,0.2096959948539734,0
2021-01-20,0,0,0,0.5311239957809448,0,2,Aston Villa,0,443431,0,Oleksandr Zinchenko,2020,0,63,Sub,14089,0,Manchester City,0.5311239957809448,0
2021-01-17,0,0,0,0.06563310325145721,0,4,Crystal Palace,0,442921,0,Oleksandr Zinchenko,2020,0,90,DL,14621,0,Manchester City,0.06563310325145721,0
2021-01-13,0.04215170070528984,0,0,0.9478660225868225,0,1,Brighton,0.04215170070528984,441906,0,Oleksandr Zinchenko,2020,0,90,DL,14614,1,Manchester City,0.9057149887084961,0
2021-01-03,0.08255250006914139,0,0,0.808309018611908,0,1,Manchester City,0.08255250006914139,439715,0,Oleksandr Zinchenko,2020,3,90,DL,14603,1,Chelsea,0.7257570028305054,0
2020-10-24,0,0,0,0.12230899930000305,0,1,Manchester City,0,422634,0,Oleksandr Zinchenko,2020,1,11,Sub,14493,0,West Ham,0.12230899930000305,0
