date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-12,0,0,0,0.11806599795818329,0,0,Arsenal,0,470423,0,Pablo Marí,2020,1,90,DC,14790,0,Chelsea,0.11806599795818329,0
2021-04-23,0,0,0,0.11544299870729446,0,0,Everton,0,465035,0,Pablo Marí,2020,1,90,DC,14755,0,Arsenal,0.11544299870729446,0
2021-04-11,0,0,0,0.9609590172767639,0,0,Arsenal,0,462219,0,Pablo Marí,2020,3,90,DC,14741,0,Sheffield United,0.9609590172767639,0
2021-03-21,0,0,0,0.6361370086669922,0,3,Arsenal,0,458720,0,Pablo Marí,2020,3,90,DC,14724,0,West Ham,0.6361370086669922,0
2021-03-06,0.014236499555408955,0,0,0.1006309986114502,0,1,Arsenal,0.014236499555408955,454386,0,Pablo Marí,2020,1,90,DC,14697,1,Burnley,0.08639399707317352,0
2021-02-28,0,0,0,0.06108500063419342,0,1,Arsenal,0,452712,0,Pablo Marí,2020,3,90,DC,14690,0,Leicester,0.06108500063419342,0
2021-02-21,0,0,0,0.049415700137615204,0,0,Manchester City,0,451420,0,Pablo Marí,2020,1,90,DC,14675,0,Arsenal,0.049415700137615204,0
2021-01-02,0,0,0,0.6652370095252991,0,0,Arsenal,0,439295,0,Pablo Marí,2020,4,90,DC,14600,0,West Bromwich Albion,0.6652370095252991,0
2020-12-29,0.026286199688911438,1,0,0.8325960040092468,0.05424389988183975,0,Arsenal,0.026286199688911438,438391,0,Pablo Marí,2020,1,90,DC,14585,1,Brighton,0.8325960040092468,0
2020-12-26,0,0,0,0.06540510058403015,0,3,Chelsea,0,438130,0,Pablo Marí,2020,1,90,DC,14575,0,Arsenal,0.06540510058403015,0
